_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
84.1690417,-6.1758889,1024,05 36 40.57,-06 10 33.2,12.65,0.03,11.21,0.03,10.44,0.02,9.37,0.01,8.89,0.01,8.49,0.01,7.82,0.01,4.53,0.02,0.61,-1.08,D,2M,Simbad
84.04025,-6.1751667,1025,05 36 09.66,-06 10 30.6,,,,,10.25,0.04,9.62,0.01,9.11,0.01,9.02,0.01,8.24,0.01,6.09,0.02,,-1.35,D,2M,Simbad
84.2474583,-6.171,1026,05 36 59.39,-06 10 15.6,15.96,0.09,15.17,0.11,14.55,0.11,13.9,0.01,13.59,0.01,13.09,0.06,12.31,0.08,7.23,0.03,0.0,-0.99,D,2M,Simbad
83.9666667,-6.1671667,1027,05 35 52.00,-06 10 01.8,9.73,0.03,8.62,0.05,8.01,0.02,7.21,0.01,6.48,0.01,5.77,0.01,4.51,0.01,0.52,0.01,0.3,0.24,P,2M,Simbad
83.381125,-6.1650278,1028,05 33 31.47,-06 09 54.1,12.75,0.03,12.03,0.03,11.67,0.02,11.06,0.01,10.76,0.01,10.34,0.01,9.5,0.01,7.04,0.03,0.0,-1.03,D,2M,Simbad
83.8160417,-6.163,1029,05 35 15.85,-06 09 46.8,14.82,0.04,14.17,0.05,13.64,0.03,12.95,0.01,12.56,0.01,12.24,0.02,11.63,0.02,9.09,0.14,0.0,-1.34,D,2M,Simbad
83.933875,-6.1585278,1030,05 35 44.13,-06 09 30.7,16.58,0.11,15.41,0.11,14.96,0.11,13.89,0.01,13.61,0.03,13.2,0.06,12.39,0.06,7.54,0.04,0.49,-1.11,D,2M,Simbad
84.2467917,-6.1545,1031,05 36 59.23,-06 09 16.2,8.95,0.03,8.41,0.04,7.69,0.05,6.57,0.01,6.1,0.01,5.7,0.01,4.36,0.01,1.75,0.01,0.0,-0.35,D,2M,Simbad
84.1384583,-6.1486389,1032,05 36 33.23,-06 08 55.1,13.55,0.03,12.68,0.03,12.15,0.02,11.38,0.01,10.99,0.01,10.52,0.01,9.88,0.01,7.41,0.02,0.05,-1.1,D,2M,Simbad
83.8955417,-6.1435278,1033,05 35 34.93,-06 08 36.7,16.42,0.12,15.15,0.09,14.23,0.05,13.44,0.01,13.1,0.01,12.51,0.02,11.49,0.02,7.42,0.03,0.27,-0.56,D,2M,Simbad
83.9332083,-6.1413333,1034,05 35 43.97,-06 08 28.8,,,,,,,14.95,0.02,14.24,0.01,13.8,0.07,,,,,,,D,2M,Simbad
83.6445417,-6.1410278,1035,05 34 34.69,-06 08 27.7,13.75,0.04,13.02,0.05,12.66,0.03,11.89,0.01,11.64,0.01,11.46,0.01,11.06,0.02,7.6,0.04,0.0,-1.9,D,2M,Simbad
84.1314583,-6.1409722,1036,05 36 31.55,-06 08 27.5,10.49,0.03,9.6,0.04,9.07,0.03,8.19,0.01,7.73,0.01,7.28,0.01,6.42,0.01,3.55,0.01,0.08,-0.81,D,2M,Simbad
84.1455417,-6.1390556,1037,05 36 34.93,-06 08 20.6,15.37,0.05,14.83,0.06,14.37,0.06,13.86,0.01,13.52,0.01,13.0,0.03,12.47,0.06,,,0.0,-1.2,D,2M,Simbad
84.197875,-6.1389722,1038,05 36 47.49,-06 08 20.3,13.05,0.03,12.36,0.03,12.12,0.02,11.89,0.01,11.83,0.01,11.8,0.01,11.81,0.03,7.01,0.03,0.05,-2.75,D,2M,Simbad
84.10875,-6.1343611,1039,05 36 26.10,-06 08 03.7,11.36,0.02,10.39,0.03,9.85,0.02,8.28,0.01,7.79,0.01,7.34,0.01,6.64,0.01,3.79,0.01,0.18,-0.96,D,2M,Simbad
83.7474167,-6.123,1040,05 34 59.38,-06 07 22.8,13.15,0.02,12.5,0.03,12.21,0.02,11.85,0.01,11.61,0.01,11.28,0.01,10.55,0.01,7.07,0.03,0.0,-1.34,D,2M,Simbad
83.8370417,-6.1215833,1041,05 35 20.89,-06 07 17.7,13.84,0.03,13.22,0.03,12.89,0.02,12.48,0.01,12.14,0.01,11.75,0.01,10.81,0.01,8.24,0.08,0.0,-0.93,D,2M,Simbad
84.00025,-6.1206111,1042,05 36 00.06,-06 07 14.2,17.11,0.19,15.49,0.11,14.56,0.07,13.39,0.01,12.5,0.01,11.6,0.01,10.29,0.01,6.46,0.02,0.71,0.71,P,2M,Simbad
83.3563333,-6.1094722,1043,05 33 25.52,-06 06 34.1,12.92,0.02,11.84,0.02,11.03,0.02,10.04,0.01,9.27,0.01,8.92,0.01,8.08,0.01,5.05,0.01,0.12,-0.68,D,2M,Simbad
83.735125,-6.1059167,1044,05 34 56.43,-06 06 21.3,15.66,0.06,14.53,0.06,13.79,0.04,12.85,0.01,12.45,0.01,12.06,0.02,11.47,0.03,8.22,0.06,0.22,-1.24,D,2M,Simbad
83.5250417,-6.10325,1045,05 34 06.01,-06 06 11.7,13.94,0.02,13.36,0.04,13.09,0.03,12.79,0.01,12.42,0.01,11.76,0.03,11.58,0.04,8.57,0.1,0.0,-1.37,D,2M,Simbad
83.888375,-6.1026667,1046,05 35 33.21,-06 06 09.6,,,,,14.9,0.09,11.67,0.01,10.34,0.01,9.14,0.01,8.05,0.01,4.48,0.01,,1.31,P,2M,Simbad
83.4233333,-6.102,1047,05 33 41.60,-06 06 07.2,14.5,0.04,13.55,0.03,12.8,0.03,11.72,0.01,11.28,0.01,10.9,0.01,10.26,0.01,7.09,0.04,0.0,-1.17,D,2M,Simbad
83.415625,-6.1008889,1048,05 33 39.75,-06 06 03.2,13.38,0.03,12.77,0.03,12.43,0.03,12.03,0.01,11.85,0.01,11.56,0.02,11.14,0.02,8.32,0.08,0.0,-1.8,D,2M,Simbad
83.7918333,-6.0934167,1049,05 35 10.04,-06 05 36.3,13.87,0.03,11.83,0.03,10.59,0.02,9.45,0.01,8.84,0.01,8.51,0.01,7.94,0.01,5.74,0.02,1.02,-1.15,D,2M,Simbad
83.6506667,-6.0929722,1050,05 34 36.16,-06 05 34.7,12.24,0.02,11.39,0.03,10.8,0.02,10.32,0.01,10.04,0.01,9.67,0.01,9.18,0.01,5.93,0.01,0.0,-1.51,D,2M,Simbad
83.6675833,-6.0923611,1051,05 34 40.22,-06 05 32.5,16.1,0.08,15.72,0.15,14.84,0.09,14.15,0.01,13.78,0.02,13.53,0.07,12.78,0.08,,,0.0,-1.3,D,2M,Simbad
84.1030833,-6.0869722,1052,05 36 24.74,-06 05 13.1,13.15,0.02,12.47,0.03,12.17,0.02,11.62,0.01,11.41,0.01,11.02,0.01,10.44,0.01,8.61,0.08,0.0,-1.45,D,2M,Simbad
83.8768333,-6.0836111,1053,05 35 30.44,-06 05 01.0,14.43,0.04,13.92,0.04,13.53,0.04,12.93,0.01,12.6,0.01,12.2,0.03,11.39,0.02,8.68,0.11,0.0,-1.07,D,2M,Simbad
83.8497917,-6.0822222,1054,05 35 23.95,-06 04 56.0,15.95,0.08,15.01,0.09,14.28,0.06,13.32,0.01,12.8,0.01,12.27,0.03,11.69,0.04,8.37,0.07,0.0,-0.96,D,2M,Simbad
83.5104583,-6.0753333,1055,05 34 02.51,-06 04 31.2,14.33,0.03,13.54,0.04,13.14,0.03,12.6,0.01,12.16,0.01,11.98,0.01,11.48,0.03,,,0.05,-1.6,D,2M,Simbad
83.439125,-6.0738333,1056,05 33 45.39,-06 04 25.8,11.48,0.03,10.75,0.03,10.33,0.03,9.74,0.01,9.35,0.01,9.06,0.01,8.09,0.01,4.85,0.01,0.0,-0.97,D,2M,Simbad
83.3325417,-6.0730833,1057,05 33 19.81,-06 04 23.1,12.72,0.02,12.01,0.02,11.83,0.02,11.59,0.01,11.4,0.01,11.34,0.01,10.71,0.01,6.29,0.02,0.1,-1.87,D,2M,Simbad
83.3933333,-6.0722222,1058,05 33 34.40,-06 04 20.0,15.0,0.05,14.47,0.05,14.0,0.05,13.55,0.01,13.29,0.01,13.03,0.03,12.34,0.03,,,0.0,-1.46,D,2M,Simbad
83.7064583,-6.0691944,1059,05 34 49.55,-06 04 09.1,15.08,0.04,14.47,0.05,14.13,0.06,13.64,0.01,13.29,0.01,12.92,0.04,12.12,0.04,,,0.0,-1.09,D,2M,Simbad
83.8374167,-6.0668611,1060,05 35 20.98,-06 04 00.7,13.88,0.03,13.33,0.04,13.08,0.03,12.71,0.01,12.58,0.01,12.26,0.04,11.47,0.03,8.8,0.09,0.0,-1.39,D,2M,Simbad
83.5526667,-6.0663889,1061,05 34 12.64,-06 03 59.0,16.0,0.08,15.38,0.1,14.74,0.09,14.19,0.02,13.98,0.02,13.56,0.08,13.12,0.1,,,0.0,-1.57,D,2M,Simbad
83.75575,-6.0654722,1062,05 35 01.38,-06 03 55.7,13.9,0.03,13.18,0.03,12.81,0.03,12.48,0.01,12.18,0.01,11.8,0.02,11.07,0.03,8.26,0.07,0.0,-1.21,D,2M,Simbad
83.8305,-6.0631111,1063,05 35 19.32,-06 03 47.2,15.41,0.05,14.78,0.07,14.33,0.06,13.78,0.01,13.52,0.02,13.28,0.08,12.38,0.1,,,0.0,-1.26,D,2M,Simbad
84.0262917,-6.0542778,1064,05 36 06.31,-06 03 15.4,14.72,0.04,14.11,0.04,13.8,0.05,13.12,0.01,12.86,0.01,12.51,0.03,11.97,0.06,8.88,0.14,0.0,-1.5,D,2M,Simbad
83.894375,-6.0464167,1065,05 35 34.65,-06 02 47.1,13.89,0.04,12.17,0.03,11.2,0.02,10.15,0.01,9.79,0.01,9.33,0.01,8.73,0.01,5.91,0.01,0.82,-1.19,D,2M,Simbad
83.9955417,-6.0442778,1066,05 35 58.93,-06 02 39.4,14.63,0.03,13.89,0.04,13.4,0.04,12.98,0.01,12.37,0.01,12.26,0.02,11.25,0.02,8.05,0.05,0.0,-0.97,D,2M,Simbad
83.90625,-6.0418333,1067,05 35 37.50,-06 02 30.6,,,,,15.28,0.16,14.25,0.02,13.11,0.02,12.08,0.04,,,,,,,D,2M,Simbad
83.905,-6.0417222,1068,05 35 37.20,-06 02 30.2,,,,,15.24,0.14,14.14,0.02,13.03,0.01,12.04,0.04,11.15,0.04,,,,0.59,D,2M,Simbad
83.5044583,-6.0406944,1069,05 34 01.07,-06 02 26.5,12.06,0.02,11.36,0.03,11.14,0.02,10.73,0.01,10.37,0.01,9.84,0.01,8.53,0.01,5.92,0.02,0.07,-0.31,D,2M,Simbad
83.7511667,-6.0373889,1070,05 35 00.28,-06 02 14.6,15.26,0.04,14.61,0.06,14.3,0.05,13.94,0.01,13.65,0.01,13.49,0.08,,,,,0.0,,D,2M,Simbad
84.3102083,-6.0368333,1071,05 37 14.45,-06 02 12.6,15.28,0.05,14.71,0.08,14.37,0.1,13.92,0.01,13.64,0.01,13.41,0.05,12.66,0.05,,,0.0,-1.41,D,2M,Simbad
83.576,-6.0333611,1072,05 34 18.24,-06 02 00.1,14.75,0.08,14.18,0.09,13.77,0.08,13.28,0.01,12.87,0.01,12.68,0.03,12.1,0.04,9.48,0.18,0.0,-1.53,D,2M,Simbad
84.0292083,-6.0306111,1073,05 36 07.01,-06 01 50.2,14.45,0.03,13.59,0.03,13.15,0.02,12.38,0.01,12.03,0.01,11.74,0.02,11.08,0.02,8.45,0.07,0.11,-1.37,D,2M,Simbad
83.8520833,-6.0295278,1074,05 35 24.50,-06 01 46.3,13.22,0.02,12.39,0.03,11.77,0.02,10.65,0.01,10.47,0.01,9.83,0.01,9.18,0.01,5.79,0.01,0.0,-1.05,D,2M,Simbad
84.3116667,-6.0282778,1075,05 37 14.80,-06 01 41.8,14.4,0.04,13.81,0.04,13.62,0.05,13.26,0.01,13.13,0.01,12.96,0.04,12.5,0.07,8.98,0.11,0.0,-1.97,D,2M,Simbad
83.8151667,-6.0244444,1076,05 35 15.64,-06 01 28.0,,,,,,,12.76,0.01,12.39,0.01,12.16,0.04,11.34,0.03,8.61,0.09,,-1.26,D,2M,Simbad
83.7522083,-6.0231667,1077,05 35 00.53,-06 01 23.4,12.96,0.02,12.21,0.03,11.84,0.02,11.42,0.01,11.1,0.01,11.08,0.02,10.39,0.02,7.61,0.04,0.02,-1.74,D,2M,Simbad
84.126125,-6.0215,1078,05 36 30.27,-06 01 17.4,,,,,14.95,0.09,10.68,0.01,9.22,0.01,7.92,0.01,6.98,0.01,2.76,0.01,,1.41,P,2M,Simbad
84.2542083,-6.0212222,1079,05 37 01.01,-06 01 16.4,,,,,15.52,0.16,13.59,0.01,12.89,0.01,12.27,0.02,12.0,0.03,9.4,0.18,,-1.0,D,2M,Simbad
83.845375,-6.0211667,1080,05 35 22.89,-06 01 16.2,,,,,15.04,0.1,14.0,0.01,13.73,0.02,13.35,0.07,12.85,0.13,,,,-1.49,D,2M,Simbad
84.1352083,-6.0211667,1081,05 36 32.45,-06 01 16.2,,,14.25,0.04,12.27,0.03,10.07,0.01,9.19,0.01,7.97,0.01,7.23,0.01,3.31,0.01,1.64,0.52,P,2M,Simbad
84.2877917,-6.0185833,1082,05 37 09.07,-06 01 06.9,14.02,0.03,13.44,0.04,12.95,0.04,12.55,0.01,12.16,0.01,11.75,0.02,11.08,0.02,8.44,0.07,0.0,-1.16,D,2M,Simbad
83.8682083,-6.0168056,1083,05 35 28.37,-06 01 00.5,14.94,0.04,14.36,0.04,14.0,0.05,13.6,0.01,13.28,0.01,13.11,0.08,12.48,0.11,,,0.0,-1.59,D,2M,Simbad
84.0649167,-6.014,1084,05 36 15.58,-06 00 50.4,13.95,0.03,13.25,0.04,12.94,0.03,12.44,0.01,12.14,0.01,11.81,0.02,11.12,0.02,8.28,0.07,0.0,-1.33,D,2M,Simbad
83.7655833,-6.0037222,1085,05 35 03.74,-06 00 13.4,,,14.13,0.08,13.87,0.05,13.44,0.06,12.54,0.03,,,,,,,0.0,,D,2M,Simbad
83.74375,-6.0001389,1086,05 34 58.50,-06 00 00.5,11.71,0.02,11.02,0.04,10.82,0.03,10.51,0.01,10.43,0.01,10.18,0.01,9.46,0.01,5.35,0.01,0.07,-1.62,D,2M,Simbad
83.9162917,-5.9870833,1087,05 35 39.91,-05 59 13.5,,,15.39,0.1,14.19,0.05,13.47,0.01,13.21,0.01,12.94,0.05,12.52,0.12,,,1.74,-1.75,D,2M,Simbad
83.868,-5.9870278,1088,05 35 28.32,-05 59 13.3,12.32,0.02,11.52,0.04,11.09,0.02,10.72,0.01,10.3,0.01,9.79,0.01,8.8,0.02,5.3,0.01,0.04,-0.63,D,2M,Simbad
83.8879583,-5.9851111,1089,05 35 33.11,-05 59 06.4,,,,,,,14.03,0.01,13.21,0.01,12.28,0.03,11.08,0.04,7.13,0.03,,0.57,FP,2M,Simbad
83.8806667,-5.9778333,1090,05 35 31.36,-05 58 40.2,12.6,0.02,12.0,0.04,11.68,0.03,11.23,0.01,10.98,0.01,10.61,0.01,9.9,0.01,7.19,0.03,0.0,-1.29,D,2M,Simbad
83.83025,-5.9755556,1091,05 35 19.26,-05 58 32.0,,,,,,,14.27,0.01,13.92,0.01,13.5,0.09,13.02,0.11,,,,-1.38,D,2M,Simbad
83.82125,-5.9750556,1092,05 35 17.10,-05 58 30.2,12.43,0.02,11.69,0.04,11.24,0.02,10.68,0.01,10.19,0.01,9.79,0.01,8.82,0.01,5.42,0.02,0.0,-0.73,D,2M,Simbad
83.7875,-5.9743333,1093,05 35 09.00,-05 58 27.6,,,,,,,12.48,0.01,10.81,0.01,10.21,0.01,,,4.06,0.01,,,P,2M,Simbad
83.8235417,-5.974,1094,05 35 17.65,-05 58 26.4,10.6,0.02,9.72,0.03,9.19,0.02,8.41,0.01,8.03,0.01,7.67,0.01,6.84,0.01,3.93,0.01,0.07,-1.05,D,2M,Simbad
83.8979167,-5.9719167,1095,05 35 35.50,-05 58 18.9,13.62,0.03,12.69,0.03,12.3,0.02,11.9,0.01,11.65,0.01,11.4,0.01,10.72,0.02,7.08,0.03,0.23,-1.5,D,2M,Simbad
83.6815,-5.9694722,1096,05 34 43.56,-05 58 10.1,13.78,0.03,12.95,0.03,12.4,0.02,11.36,0.01,10.91,0.01,10.67,0.01,10.13,0.01,7.31,0.04,0.0,-1.47,D,2M,Simbad
83.9130833,-5.9684444,1097,05 35 39.14,-05 58 06.4,13.76,0.03,13.11,0.03,12.8,0.02,12.38,0.01,12.12,0.01,11.84,0.02,11.28,0.02,8.51,0.09,0.0,-1.58,D,2M,Simbad
83.6289583,-5.9676667,1098,05 34 30.95,-05 58 03.6,14.16,0.03,13.56,0.04,13.26,0.03,12.98,0.01,12.7,0.01,12.54,0.03,11.84,0.03,8.32,0.07,0.0,-1.57,D,2M,Simbad
83.1946667,-5.9672222,1099,05 32 46.72,-05 58 02.0,12.22,0.02,11.4,0.02,11.05,0.02,10.59,0.01,10.31,0.01,10.03,0.01,9.53,0.01,,,0.13,-1.62,D,2M,Simbad
83.805875,-5.9661389,1100,05 35 13.41,-05 57 58.1,,,,,,,13.38,0.01,11.79,0.01,10.95,0.01,10.36,0.02,2.48,0.01,,0.53,P,2M,Simbad
83.698,-5.9658056,1101,05 34 47.52,-05 57 56.9,10.95,0.02,10.04,0.03,9.4,0.02,8.71,0.01,8.28,0.01,8.07,0.01,7.62,0.01,5.16,0.01,0.02,-1.63,D,2M,Simbad
83.662375,-5.9648889,1102,05 34 38.97,-05 57 53.6,13.49,0.03,12.9,0.04,12.58,0.03,12.01,0.01,11.69,0.01,11.33,0.01,10.74,0.01,8.82,0.12,0.0,-1.37,D,2M,Simbad
84.1404583,-5.9648333,1103,05 36 33.71,-05 57 53.4,11.81,0.02,10.7,0.03,9.96,0.02,9.03,0.01,8.54,0.01,8.19,0.01,7.49,0.01,5.16,0.01,0.2,-1.1,D,2M,Simbad
83.9104167,-5.9583056,1104,05 35 38.50,-05 57 29.9,,,,,15.3,0.13,14.56,0.02,14.34,0.01,13.89,0.11,13.42,0.11,,,,-1.48,D,2M,Simbad
83.9902083,-5.9551389,1105,05 35 57.65,-05 57 18.5,12.1,0.02,11.36,0.03,10.83,0.02,10.16,0.01,9.78,0.01,9.41,0.01,8.54,0.01,4.66,0.01,0.0,-0.99,D,2M,Simbad
83.4331667,-5.9545833,1106,05 33 43.96,-05 57 16.5,14.88,0.04,14.28,0.05,13.89,0.04,13.37,0.01,13.07,0.01,12.69,0.03,12.13,0.05,,,0.0,-1.4,D,2M,Simbad
83.4436667,-5.9535278,1107,05 33 46.48,-05 57 12.7,10.29,0.03,9.61,0.04,9.2,0.02,8.49,0.01,8.14,0.01,7.78,0.01,6.95,0.01,3.94,0.01,0.0,-1.08,D,2M,Simbad
83.7915417,-5.9532778,1108,05 35 09.97,-05 57 11.8,12.06,0.02,10.54,0.03,9.61,0.02,8.36,0.01,7.76,0.01,7.21,0.01,6.32,0.01,3.48,0.01,0.59,-0.5,D,2M,Simbad
83.77525,-5.95025,1109,05 35 06.06,-05 57 00.9,12.45,0.02,10.93,0.04,10.09,0.02,9.38,0.01,8.65,0.01,8.3,0.01,6.94,0.01,3.71,0.01,0.65,-0.14,D,2M,Simbad
84.204125,-5.9469444,1110,05 36 48.99,-05 56 49.0,12.17,0.02,11.42,0.03,11.22,0.02,11.09,0.01,11.02,0.01,10.79,0.01,9.82,0.01,6.27,0.01,0.14,-1.39,D,2M,Simbad
83.548625,-5.9464444,1111,05 34 11.67,-05 56 47.2,14.95,0.05,14.42,0.06,14.13,0.05,13.72,0.01,13.52,0.01,13.2,0.07,12.83,0.1,,,0.0,-1.78,D,2M,Simbad
83.4131667,-5.9448611,1112,05 33 39.16,-05 56 41.5,15.11,0.04,14.39,0.05,13.96,0.04,13.42,0.01,13.04,0.01,12.7,0.04,11.89,0.03,8.98,0.12,0.0,-1.1,D,2M,Simbad
83.744375,-5.9446944,1113,05 34 58.65,-05 56 40.9,15.56,0.05,14.97,0.08,14.67,0.08,13.95,0.01,13.71,0.01,13.5,0.07,12.53,0.07,,,0.0,-1.24,D,2M,Simbad
83.7442917,-5.94225,1114,05 34 58.63,-05 56 32.1,15.72,0.06,15.26,0.09,14.82,0.09,14.11,0.01,13.84,0.02,13.48,0.08,12.97,0.11,8.91,0.12,0.0,-1.52,D,2M,Simbad
84.1118333,-5.9416389,1115,05 36 26.84,-05 56 29.9,13.42,0.03,12.42,0.03,11.88,0.02,11.15,0.01,10.82,0.01,10.41,0.01,9.84,0.01,7.55,0.04,0.22,-1.31,D,2M,Simbad
83.8682917,-5.9411111,1116,05 35 28.39,-05 56 28.0,13.06,0.02,12.27,0.04,11.86,0.02,11.26,0.01,10.99,0.01,10.77,0.01,10.37,0.01,8.14,0.06,0.04,-1.83,D,2M,Simbad
83.9522083,-5.9396944,1117,05 35 48.53,-05 56 22.9,13.31,0.02,12.5,0.03,12.0,0.02,11.36,0.01,11.02,0.01,10.67,0.01,10.1,0.02,7.25,0.03,0.0,-1.39,D,2M,Simbad
83.8014167,-5.9354167,1118,05 35 12.34,-05 56 07.5,14.6,0.03,14.02,0.03,13.72,0.03,13.07,0.01,12.7,0.01,12.3,0.03,11.56,0.04,9.1,0.14,0.0,-1.11,D,2M,Simbad
83.78075,-5.9350556,1119,05 35 07.38,-05 56 06.2,14.01,0.03,13.42,0.04,13.11,0.03,12.67,0.01,12.45,0.01,12.22,0.02,11.58,0.03,8.22,0.07,0.0,-1.59,D,2M,Simbad
83.367,-5.9333333,1120,05 33 28.08,-05 56 00.0,17.06,0.17,15.62,0.12,15.18,0.16,14.44,0.01,14.13,0.01,14.08,0.08,13.27,0.09,9.56,0.17,0.76,-1.56,D,2M,Simbad
83.7858333,-5.93175,1121,05 35 08.60,-05 55 54.3,,,,,,,,,12.15,0.01,10.51,0.01,8.91,0.01,3.54,0.01,,,P,2M,Simbad
84.09275,-5.9298056,1122,05 36 22.26,-05 55 47.3,13.87,0.02,13.24,0.03,12.94,0.02,12.32,0.01,11.93,0.01,11.55,0.01,10.85,0.02,8.59,0.1,0.0,-1.16,D,2M,Simbad
83.5324167,-5.9298056,1123,05 34 07.78,-05 55 47.3,12.16,0.02,11.42,0.03,11.26,0.02,11.14,0.01,11.12,0.01,10.96,0.01,10.61,0.02,7.05,0.02,0.12,-2.21,D,2M,Simbad
83.7927083,-5.9294167,1124,05 35 10.25,-05 55 45.9,,,,,,,14.06,0.03,12.45,0.02,11.73,0.02,11.42,0.04,,,,0.07,D,2M,Simbad
83.8788333,-5.9283611,1125,05 35 30.92,-05 55 42.1,13.37,0.02,12.73,0.03,12.4,0.03,11.89,0.01,11.53,0.01,11.25,0.01,10.42,0.01,7.66,0.05,0.0,-1.17,D,2M,Simbad
83.5560833,-5.9281944,1126,05 34 13.46,-05 55 41.5,12.52,0.02,11.73,0.03,11.42,0.02,10.93,0.01,10.65,0.01,10.4,0.01,9.96,0.01,7.63,0.05,0.12,-1.73,D,2M,Simbad
83.7934167,-5.9280278,1127,05 35 10.42,-05 55 40.9,,,,,,,,,,,,,,,5.9,0.01,,,RP,2M,Simbad
83.8523333,-5.9259444,1128,05 35 24.56,-05 55 33.4,16.34,0.11,13.38,0.03,11.48,0.03,9.77,0.01,8.66,0.01,7.73,0.01,6.83,0.01,2.97,0.01,1.7,0.51,P,2M,Simbad
83.48475,-5.9251111,1129,05 33 56.34,-05 55 30.4,15.75,0.06,15.05,0.08,14.52,0.06,14.01,0.01,13.87,0.01,13.74,0.11,,,,,0.0,,D,2M,Simbad
84.079875,-5.9250833,1130,05 36 19.17,-05 55 30.3,,,15.87,0.16,15.19,0.12,12.65,0.01,11.64,0.01,10.89,0.01,9.95,0.01,5.88,0.03,0.0,0.22,P,2M,Simbad
83.7316667,-5.92475,1131,05 34 55.60,-05 55 29.1,13.02,0.02,12.05,0.03,11.52,0.02,10.82,0.01,10.43,0.01,9.8,0.01,8.57,0.01,5.23,0.02,0.18,-0.23,D,2M,Simbad
84.15075,-5.9247222,1132,05 36 36.18,-05 55 29.0,11.62,0.02,10.61,0.03,9.99,0.02,9.21,0.01,8.85,0.01,8.53,0.01,8.04,0.01,6.1,0.02,0.15,-1.5,D,2M,Simbad
83.8600833,-5.924,1133,05 35 26.42,-05 55 26.4,13.32,0.02,12.58,0.04,12.28,0.03,11.76,0.01,11.53,0.01,11.07,0.02,10.68,0.02,8.43,0.08,0.05,-1.54,D,2M,Simbad
83.8034167,-5.9239722,1134,05 35 12.82,-05 55 26.3,13.51,0.02,12.79,0.03,12.56,0.02,12.14,0.01,11.89,0.01,11.64,0.02,11.07,0.02,8.5,0.09,0.09,-1.61,D,2M,Simbad
83.753375,-5.9238056,1135,05 35 00.81,-05 55 25.7,,,15.54,0.12,12.8,0.03,10.34,0.01,8.84,0.01,8.01,0.01,6.99,0.01,3.49,0.01,1.48,0.9,P,2M,Simbad
84.07925,-5.92375,1136,05 36 19.02,-05 55 25.5,,,15.74,0.14,14.26,0.07,11.4,0.01,10.43,0.01,9.68,0.01,8.89,0.01,4.91,0.01,0.15,0.02,P,2M,Simbad
83.5482917,-5.9227222,1137,05 34 11.59,-05 55 21.8,12.26,0.02,11.53,0.03,11.14,0.02,10.47,0.01,10.22,0.01,10.07,0.01,9.65,0.02,6.36,0.04,0.0,-1.92,D,2M,Simbad
83.7283333,-5.9189722,1138,05 34 54.80,-05 55 08.3,14.92,0.04,14.24,0.06,14.0,0.05,13.55,0.01,13.27,0.01,12.98,0.04,12.52,0.06,,,0.03,-1.66,D,2M,Simbad
83.9986667,-5.9174722,1139,05 35 59.68,-05 55 02.9,13.95,0.03,13.34,0.03,13.04,0.03,12.83,0.01,12.55,0.01,12.45,0.05,,,,,0.0,,D,2M,Simbad
83.6744583,-5.9173889,1140,05 34 41.87,-05 55 02.6,15.12,0.04,14.46,0.06,14.14,0.05,13.61,0.01,13.38,0.01,13.16,0.07,12.48,0.09,,,0.0,-1.55,D,2M,Simbad
83.706875,-5.9143333,1141,05 34 49.65,-05 54 51.6,16.1,0.08,15.17,0.08,14.56,0.06,13.9,0.01,13.73,0.01,13.74,0.1,12.76,0.18,,,0.08,-1.6,D,2M,Simbad
83.801375,-5.9098056,1142,05 35 12.33,-05 54 35.3,13.9,0.03,13.34,0.04,13.03,0.03,12.68,0.01,12.57,0.01,12.4,0.03,11.87,0.06,9.11,0.14,0.0,-1.9,D,2M,Simbad
83.743,-5.9079444,1143,05 34 58.32,-05 54 28.6,12.14,0.02,11.26,0.03,10.64,0.02,10.08,0.01,9.62,0.01,9.14,0.01,8.37,0.01,6.06,0.02,0.0,-0.88,D,2M,Simbad
83.707,-5.9075278,1144,05 34 49.68,-05 54 27.1,14.89,0.04,14.18,0.06,13.64,0.04,12.96,0.01,12.74,0.01,12.21,0.03,11.58,0.04,,,0.0,-1.19,D,2M,Simbad
83.8101667,-5.9073611,1145,05 35 14.44,-05 54 26.5,13.61,0.03,12.86,0.03,12.6,0.02,12.04,0.01,11.63,0.01,11.44,0.02,10.83,0.02,8.49,0.08,0.11,-1.49,D,2M,Simbad
83.9792083,-5.9057222,1146,05 35 55.01,-05 54 20.6,14.5,0.03,13.59,0.04,13.07,0.03,12.43,0.01,12.25,0.01,11.92,0.05,10.92,0.06,7.77,0.04,0.12,-1.1,D,2M,Simbad
83.7664167,-5.9004722,1147,05 35 03.94,-05 54 01.7,13.88,0.03,12.32,0.04,11.26,0.02,9.66,0.01,9.02,0.01,8.43,0.01,7.65,0.01,4.98,0.01,0.55,-0.53,D,2M,Simbad
83.9505,-5.8992222,1148,05 35 48.12,-05 53 57.2,12.82,0.02,11.62,0.03,11.0,0.02,9.84,0.01,9.46,0.01,9.14,0.01,8.47,0.01,5.54,0.01,0.42,-1.28,D,2M,Simbad
