angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
1.491053,64.54375,28.746389,15,041810.5+284447,w,,,12.42,0.05,,11.73,0.05,,10.94,0.06,,10.06,0.06,,6.42,0.05,,1.84,0.22,>,2.04,,yes,no,no,yes-faint,yes,,1,,C,yso,class II,I,,,,,,,pending followup,,64.5437,28.7464,164714469703047424,64.54420351484,28.74650494329,2481.37598000,1502.55920000,3649.50879000,2024.54346000,1704.09521000,2473.08545000,10033
1.265846,64.544583,25.3325,16,041810.7+251957,M,[GBM90] L1506 1,,8.1,0.05,,7.76,0.05,,7.27,0.05,,6.33,0.05,,4.42,0.04,,1.72,0.22,>,-1.45,,yes,yes,yes,yes,yes,h,1,[GBM90] L1506 1,A+,yso,class II,II,K8-M0,-4.3,4.3,-0.3,,0.11,new member,"a,b,e,f,o",64.5446,25.3325,150393571269837184,64.54497202982,25.33250151513,129.48306300,129.06944300,129.86900300,129.51565600,129.13816800,129.88661200,10033
0.131859,64.596667,25.324444,17,041823.2+251928,w,2MASX 04182321+2519281,,11.79,0.05,,11.09,0.05,,10.44,0.06,,9.57,0.05,,6.18,0.05,>,1.18,,>,-1.08,,,yes-faint,yes-faint,yes-faint,yes,,1,2MASX J04182321+2519281,B+,yso,class II,flat,G,1.9,7.7,-1.8,,0.34,needs add'l followup,"b,e,l,n",64.5967,25.3244,150390959929396608,64.59670030301,25.32446486630,1601.03320000,850.49603300,2273.76929000,1630.63062000,1364.64233000,1933.47620000,10033
1.121760,64.741667,23.841944,19,041858.0+235031,w,,,12.68,0.06,,11.85,0.05,,11.07,0.06,,10.22,0.06,,7.27,0.05,>,1.2,,>,0.33,,,no,no,yes-faint,yes,,1,,B,yso,embedded,flat,,,,,,,pending followup,c,64.7417,23.8419,149071580336201728,64.74200699177,23.84196367666,1975.66382000,1444.30884000,3288.95605000,2213.08472000,1974.15576000,2521.17529000,10033
0.035109,64.745833,25.961111,20,041859.0+255740,w,,,13.08,0.06,,12.06,0.06,,11.1,0.06,,9.9,0.06,,5.96,0.04,>,1.25,,>,1.82,,,no,yes-faint,yes-faint,yes,,1,,B-,yso,embedded,I,,,,,,,pending followup,,64.7458,25.9611,150542284512041472,64.74583887019,25.96111920089,1355.06897000,787.07232700,1989.37561000,4967.41504000,4201.96924000,5796.60742000,10033
0.212909,64.900833,26.882222,21,041936.2+265256,w,,,12.26,0.05,,12.22,0.06,,12.17,0.06,,12.09,0.06,,9.27,0.15,>,1.55,,>,-0.29,,,yes,no,no,no,,1,,B,not yso,star,III,G3,2.7,0.8,-1.3,,0.0032,needs add'l followup,"b,n",64.9008,26.8822,150845234327543936,64.90089435381,26.88224442764,1094.73218000,1059.84473000,1128.59851000,1088.80505000,1059.72119000,1114.90356000,10033
1.428886,64.918333,27.016667,22,041940.4+270100,w,,,12.81,0.06,,11.95,0.05,,11.15,0.06,,10.25,0.06,,6.69,0.05,>,1.63,,>,0.34,,,no,no,yes-faint,yes,,1,,B-,yso,embedded,I,,,,,,,pending followup,"g,l",64.9183,27.0167,150851384721524352,64.91872728777,27.01685181298,2094.97925000,1331.46912000,3666.46216000,2340.57983000,1968.82178000,2625.56592000,10033
0.352024,65.067083,28.358889,25,042016.1+282132,M,,,11.86,0.05,,11.48,0.05,,11.13,0.06,,10.57,0.06,,8.23,0.08,>,1.07,,>,-0.28,,,yes,no,yes-faint,yes,,1,,A+,yso,class II,II,M6e,-133.1,0.2,-2.1,,0.13,new member,"b,c,f,k",65.0671,28.3589,164593115404749440,65.06718826779,28.35892031483,130.45001200,128.37966900,132.84991500,130.10238600,128.01245100,132.66922000,10022
2.745100,65.067083,28.358889,25,042016.1+282132,M,,,11.86,0.05,,11.48,0.05,,11.13,0.06,,10.57,0.06,,8.23,0.08,>,1.07,,>,-0.28,,,yes,no,yes-faint,yes,,1,,A+,yso,class II,II,M6e,-133.1,0.2,-2.1,,0.13,new member,"b,c,f,k",65.0671,28.3589,164593111108784384,65.06642555921,28.35938572973,1909.97302000,1282.47632000,2659.93433000,1498.17322000,1314.21826000,1750.45374000,10033
0.756192,65.1075,28.323056,27,042025.8+281923,M,,,9.19,0.05,,8.52,0.05,,7.92,0.05,,7.12,0.05,,3.78,0.04,,1.92,0.22,>,-1.07,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,flat,M4e,-102.2,11.2,-1.5,,0.71,new member,"b,c,f,k,l",65.1075,28.3231,164546038266077824,65.10769862890,28.32317240347,142.70025600,136.35093700,150.28854400,142.61483800,136.34608500,150.51057400,10033
