_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE
62.99875,29.71,1,041159.7+294236,w,,,,,,10.91,0.05,,,,,10.22,0.06,,9.88,0.35,>,1.16,,>,1.33,,,yes,no,yes,,,1,,C,,,III,G8-K1,0.9,2.8,-0.8,,0.002,needs add'l followup,b,62.9987,29.71
63.384583,29.290556,2,041332.3+291726,w,,,13.04,0.06,,12.96,0.06,,12.79,0.07,,11.96,0.07,,8.19,0.09,,2.45,0.22,>,0.08,,no,yes,no,no,no,,1,,A,not yso,star,II,,,,,,,pending followup,c,63.3846,29.2906
63.414167,29.353889,3,041339.4+292114,w,,,12.8,0.06,,11.94,0.05,,11.15,0.06,,10.35,0.06,,7.54,0.06,>,1.2,,>,1.46,,,no,no,yes-faint,yes,,1,,B-,yso,embedded,flat,,,,,,,pending followup,j,63.4142,29.3539
63.61375,25.858333,4,041427.3+255130,p,,,13.01,0.06,,12.95,0.06,,12.97,0.07,,12.22,0.08,,9.31,0.21,>,1.33,,>,-0.25,,,yes,no,no,no,,1,,B+,not yso,star,III,G5,2.5,0.4,-1.7,,0.0095,possible,new member,b,n,63.6137,25.8583
63.898333,28.794722,5,041535.6+284741,w,,,13.2,0.06,,12.26,0.06,,11.33,0.06,,10.34,0.06,,5.65,0.04,,2.05,0.22,>,-1.53,,yes,no,yes-faint,yes-faint,yes,,1,,A-,yso,embedded,I,,,,,,,pending followup,c,63.8983,28.7947
63.912917,28.316111,6,041539.1+281858,M,,,8.77,0.05,,8.52,0.05,,8.17,0.05,,7.5,0.05,,4.23,0.04,,1.08,0.22,>,-2.26,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,II,M5,-7.2,2.8,-0.5,,0.075,new member,b,f,l,63.9129,28.3161
63.927917,29.166389,7,041542.7+290959,M,,,9.2,0.05,,9.18,0.05,,9.05,0.05,,9.0,0.06,,4.51,0.04,,-0.16,0.22,>,-2.01,,yes,yes,yes,no,no,,1,,A+,yso,star,II,M0 w/ Av,-1.9,2.5,-0.5,,0.099,new member,b,f,63.9279,29.1664
63.99125,27.771389,8,041557.9+274617,M,,,9.72,0.05,,9.4,0.05,,9.06,0.05,,8.37,0.05,,5.74,0.04,>,1.22,,>,-1.58,,,yes,yes,yes,yes,,1,,A+,yso,class II,II,M6,-32.2,1.1,-1.1,,0.12,new member,b,f,l,63.9912,27.7714
64.02,26.300278,9,041604.8+261801,w,,,12.27,0.05,,11.5,0.05,,10.73,0.06,,9.85,0.06,,6.53,0.05,>,1.3,,>,-1.27,,,no,yes-faint,yes-faint,yes,,1,,C-,yso,embedded,flat,,,,,,,pending followup,,64.02,26.3003
64.024167,28.240556,10,041605.8+281426,w,,,16.29,0.08,,15.41,0.09,,14.31,0.15,,13.27,0.12,,8.79,0.14,,2.36,0.22,>,-1.49,,yes-faint,,no,no,no,,0,,C,not yso,contam.,I,,,,,,,pending followup,,64.0242,28.2406
