angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.210455,85.659,-10.0186944,26,05 42 38.16,-10 01 07.3,13.72,0.03,11.31,0.03,10.02,0.03,9.28,0.01,9.0,0.01,8.69,0.01,8.46,0.01,5.34,0.01,1.45,-1.87,D,2M,Simbad,3011894199126968576,85.65903642847,-10.01874055917,964.80987500,516.11022900,1523.06946000,2652.18164000,2062.95654000,3154.02368000,20033
0.316991,85.673125,-10.0183056,27,05 42 41.55,-10 01 05.9,14.49,0.03,13.31,0.03,12.55,0.03,11.31,0.01,10.94,0.01,10.55,0.01,10.33,0.01,8.19,0.06,0.29,-1.69,D,2M,Simbad,3011894126112277248,85.67313427775,-10.01839317774,423.69992100,404.92852800,441.52560400,426.61486800,408.20080600,448.26709000,10033
0.155367,85.7710833,-10.0173611,28,05 43 05.06,-10 01 02.5,13.41,0.02,12.21,0.02,11.61,0.02,11.11,0.01,10.9,0.01,10.71,0.01,10.59,0.01,6.15,0.02,0.42,-2.23,D,2M,Simbad,3011894710228218752,85.77109599850,-10.01740240623,441.52484100,423.47247300,460.63970900,439.57440200,423.19216900,454.68435700,10033
0.397231,85.65225,-10.0173056,29,05 42 36.54,-10 01 02.3,13.4,0.03,11.99,0.03,11.36,0.02,10.9,0.01,10.65,0.01,10.33,0.01,9.5,0.01,4.46,0.01,0.66,-1.24,D,2M,Simbad,3011893821169847808,85.65234324786,-10.01724441753,435.48642000,403.26278700,467.73983800,422.71505700,395.44686900,453.35543800,10012
0.121303,85.5637917,-10.0163333,30,05 42 15.31,-10 00 58.8,14.57,0.03,13.29,0.04,12.59,0.03,11.91,0.01,11.52,0.01,11.03,0.01,10.17,0.01,7.75,0.05,0.46,-0.83,D,2M,Simbad,3011882272002718208,85.56381862395,-10.01635409439,832.79406700,639.24566700,1124.01440000,711.80212400,580.14276100,908.23443600,10033
0.384045,85.640875,-10.0146944,32,05 42 33.81,-10 00 52.9,15.22,0.05,13.52,0.04,12.38,0.03,10.55,0.01,9.58,0.01,8.53,0.01,6.98,0.01,2.39,0.01,0.67,1.26,P,2M,Simbad,3011905567905394688,85.64089507024,-10.01479923226,1255.25635000,691.39959700,1873.83875000,1701.93359000,1305.44421000,2183.04663000,10033
0.261231,85.5665,-10.0113333,33,05 42 15.96,-10 00 40.8,14.52,0.04,12.84,0.02,12.03,0.03,11.04,0.01,10.56,0.01,9.99,0.01,9.28,0.01,6.35,0.02,0.87,-0.8,D,2M,Simbad,3011905744000059008,85.56656183366,-10.01137276788,1251.51758000,740.79174800,1900.87659000,1027.08142000,781.20867900,1624.19495000,10033
0.364043,85.6013333,-10.0103056,35,05 42 24.32,-10 00 37.1,13.67,0.03,12.55,0.03,11.8,0.02,10.68,0.01,10.15,0.01,9.79,0.01,9.18,0.01,6.8,0.03,0.22,-1.14,D,2M,Simbad,3011905709640318848,85.60130912941,-10.01040388183,441.93411300,421.73104900,465.53454600,439.44842500,422.42651400,459.41943400,10033
0.481521,85.7704583,-10.0055278,38,05 43 04.91,-10 00 19.9,13.44,0.03,12.12,0.04,11.47,0.03,10.65,0.01,10.32,0.01,9.98,0.01,9.27,0.01,6.38,0.01,0.53,-1.25,D,2M,Simbad,3011894714522990208,85.77039846090,-10.00564787505,468.69427500,419.82586700,547.85266100,443.03787200,398.35348500,511.04815700,10033
1.138065,85.7704583,-10.0055278,38,05 43 04.91,-10 00 19.9,13.44,0.03,12.12,0.04,11.47,0.03,10.65,0.01,10.32,0.01,9.98,0.01,9.27,0.01,6.38,0.01,0.53,-1.25,D,2M,Simbad,3011894714524030848,85.77071772522,-10.00534160697,499.45355200,456.84503200,548.53442400,499.48532100,454.01541100,560.31518600,10031
