_RAJ2000,_DEJ2000,SST,l_[3.6],[3.6],l_[4.5],[4.5],l_[5.8],[5.8],l_[8.0],[8.0],l_[24],[24],l_[70],[70],l_[160],[160],IRAC,2M,SimbadName,Class,SpType,EW,AV,l_LIR/L,LIR/L,_RA,_DE
68.291667,24.561944,043310.0+243343,,8.41,,8.41,,8.37,,8.32,,8.14,>,1.03,,,no,1,V830 Tau,III,K7,,0.7,<,4.5E-5,68.2917,24.5619
68.309583,26.239722,043314.3+261423,,12.05,,11.72,,11.29,,9.54,,3.28,,1.12,>,-0.95,yes,1,IRAS S04301+2608,flat,M0,,6.5,,0.62,68.3096,26.2397
68.31875,22.888889,043316.5+225320,,10.29,,9.88,,9.72,,9.71,,3.57,,-1.88,,-4.51,no,1,IRAS04302+2247,I,,,,,,68.3187,22.8889
68.329167,22.776111,043319.0+224634,<,6.62,<,6.1,,4.77,,3.73,,1.43,,-0.11,,,,1,IRAS04303+2240,II,M0.5,,10.8,,0.45,68.3292,22.7761
68.391667,24.354722,043334.0+242117,,6.87,,6.31,,5.79,,5.12,,2.15,,,,,yes,1,GI Tau,II,K6,,2.7,,0.19,68.3917,24.3547
68.39375,24.351389,043334.5+242105,<,6.62,<,6.1,,5.79,,5.14,,1.7,,-0.23,,,,1,GK Tau,II,K7,,2.7,,0.16,68.3937,24.3514
68.402917,26.163611,043336.7+260949,,7.85,,7.46,,6.94,,6.03,,3.65,,2.08,>,-0.83,yes,1,IS Tau,II,K7,,3.5,,0.15,68.4029,26.1636
68.4125,25.343889,043339.0+252038,,6.95,,6.37,,5.92,,5.13,,2.19,,-0.25,,-2.44,yes,1,DL Tau,II,K7,,2.8,,0.26,68.4125,25.3439
68.42875,25.446389,043342.9+252647,,12.76,,12.63,,12.52,,12.47,>,11.05,>,1.43,,,no,1,2MASS J04334291+2526470,III,M8.75,,1.2,<,0.0042,68.4287,25.4464
68.466667,22.841667,043352.0+225030,,6.99,,6.53,,6.17,,5.33,,2.37,,-0.8,,,yes,1,CI Tau,II,K7,,3.6,,0.14,68.4667,22.8417
68.46875,22.940556,043352.5+225626,,8.79,,8.71,,8.63,,8.6,,8.32,>,1.41,,,no,1,2MASS J04335252+2256269,III,,,,,,68.4687,22.9406
68.477917,26.224167,043354.7+261327,,7.35,,6.98,,6.63,,6.05,,3.53,,0.83,>,-1.28,yes,1,IT Tau,II,K2,,13.4,,0.0082,68.4779,26.2242
68.545417,22.862222,043410.9+225144,,9.3,,9.27,,9.19,,9.17,,8.88,>,1.15,,,no,1,JH108,III,M1,,1.7,<,6.8E-5,68.5454,22.8622
68.563333,22.841667,043415.2+225030,,11.23,,11.1,,10.98,,11.02,>,9.94,>,1.0,,,no,1,[MDM2001] CFHT-BD-Tau 1,II,,,,,,68.5633,22.8417
68.663333,25.016944,043439.2+250101,,7.83,,7.79,,7.75,,7.73,,7.67,>,0.85,,,no,1,Wa Tau 1,III,K0,,0.3,<,3.4E-5,68.6633,25.0169
68.730833,24.481389,043455.4+242853,,7.29,,6.84,,6.44,,5.65,,2.81,,-0.14,,-2.47,yes,1,AA Tau,II,K7,,2.2,,0.15,68.7308,24.4814
68.785417,23.194167,043508.5+231139,,11.19,,11.12,,11.04,,10.99,,10.23,>,0.37,,,no,1,[MDM2001] CFHT-BD-Tau 11,III,M6.75,,0.0,,5.1E-4,68.7854,23.1942
68.834167,22.537222,043520.2+223214,,8.9,,8.52,,8.38,,7.73,,4.85,,2.43,,,yes,1,HO Tau,II,M0.5,,2.6,,0.11,68.8342,22.5372
68.836667,22.906667,043520.8+225424,,8.45,,8.44,,8.42,,8.36,,8.15,>,1.26,,,no,1,FF Tau,III,K7,0.0,1.9,<,6.3E-5,68.8367,22.9067
68.86375,24.249444,043527.3+241458,,7.47,,7.16,,6.78,,6.03,,3.04,,0.44,>,0.04,yes,1,DN Tau,II,M0,,1.1,,0.095,68.8637,24.2494
68.897083,24.138611,043535.3+240819,,9.93,,9.28,,9.06,,8.54,,1.43,,-2.26,,-5.07,yes,1,IRAS04325+2402,I,,,,,,68.8971,24.1386
68.920417,24.185556,043540.9+241108,,7.43,,6.95,,6.48,,5.64,,3.31,,1.33,>,-2.14,yes,1,NAME CoKu Tau 3,II,M1,,7.7,,0.11,68.9204,24.1856
68.924167,22.569722,043541.8+223411,,11.64,,11.54,,11.43,,11.46,>,10.71,>,1.12,,,no,1,[BLH2002] KPNO-Tau 8,III,M5.75,,0.0,<,0.002,68.9242,22.5697
68.938333,27.620278,043545.2+273713,,13.18,,13.11,,12.93,,13.07,>,10.62,>,1.47,,,no,1,2MASS J04354526+2737130,III,M9.25,,1.0,<,0.0021,68.9383,27.6203
68.947083,22.839167,043547.3+225021,<,6.62,<,6.1,,5.61,,4.47,,1.65,,-0.18,,,,1,HQ Tau,II,K2,-1.2,3.8,,0.098,68.9471,22.8392
68.9625,22.877778,043551.0+225240,,9.79,,9.72,,9.66,,9.65,,9.71,>,0.72,,,no,1,[BLH2002] KPNO-Tau 15,III,M1.5,,2.7,<,2.2E-5,68.9625,22.8778
68.964167,22.819722,043551.4+224911,,13.63,,13.52,,13.7,,13.41,>,10.93,>,0.86,,,no,1,[BLH2002] KPNO-Tau 9,III,M8.5,,1.4,<,0.004,68.9642,22.8197
68.966667,22.9175,043552.0+225503,,9.56,,9.52,,9.39,,9.35,,,>,0.5,,,no,1,2MASS J04355209+2255039,III,,,,,,68.9667,22.9175
68.969583,22.906389,043552.7+225423,<,6.62,,6.2,,5.65,,4.88,,1.49,,-1.93,,-4.48,,1,HP Tau,II,K3,-11.2,4.8,,0.24,68.9696,22.9064
68.97,22.849444,043552.8+225058,,9.46,,9.36,,9.28,,9.29,,9.1,>,0.93,,,no,1,2MASS J04355286+2250585,III,,,,,,68.97,22.8494
68.9725,22.902222,043553.4+225408,,8.62,,8.6,,8.51,,8.47,,,>,-0.03,>,-2.19,no,1,CoKu HP Tau G3,III,K7,,2.2,<,0.0011,68.9725,22.9022
68.975417,22.903611,043554.1+225413,,7.19,,7.17,,7.11,,7.02,,,>,-0.03,>,-2.35,no,1,CoKu HP Tau G2,III,G0,,2.6,<,5.9E-4,68.9754,22.9036
68.986667,22.91,043556.8+225436,,8.61,,8.18,,7.85,,7.14,,4.39,>,0.7,>,-2.24,yes,1,Haro 6-28,II,M5,,4.1,,0.11,68.9867,22.91
68.995417,22.643056,043558.9+223835,,8.15,,8.19,,8.1,,8.06,,,>,1.12,,,no,1,2MASS J04355892+2238353,III,,,,,,68.9954,22.6431
69.042917,21.993333,043610.3+215936,,13.02,,12.74,,12.41,,11.74,,9.01,>,1.07,,,yes,1,2MASS J04361030+2159364,II,M8.5,,0.8,,0.096,69.0429,21.9933
69.042917,22.998889,043610.3+225956,,11.63,,11.43,,11.34,,11.32,>,10.61,>,1.48,>,-3.51,no,1,[MDM2001] CFHT-BD-Tau 2,II,M7.5,,3.0,<,0.0024,69.0429,22.9989
69.079167,25.716111,043619.0+254258,,8.52,,8.54,,8.51,,8.45,,8.24,>,0.99,>,-0.98,no,1,LkCa 14,III,M0,,0.0,<,4.5E-5,69.0792,25.7161
69.162083,22.969722,043638.9+225811,,11.79,,11.69,,11.59,,11.57,>,8.55,>,1.12,,,no,1,[MDM2001] CFHT-BD-Tau 3,III,M7.75,,1.8,<,0.0025,69.1621,22.9697
69.204583,24.216111,043649.1+241258,,8.32,,8.25,,8.3,,8.2,,6.64,,1.1,>,0.51,no,1,HD 283759,II,F2,5.5,0.4,,0.0037,69.2046,24.2161
69.503333,25.9825,043800.8+255857,,9.6,,9.47,,9.37,,9.31,,9.17,>,0.96,>,-2.05,no,1,ITG 2,III,M7.25,,2.3,<,8.9E-5,69.5033,25.9825
69.561667,26.194167,043814.8+261139,,10.8,,10.21,,9.64,,8.92,,4.98,>,0.8,>,-1.11,yes,1,2MASS J04381486+2611399,I,M7.25,,3.5,,0.75,69.5617,26.1942
69.565,23.040833,043815.6+230227,,9.69,,9.69,,9.64,,9.6,>,9.35,>,1.08,,,no,1,RXJ0438.2+2302,III,M1,,0.3,<,7.8E-4,69.565,23.0408
69.58875,26.153611,043821.3+260913,,9.27,,8.77,,8.43,,7.81,,5.33,>,0.97,>,-1.31,yes,1,GM Tau,II,,,,,,69.5887,26.1536
69.61875,26.180278,043828.5+261049,<,6.62,<,6.1,,5.26,,4.77,,1.09,,-1.37,,-3.92,,1,DO Tau,II,M0,,4.9,,0.28,69.6187,26.1803
69.646667,26.177222,043835.2+261038,,7.65,,7.59,,7.49,,7.46,,,>,0.72,>,-3.65,no,1,HV Tau AB,III,M1,,2.5,<,0.0012,69.6467,26.1772
69.6475,26.178056,043835.4+261041,,11.33,,10.74,,10.22,,9.38,,3.52,,-0.09,,,yes,1,HV Tau C,flat,M4e,-10.0,1.9,,0.71,69.6475,26.1781
69.74375,23.609722,043858.5+233635,,10.51,,,,9.84,,,,6.39,>,0.85,,,,1,[SCH2006b] J0438586+2336352,II,M4.25,,0.0,,0.085,69.7437,23.6097
69.756667,23.600556,043901.6+233602,,9.76,,,,9.18,,,,6.28,>,2.3,,,,1,[SCH2006b] J0439016+2336030,II,M6,-3.3,0.9,,0.044,69.7567,23.6006
69.76625,25.740556,043903.9+254426,,10.75,,10.45,,10.02,,9.14,,6.51,>,0.47,>,-0.54,yes,1,[MDM2001] CFHT-BD-Tau 6,II,M7.25,,1.3,,0.12,69.7662,25.7406
69.77625,23.571389,043906.3+233417,,10.73,,,,10.62,,,>,9.32,,,,,,1,[SCH2006b] J0439064+2334179,III,M7.5,,0.0,<,,69.7762,23.5714
69.8075,25.888889,043913.8+255320,,8.0,,7.08,,6.46,,4.82,<,0.45,<,-2.3,<,-4.73,yes,1,IRAS04361+2547,I,,,,,,69.8075,25.8889
69.82375,22.350833,043917.7+222103,,7.61,,7.41,,7.23,,6.64,,3.11,,-0.4,,-2.47,yes,1,LkCa 15,II,K5,,1.9,,0.1,69.8237,22.3508
69.837083,25.750556,043920.9+254502,,6.99,,6.58,,6.21,,5.42,,2.82,,1.59,>,-2.43,yes,1,GN Tau,II,M2.5,,5.7,,0.2,69.8371,25.7506
69.89625,25.695556,043935.1+254144,,7.22,<,6.1,,4.87,,4.16,<,0.45,,-2.17,<,-3.82,,1,IRAS04365+2535,I,,,,,,69.8962,25.6956
69.9475,26.027778,043947.4+260140,,9.54,,9.07,,8.6,,7.78,,4.95,>,0.91,>,-4.76,yes,1,[MDM2001] CFHT-BD-Tau 4,II,M7,,4.4,,0.14,69.9475,26.0278
69.974583,26.0525,043953.9+260309,,13.39,,11.15,,10.09,,9.73,,2.69,<,-2.3,<,-4.4,yes,0,IRAS 04368+2557,I,,,,,,69.9746,26.0525
69.982083,25.750556,043955.7+254502,<,6.62,<,6.1,<,3.49,<,3.52,<,0.45,,-2.17,>,-5.41,,1,NAME IC 2087 IR,flat,K4,,18.0,,0.41,69.9821,25.7506
70.007083,25.941389,044001.7+255629,,10.15,,9.96,,9.87,,9.82,,9.1,>,0.74,>,-2.26,no,1,[MDM2001] CFHT-BD-Tau 17,III,M5.75,,8.4,<,2.3E-4,70.0071,25.9414
70.033333,26.090278,044008.0+260525,,7.96,,7.38,,6.93,,5.93,,2.43,,0.75,>,-1.78,yes,1,IRAS 04370+2559,II,<M0,,13.1,,0.15,70.0333,26.0903
70.165417,25.318333,044039.7+251906,,9.84,,9.68,,9.62,,9.57,,7.55,>,1.0,>,-2.43,no,1,2MASS J04403979+2519061,III,M5.25,,3.6,,0.0042,70.1654,25.3183
70.20625,25.855278,044049.5+255119,,8.9,,8.6,,8.24,,7.74,,5.13,,2.2,>,0.93,yes,1,JH223,II,M2,,1.5,,0.08,70.2062,25.8553
70.2675,25.965556,044104.2+255756,,9.66,,9.56,,9.49,,9.46,,9.59,>,0.7,>,-0.83,no,1,Haro 6-32,III,M5,,0.6,<,2.9E-5,70.2675,25.9656
70.269583,24.851667,044104.7+245106,,8.13,,8.15,,8.08,,8.03,,7.97,>,1.08,,,no,1,IW Tau,III,K7,,1.1,<,4.0E-5,70.2696,24.8517
70.284167,25.935278,044108.2+255607,,9.68,,9.05,,8.49,,7.73,,4.6,>,0.67,>,0.73,yes,1,ITG 33 A,flat,M3,,8.3,,0.33,70.2842,25.9353
70.294583,25.919722,044110.7+255511,,10.78,,10.35,,9.92,,9.22,,6.48,>,0.74,>,-1.25,yes,1,ITG 34,II,M5.5,,4.0,,0.1,70.2946,25.9197
70.3025,25.776389,044112.6+254635,,9.15,,7.76,,6.72,,5.75,,1.43,,-1.92,,-4.33,yes,1,IRAS04381+2540,I,,,,,,70.3025,25.7764
70.411667,25.940556,044138.8+255626,,8.24,,7.74,,7.13,,6.05,,1.86,,-0.9,,-2.73,yes,1,IRAS04385+2550,flat,M0,,9.3,,0.3,70.4117,25.9406
70.450833,25.575,044148.2+253430,,11.43,,10.93,,10.5,,9.54,,6.33,>,1.02,>,-4.57,yes,1,2MASS J04414825+2534304,II,M7.75,,2.4,,0.21,70.4508,25.575
70.5225,25.382222,044205.4+252256,,7.99,,7.87,,7.74,,7.7,,7.18,,,>,-4.69,no,1,CoKu LkHA 332 G2,III,K7,,4.3,,1.6E-4,70.5225,25.3822
70.530417,25.384167,044207.3+252303,,7.65,,7.62,,7.53,,7.51,,,>,0.51,>,-2.34,no,1,CoKu LkHA 332 G1,III,M1,,4.6,<,6.5E-4,70.5304,25.3842
70.532083,25.386389,044207.7+252311,,6.99,,6.58,,6.15,,5.4,,2.76,,-0.56,>,-2.07,yes,1,V955 Tau,II,K7,,5.0,,0.14,70.5321,25.3864
70.5875,25.342778,044221.0+252034,,9.51,,9.11,,8.65,,7.79,,4.2,,1.13,>,-1.18,yes,1,[BCG93] 7,II,M3,,1.6,,0.2,70.5875,25.3428
70.656667,25.260278,044237.6+251537,,7.57,,6.9,,6.34,,5.37,,1.9,,0.54,>,-1.7,yes,1,DP Tau,II,M0.5,,5.6,,0.37,70.6567,25.2603
70.7625,25.338333,044303.0+252018,,8.9,,8.64,,8.21,,7.42,,4.3,,1.03,>,0.53,yes,1,GO Tau,II,M0,,2.3,,0.096,70.7625,25.3383
71.112917,25.204444,044427.1+251216,,9.56,,9.0,,8.36,,7.43,,4.25,,1.76,>,0.05,yes,1,IRAS S04414+2506,II,M7.25,,1.6,,0.44,71.1129,25.2044
71.6775,24.984167,044642.6+245903,,10.05,,9.97,,9.87,,9.9,,9.53,>,0.96,,,no,1,RX J0446.7+2459,III,M4,,0.0,<,1.5E-4,71.6775,24.9842
