_RAJ2000,_DEJ2000,SST,l_[3.6],[3.6],l_[4.5],[4.5],l_[5.8],[5.8],l_[8.0],[8.0],l_[24],[24],l_[70],[70],l_[160],[160],IRAC,2M,SimbadName,Class,SpType,EW,AV,l_LIR/L,LIR/L,_RA,_DE
64.620833,28.438611,041829.0+282619,,8.87,,8.64,,8.46,,8.39,,8.15,>,1.67,>,0.12,no,1,[SS94] V410 Anon 25,II,M1,,22.9,<,1.2E-5,64.6208,28.4386
64.62625,27.722222,041830.3+274320,,10.71,,10.59,,10.6,,10.5,>,10.01,>,1.46,,,no,1,[BLH2002] KPNO-Tau 11,III,M5.5,,0.0,<,0.0018,64.6262,27.7222
64.629583,28.454444,041831.1+282716,,7.36,,7.34,,7.34,,7.25,,7.14,>,1.65,,,no,1,V* V410 Tau,III,K3,,1.1,<,6.5E-5,64.6296,28.4544
64.629583,28.274722,041831.1+281629,<,6.62,<,6.1,,5.29,,4.48,,1.75,,-0.04,,,,1,DD Tau,II,M1,,4.3,,0.3,64.6296,28.2747
64.63125,28.282778,041831.5+281658,,8.46,,7.63,,6.62,,5.0,,1.96,,1.45,,,yes,1,CZ Tau,II,M1.5,,0.7,,0.53,64.6312,28.2828
64.633333,28.520833,041832.0+283115,,7.57,,7.07,,6.12,,5.52,,1.91,,-0.38,,,yes,1,IRAS04154+2823,I,M2.5,,19.0,,0.63,64.6333,28.5208
64.643333,28.508333,041834.4+283030,,8.35,,8.09,,7.8,,7.55,,3.41,,0.31,,,no,1,[SS94] V410 X-ray 2,flat,M0,,21.0,,0.024,64.6433,28.5083
64.6675,28.406667,041840.2+282424,,8.91,,8.64,,8.44,,8.43,,8.09,>,1.6,>,-2.59,no,1,[SS94] V410 X-ray 4,II,M4,,18.0,<,6.3E-6,64.6675,28.4067
64.669167,28.320833,041840.6+281915,<,6.62,<,6.1,,3.61,<,3.52,<,0.45,<,-2.3,<,-4.9,,1,V892 Tau,flat,A6,-12.7,14.3,,0.089,64.6692,28.3208
64.672083,28.456944,041841.3+282725,,9.5,,8.92,,8.44,,7.95,,4.65,,0.38,>,-0.29,yes,1,LR1,flat,K4.5,,24.0,,0.12,64.6721,28.4569
64.677083,28.313611,041842.5+281849,,8.73,,8.61,,8.35,,8.09,,5.15,>,-0.3,>,-2.88,no,1,[SS94] V410 X-ray 7,II,M1,,10.3,,0.0092,64.6771,28.3136
64.6875,28.347778,041845.0+282052,,11.01,,10.74,,10.55,,10.57,>,10.2,>,0.49,>,-3.2,no,1,[SS94] V410 Anon 20,flat,K3,,21.6,<,2.2E-4,64.6875,28.3478
64.695833,28.335278,041847.0+282007,,7.09,,7.04,,6.95,,6.96,,6.78,>,0.18,>,-4.19,no,1,Hubble I 4,III,K7,,2.5,<,6.0E-5,64.6958,28.3353
64.712917,28.2425,041851.1+281433,,12.25,,12.11,,12.02,,11.84,>,9.59,>,1.59,,,no,1,[BLH2002] KPNO-Tau 2,III,M7.5,,0.3,,0.0096,64.7129,28.2425
64.714167,28.340556,041851.4+282026,,10.22,,9.02,,7.72,,5.87,,1.07,,-0.98,<,-2.55,yes,1,NAME CoKu Tau 1,I,K7,,6.5,,0.72,64.7142,28.3406
64.742083,28.206389,041858.1+281223,,9.23,,8.54,,7.85,,6.84,,2.73,,-0.07,,-2.51,yes,1,IRAS04158+2805,flat,M6,,7.0,,0.76,64.7421,28.2064
64.754583,28.328333,041901.1+281942,,8.76,,8.67,,8.54,,8.26,,3.82,,0.69,,,no,1,[SS94] V410 X-ray 6,II,M4.5,,2.7,,0.082,64.7546,28.3283
64.755,28.046667,041901.2+280248,,13.97,,13.61,,13.23,,12.75,>,10.13,>,1.74,>,-0.54,no,1,[BLH2002] KPNO-Tau 12,II,M9,,1.4,,0.12,64.755,28.0467
64.757917,28.375833,041901.9+282233,,9.64,,9.55,,9.43,,9.39,,8.88,>,1.59,>,-1.28,no,1,[SS94] V410 X-ray 5a,III,M5,,5.1,<,1.5E-4,64.7579,28.3758
64.803333,28.4925,041912.8+282933,,8.78,,8.42,,8.12,,7.41,,4.85,,2.16,,,yes,1,FQ Tau,II,M2,,1.1,,0.086,64.8033,28.4925
64.815833,29.107222,041915.8+290626,,7.27,,6.9,,6.65,,5.71,,2.52,,0.71,,,yes,1,BP Tau,II,K7,,2.1,,0.094,64.8158,29.1072
64.859167,28.437222,041926.2+282614,,8.2,,8.29,,8.11,,8.06,,6.29,,,,,no,1,V819 Tau,III,K7,,1.9,,0.0018,64.8592,28.4372
64.8975,28.455833,041935.4+282721,,9.42,,8.93,,8.25,,7.27,,4.84,,3.14,,,yes,1,FR Tau,II,M5e,-58.9,0.0,,0.17,64.8975,28.4558
64.921667,27.83,041941.2+274948,,8.11,,8.11,,8.04,,7.99,,7.75,>,1.94,,,no,1,LkCa 7,III,K7,,1.0,<,6.1E-5,64.9217,27.83
64.927083,27.226667,041942.5+271336,,12.84,,11.32,,10.49,,9.75,,2.93,,-1.92,,-4.53,yes,0,IRAS04166+2706,I,,,,,,64.9271,27.2267
64.993333,27.165833,041958.4+270957,,8.41,,7.15,,6.29,,5.33,,0.66,<,-2.3,,-5.4,yes,1,IRAS04169+2702,I,,,,,,64.9933,27.1658
65.10625,27.009722,042025.5+270035,,10.99,,10.77,,10.44,,9.74,,6.13,,2.49,,,yes,1,2MASS J04202555+2700355,II,M5.25,,2.1,,0.14,65.1062,27.0097
65.162917,27.291944,042039.1+271731,,9.42,,9.39,,9.35,,9.29,,8.83,>,1.5,,,no,1,2MASS J04203918+2717317,III,,,,,,65.1629,27.2919
65.282917,27.038889,042107.9+270220,,7.54,,6.66,,6.01,,5.1,,1.61,,-1.18,<,-3.27,yes,1,[MDM2001] CFHT-BD-Tau 19,I,M5.25,,10.3,,0.83,65.2829,27.0389
65.292917,27.026944,042110.3+270137,,9.03,,8.24,,7.6,,6.7,,2.69,,-0.47,<,-3.97,yes,1,NAME IRAS 04181+2654B,I,,,,,,65.2929,27.0269
65.2975,27.019167,042111.4+270109,,8.6,,7.56,,6.71,,5.71,,1.64,,-1.04,,-4.21,yes,1,NAME IRAS 04181+2654A,I,,,,,,65.2975,27.0192
65.39375,27.027222,042134.5+270138,,9.86,,9.65,,9.35,,8.98,,7.18,>,1.64,,,yes,1,2MASS J04213459+2701388,II,M5.5,,2.7,,0.029,65.3937,27.0272
65.442917,26.991389,042146.3+265929,,11.54,,11.32,,11.05,,10.45,,7.26,>,1.45,,,yes,1,[MDM2001] CFHT-BD-Tau 10,II,M6.25,,4.0,,0.056,65.4429,26.9914
65.477083,26.875278,042154.5+265231,,13.22,,13.12,,12.9,,12.8,,10.5,>,1.66,,,no,1,2MASS J04215450+2652315,II,M8.5,,3.3,,0.012,65.4771,26.8753
65.481667,27.918333,042155.6+275506,,7.07,,6.73,,6.4,,5.78,,2.58,,-0.19,,,yes,1,DE Tau,II,M2,,2.2,,0.13,65.4817,27.9183
65.489167,28.443056,042157.4+282635,<,6.62,<,6.1,,3.6,<,3.52,<,0.45,<,-2.3,,-4.24,,1,RY Tau,II,K1,-16.8,4.8,,0.1,65.4892,28.4431
65.495,28.301667,042158.8+281806,,6.86,,6.86,,6.81,,6.78,,6.76,>,1.24,,,no,1,HD283572,III,G5,,0.4,<,3.0E-5,65.495,28.3017
65.5025,26.958889,042200.6+265732,,9.66,,8.4,,7.23,,5.95,,1.58,,-0.68,<,-4.14,yes,1,NAME FS Tau B,I,,,,,,65.5025,26.9589
65.50875,26.958333,042202.1+265730,,6.75,,6.3,,5.81,,4.99,,1.33,>,0.05,,,yes,1,NAME FS Tau A,flat,M0e,-46.8,6.9,,0.36,65.5087,26.9583
65.512917,28.427222,042203.1+282538,,8.26,,8.22,,8.14,,8.06,,8.06,>,1.23,,,no,1,LkCa 21,III,M3,,1.3,<,2.9E-5,65.5129,28.4272
65.568333,25.819722,042216.4+254911,,11.48,,11.34,,11.28,,11.23,>,9.51,>,1.16,,,no,1,[MDM2001] CFHT-BD-Tau 14,III,M7.75,,0.4,<,0.003,65.5683,25.8197
65.569583,26.915833,042216.7+265457,,7.77,,7.26,,6.85,,6.3,,3.29,,1.18,,,yes,1,[MDM2001] CFHT-BD-Tau 21,II,M1.25,,7.7,,0.23,65.5696,26.9158
65.6,26.773611,042224.0+264625,,9.52,,9.4,,9.34,,9.33,,9.07,>,1.56,,,no,1,2MASS J04222404+2646258,III,,,,,,65.6,26.7736
65.782083,28.099167,042307.7+280557,,8.43,,7.81,,7.28,,6.44,,3.23,,0.76,,,yes,1,IRAS04200+2759,flat,M2,,8.1,,0.53,65.7821,28.0992
65.912917,24.937222,042339.1+245614,,7.93,,7.46,,7.19,,6.29,,3.15,,0.28,,,yes,1,FT Tau,II,M3e,-254.3,3.8,,0.13,65.9129,24.9372
