angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.940548,63.609167,28.100833,13,041426.2+280603,IRAS04113+2758 A,<,6.62,,<,6.1,,,4.63,0.05,,3.79,0.05,<,0.45,,,-2.54,0.22,,-4.35,0.34,,,,,,f,1,[CG2010] IRAS 04113+2758(N),,,I,M2.5,,17.1,0.3,,0.5,,63.6092,28.1008,63.60945053309,28.10090852140,0.0080482,0.0052885,83.95,163181308112262400,63.60949060604,0.3472,28.10079088272,0.2032,7.4652,0.3903,19.1260,27.638,7.954,0.499,-26.469,0.335,402,3.1705,621.38,1.753,6.232e+00,95,1.0313,0.0666,18,1.114,0,3.35913e+02,2.17078e+00,19.371801,4.17979e+01,6.85511e+00,21.285654,6.65241e+02,17.690447,2.105,3.595207,,,0,,,141720636094881573,,,,0.007538,0.178089,0.021794,19.346210,0.007386,3.43924e+02,0.538,8.0227,5.3270,0.0903
0.900917,63.627083,28.087222,14,041430.5+280514,MHO-3,,7.22,0.05,,6.49,0.05,,5.75,0.05,,4.53,0.05,<,0.45,,,-1.06,0.22,,-4.15,0.34,,,,yes,yes,,1,[BHS98] MHO 3,,embedded,flat,K7,,11.3,0.3,,0.17,,63.6271,28.0872,63.62729533789,28.08738793537,0.0032746,0.0021603,93.04,163178387536338944,63.62731949210,0.1431,28.08728176737,0.0852,5.5586,0.1705,32.5944,24.364,4.795,0.205,-23.888,0.137,393,35.1559,5629.12,1.251,1.523e+02,31,,,18,2.497,0,7.48537e+03,7.60703e+01,16.001833,4.89400e+02,2.05539e+01,18.614382,1.26638e+04,14.491489,1.757,4.122892,,,0,,,141700636273155365,,,591041222,0.011373,0.045684,0.031411,16.001833,0.011373,7.48537e+03,0.120,3.2720,2.1642,-0.0452
0.416471,63.697083,26.773889,15,041447.3+264626,FP Tau,,8.11,0.05,,7.86,0.05,,7.6,0.05,,7.27,0.05,,4.25,0.04,,1.22,0.22,,,,yes,yes,yes,yes,yes,,1,FP Tau,yso,class II,II,M4,,0.8,-0.4,,0.083,,63.6971,26.7739,63.69709711812,26.77400399770,0.0005303,0.0003342,87.36,162757545164429696,63.69714187092,0.0222,26.77390329741,0.0124,7.8441,0.0260,302.0951,24.376,8.990,0.033,-22.658,0.021,340,6.2718,1013.49,0.137,2.232e+01,31,,,16,1.251,0,1.53537e+05,2.21189e+02,12.721832,3.25129e+04,2.24952e+02,14.058402,1.86968e+05,11.568479,1.429,2.489924,18.05,4.43,11,4000.0,3.0,140120636971729305,,,584040552,0.003168,0.008013,0.004834,12.721832,0.003168,1.53537e+05,0.024,0.5299,0.3347,0.0439
0.822758,63.699167,26.803056,16,041447.8+264811,CX Tau,,8.48,0.05,,8.13,0.05,,7.68,0.05,,6.63,0.05,,3.35,0.04,,1.23,0.22,,,,yes,yes,yes,yes,yes,,1,CX Tau,yso,class II,II,M2.5,,1.4,-0.3,,0.11,,63.6992,26.8031,63.69942302041,26.80305968831,0.0004265,0.0002706,80.57,162758236656524416,63.69946656377,0.0174,26.80295955509,0.0103,7.8905,0.0196,403.4168,24.167,8.745,0.026,-22.530,0.017,373,4.7357,951.45,0.109,1.512e+01,31,,,17,1.179,0,1.71676e+05,1.20897e+02,12.600595,3.82976e+04,1.62628e+02,13.880612,2.03831e+05,11.474722,1.410,2.405891,14.02,4.63,10,4000.0,3.0,140160636994734132,,,585040487,0.002859,0.005389,0.004106,12.600595,0.002859,1.71676e+05,0.018,0.4231,0.2759,0.1504
1.052055,63.699583,27.876111,17,041447.9+275234,LkCa 3 AB,,7.28,0.05,,7.33,0.05,,7.27,0.05,,7.23,0.05,,7.07,0.05,>,1.17,,,,,,no,no,no,no,,1,EM* LkCa 3,yso,star,III,M1,,0.7,0.3,<,4.3E-5,,63.6996,27.8761,63.69990901676,27.87615949328,0.0014348,0.0007459,71.48,163157325014927360,63.69990901676,1.3809,27.87615949328,0.8414,,,,,,,,,266,684.4028,2406597.80,9.842,9.709e+04,3,,,15,,0,4.00336e+05,2.92579e+03,11.681305,1.60743e+05,7.68541e+02,12.323212,7.96561e+05,9.994848,2.391,2.328363,-0.86,7.02,5,4000.0,3.0,,,,,0.008400,0.005893,0.004834,11.681305,0.008400,4.00336e+05,1.010,1.3809,0.8414,0.3895
1.502264,63.699583,27.876111,17,041447.9+275234,LkCa 3 AB,,7.28,0.05,,7.33,0.05,,7.27,0.05,,7.23,0.05,,7.07,0.05,>,1.17,,,,,,no,no,no,no,,1,EM* LkCa 3,yso,star,III,M1,,0.7,0.3,<,4.3E-5,,63.6996,27.8761,63.70004014185,27.87621512790,0.0018020,0.0009529,81.84,163157325016732288,63.70004014185,1.7889,27.87621512790,0.9773,,,,,,,,,102,395.8843,769762.30,7.742,5.058e+04,3,,,9,,0,4.01546e+05,7.12203e+03,11.678027,1.60302e+05,1.13796e+03,12.326195,7.96926e+05,9.994350,2.384,2.331844,,,0,,,,,,,0.019453,0.008197,0.005963,11.678027,0.019453,4.01546e+05,1.002,1.7889,0.9773,0.1879
1.224194,63.705,28.208333,18,041449.2+281230,FO Tau AB,,7.53,0.05,,7.17,0.05,,6.72,0.05,,5.92,0.05,,2.83,0.04,,0.79,0.22,,,,yes,yes,yes,yes,yes,,1,FO Tau,yso,class II,II,M2,,3.7,0.0,,0.094,,63.705,28.2083,63.70535133558,28.20847363791,0.0040526,0.0027787,86.53,163183644576299264,63.70538579748,0.1820,28.20836726420,0.1143,7.3462,0.1977,37.1662,24.890,6.833,0.255,-23.934,0.177,375,166.5036,89008.31,1.607,2.266e+03,31,,,17,11.449,0,8.26394e+04,1.86486e+02,13.394400,1.02930e+04,1.12572e+02,15.307189,1.20922e+05,12.041630,1.588,3.265559,,,0,,,141850637053720701,,,592040412,0.003687,0.012198,0.006367,13.394400,0.003687,8.26394e+04,0.068,4.0486,2.7844,0.0466
0.746738,63.77125,28.146111,19,041505.1+280846,CIDA-2,,8.9,0.05,,8.79,0.05,,8.71,0.05,,8.68,0.05,,8.45,0.11,>,1.31,,,,,,no,no,no,no,,1,[BCG93] 2,yso,star,III,M4.5,,0.6,-0.5,<,8.2E-5,,63.7712,28.1461,63.77148457780,28.14612661806,0.0013272,0.0009179,86.64,163179521407696384,63.77152885601,0.0579,28.14601782932,0.0365,7.4576,0.0634,117.7113,26.006,8.784,0.083,-24.477,0.058,351,34.7589,5373.95,0.499,1.758e+02,31,,,17,2.578,0,6.50989e+04,5.10980e+01,13.653432,6.64542e+03,2.49557e+01,15.782235,9.58736e+04,12.293648,1.575,3.488587,,,0,,,141770637716235915,,,591041294,0.002884,0.004941,0.004321,13.653432,0.002884,6.50989e+04,0.023,1.3260,0.9196,0.0441
0.478253,63.81125,28.0025,20,041514.7+280009,KPNO-1,,13.23,0.13,,12.72,0.22,,12.94,0.09,,12.81,0.1,>,10.61,,>,0.9,,,,,,,,no,no,,1,[BLH2002] KPNO-Tau 1,,star,III,M8.5,,1.7,-2.4,,0.013,,63.8112,28.0025,63.81133976848,28.00260661418,0.0136803,0.0084974,71.16,163165738856771200,63.81138655685,0.5399,28.00249392817,0.3255,7.7690,0.6149,12.6340,27.004,9.295,0.828,-25.354,0.578,342,2.3091,430.28,1.775,2.218e+00,95,1.2484,0.1017,16,1.089,0,1.70990e+02,8.37406e-01,20.104939,2.85821e+01,3.98457e+00,21.698305,3.18312e+02,18.490765,2.029,3.207541,,,0,,,141600638113533663,,,,0.005989,0.151386,0.035995,20.079348,0.005879,1.75068e+02,0.517,13.2350,9.1756,0.2893
1.404264,63.85,29.178611,21,041524.0+291043,J04152409+2910434,,11.86,0.05,,11.79,0.05,,11.66,0.06,,11.48,0.06,>,10.06,,>,1.14,,,,,,,,no,no,,1,2MASS J04152409+2910434,,star,III,M7,,1.3,-1.9,<,0.0046,,63.85,29.1786,63.85041757819,29.17874967939,0.0045714,0.0029553,82.70,164800820022316800,63.85047896574,0.2016,29.17866787832,0.1184,6.2298,0.2221,28.0501,22.004,12.059,0.283,-18.405,0.188,341,4.2095,584.96,1.016,7.179e+00,95,1.1468,0.0424,18,1.166,0,7.97270e+02,1.84898e+00,18.433353,5.12259e+01,9.98539e+00,21.064820,1.51811e+03,16.794634,1.968,4.270186,,,0,,,143010638503654961,,,596042582,0.003733,0.211659,0.008305,18.407762,0.003693,8.16285e+02,0.311,4.5499,2.9884,0.1128
