angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
1.448236,64.275833,26.736944,12,041706.2+264413,w,,,11.08,0.05,,11.12,0.05,,11.1,0.06,,11.0,0.06,,8.92,0.16,>,0.96,,>,0.18,,,yes,no,no,no,,1,,B+,not yso,star,III,K3,1.5,0.9,-1.0,,0.002,needs add'l followup,b,64.2758,26.7369,64.27621369574,26.73715903693,0.0003736,0.0002386,75.35,150831181194504832,64.27623241161,0.0158,26.73715307286,0.0094,0.3761,0.0182,20.7033,3.993,3.761,0.023,-1.342,0.016,409,1.1379,425.50,0.000,0.000e+00,31,,,18,1.039,0,5.76893e+04,8.01211e+00,13.784629,2.22922e+04,1.78435e+01,14.468159,5.09197e+04,12.980681,1.269,1.487477,,,0,,,140080642763534919,1237660555449401620,,584041392,0.002759,0.002922,0.003807,13.784629,0.002759,5.76893e+04,0.000,0.3664,0.2494,0.2211
0.542492,64.504583,28.590556,13,041801.1+283526,p,,,11.15,0.05,,11.12,0.05,,11.05,0.06,,10.94,0.06,,9.1,0.13,>,1.54,,>,-0.22,,,yes,no,no,no,,1,,B+,not yso,star,III,K0-K2:,1.1,6.2,-0.9,,0.0013,"possible,new member","b,o",64.5046,28.5906,64.50469013629,28.59067372238,0.0016976,0.0009765,88.57,164708800346144000,64.50470886525,0.0751,28.59067086363,0.0366,0.3379,0.0869,3.8885,3.756,3.700,0.104,-0.643,0.062,433,-0.5324,449.60,0.000,0.000e+00,31,,,15,0.981,0,3.06265e+03,2.14832e+00,16.972122,4.24684e+02,9.85886e+00,18.768377,4.35657e+03,15.650033,1.561,3.118344,,,0,,,142300645046799385,1237660752483057706,,593041464,0.002859,0.025359,0.007100,16.972122,0.002859,3.06265e+03,0.063,1.6973,0.9771,0.0290
1.309362,64.51375,24.669167,14,041803.3+244009,w,,,10.08,0.05,,10.07,0.05,,10.03,0.06,,9.83,0.05,,7.21,0.05,>,1.1,,>,-0.39,,,yes,yes-faint,no,no,,1,,B,yso,star,III,A9,7.9,0.3,-0.3,,0.0022,needs add'l followup,"b,e,n",64.5137,24.6692,64.51409644638,24.66934912693,0.0004239,0.0002756,75.11,149936419247206144,64.51411264277,0.0197,24.66930833627,0.0110,2.7189,0.0225,120.8886,9.757,3.312,0.026,-9.178,0.018,359,8.3274,1501.06,0.126,2.621e+01,31,,,16,1.328,0,3.81666e+05,8.38526e+01,11.733158,1.86784e+05,1.21112e+02,12.160196,2.80373e+05,11.128556,1.224,1.031640,13.02,2.50,9,6500.0,4.5,,1237660557597016194,,574037931,0.002766,0.002878,0.003793,11.733158,0.002766,3.81666e+05,0.004,0.4157,0.2877,0.2154
1.497508,64.54375,28.746389,15,041810.5+284447,w,,,12.42,0.05,,11.73,0.05,,10.94,0.06,,10.06,0.06,,6.42,0.05,,1.84,0.22,>,2.04,,yes,no,no,yes-faint,yes,,1,,C,yso,class II,I,,,,,,,pending followup,,64.5437,28.7464,64.54420565832,28.74650490269,0.0101520,0.0065128,84.59,164714469703047424,64.54420351484,0.4205,28.74650494329,0.2439,0.0627,0.4591,0.1366,0.423,-0.423,0.629,0.009,0.412,449,2.4181,549.53,1.249,1.711e+00,95,1.3023,0.0840,17,1.082,0,2.13211e+02,8.71865e-01,19.865345,7.21647e+01,5.22677e+00,20.692730,2.91178e+02,18.587498,1.704,2.105232,,,0,,,142490645441416420,1237660752483123437,,594041637,0.005225,0.078688,0.022792,19.854696,0.005189,2.15312e+02,0.355,10.1255,6.5540,0.0857
1.187706,64.544583,25.3325,16,041810.7+251957,M,[GBM90] L1506 1,,8.1,0.05,,7.76,0.05,,7.27,0.05,,6.33,0.05,,4.42,0.04,,1.72,0.22,>,-1.45,,yes,yes,yes,yes,yes,h,1,[GBM90] L1506 1,A+,yso,class II,II,K8-M0,-4.3,4.3,-0.3,,0.11,new member,"a,b,e,f,o",64.5446,25.3325,64.54492876703,25.33260572905,0.0004726,0.0003486,79.08,150393571269837184,64.54497202982,0.0215,25.33250151513,0.0140,7.7117,0.0237,325.6872,25.044,8.798,0.029,-23.448,0.022,364,10.1512,1310.26,0.162,3.231e+01,31,,,18,1.401,0,1.83462e+05,4.04453e+03,12.528504,3.43179e+04,3.39502e+03,13.999739,2.45339e+05,11.273478,1.524,2.726261,,,0,,,138390645449629632,1237660759997546531,,577039851,0.024094,0.107446,0.046340,12.528504,0.024094,1.83462e+05,0.084,0.4687,0.3538,0.1142
0.139130,64.596667,25.324444,17,041823.2+251928,w,2MASX 04182321+2519281,,11.79,0.05,,11.09,0.05,,10.44,0.06,,9.57,0.05,,6.18,0.05,>,1.18,,>,-1.08,,,yes-faint,yes-faint,yes-faint,yes,,1,2MASX J04182321+2519281,B+,yso,class II,flat,G,1.9,7.7,-1.8,,0.34,needs add'l followup,"b,e,l,n",64.5967,25.3244,64.59670422588,25.32446301000,0.0226842,0.0145958,58.02,150390959929396608,64.59670030301,0.9230,25.32446486630,0.5388,1.6859,0.9920,1.6994,0.901,-0.798,1.288,0.418,1.080,318,4.2758,464.95,3.472,5.251e+00,95,1.3100,0.1842,15,1.175,0,1.21260e+02,1.09108e+00,20.478070,5.45402e+01,6.39534e+00,20.996750,2.72993e+02,18.657516,2.701,2.339233,,,0,,,138380645967259949,1237660759997546910,,577039886,0.010150,0.127343,0.025965,20.463256,0.010023,1.22926e+02,1.318,20.7365,17.2512,0.3787
1.125366,64.741667,23.841944,19,041858.0+235031,w,,,12.68,0.06,,11.85,0.05,,11.07,0.06,,10.22,0.06,,7.27,0.05,>,1.2,,>,0.33,,,no,no,yes-faint,yes,,1,,B,yso,embedded,flat,,,,,,,pending followup,c,64.7417,23.8419,64.74200795063,23.84196558879,0.0086133,0.0050228,107.22,149071580336201728,64.74200699177,0.2766,23.84196367666,0.1723,0.3247,0.3000,1.0823,0.473,-0.197,0.528,-0.430,0.345,343,0.2727,366.09,0.220,1.418e-01,95,1.3467,0.0494,17,1.010,0,4.29085e+02,1.41532e+00,19.106009,1.76156e+02,6.16477e+00,19.723797,4.57892e+02,18.095987,1.478,1.627810,,,0,,,136610647419760909,,,570036866,0.004519,0.038099,0.023322,19.103158,0.004511,4.30213e+02,0.192,8.3604,5.4333,-0.3048
0.047347,64.745833,25.961111,20,041859.0+255740,w,,,13.08,0.06,,12.06,0.06,,11.1,0.06,,9.9,0.06,,5.96,0.04,>,1.25,,>,1.82,,,no,yes-faint,yes-faint,yes,,1,,B-,yso,embedded,I,,,,,,,pending followup,,64.7458,25.9611,64.74583923981,25.96112289544,0.0213472,0.0145665,81.22,150542284512041472,64.74583887019,0.9657,25.96111920089,0.5537,1.3760,1.2375,1.1119,0.835,-0.075,1.315,-0.831,0.937,294,8.5836,568.24,4.228,7.658e+00,95,1.5360,0.1671,15,1.377,1,1.65399e+02,1.08962e+00,20.141035,1.92101e+02,7.96736e+00,19.629720,3.92211e+02,18.264097,3.533,1.365624,,,0,,,139150647458283922,1237660559207695353,,580039879,0.007665,0.045117,0.026154,20.141542,0.007668,1.65322e+02,2.278,21.2139,14.7600,0.1173
0.188431,64.900833,26.882222,21,041936.2+265256,w,,,12.26,0.05,,12.22,0.06,,12.17,0.06,,12.09,0.06,,9.27,0.15,>,1.55,,>,-0.29,,,yes,no,no,no,,1,,B,not yso,star,III,G3,2.7,0.8,-1.3,,0.0032,needs add'l followup,"b,n",64.9008,26.8822,64.90087652063,26.88225711214,0.0005140,0.0003354,78.88,150845234327543936,64.90089435381,0.0231,26.88224442764,0.0129,0.8800,0.0260,33.8216,4.578,3.579,0.032,-2.854,0.022,401,1.8560,455.62,0.047,7.954e-01,31,,,17,1.066,0,2.51468e+04,5.38742e+00,14.686161,1.01138e+04,1.57680e+01,15.326258,2.17646e+04,13.903518,1.268,1.422740,,,0,,,140250649008459287,1237660751945465872,,585042056,0.002765,0.003263,0.003848,14.686161,0.002765,2.51468e+04,0.007,0.5085,0.3437,0.1642
1.441753,64.918333,27.016667,22,041940.4+270100,w,,,12.81,0.06,,11.95,0.05,,11.15,0.06,,10.25,0.06,,6.69,0.05,>,1.63,,>,0.34,,,no,no,yes-faint,yes,,1,,B-,yso,embedded,I,,,,,,,pending followup,"g,l",64.9183,27.0167,64.91873051365,27.01685402560,0.0111250,0.0068012,79.57,150851384721524352,64.91872728777,0.4739,27.01685181298,0.2431,-0.0074,0.5795,-0.0129,0.816,-0.647,0.682,-0.498,0.442,391,1.6087,458.42,1.280,1.866e+00,95,1.2966,0.0794,15,1.058,0,2.42969e+02,9.15121e-01,19.723490,9.62540e+01,6.97951e+00,20.379995,2.99326e+02,18.557535,1.628,1.822460,,,0,,,140420649186980822,1237660751945466496,,,0.004931,0.078778,0.031815,19.717652,0.004913,2.44279e+02,0.317,11.0104,6.9853,0.1794
