angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.376970,64.117083,28.126389,24,041628.1+280735,LkCa 4,,8.18,0.05,,8.17,0.05,,8.04,0.05,,8.05,0.05,,7.94,0.07,>,1.2,,,,,,no,no,no,no,,1,LkCa 4,yso,star,III,K7,,0.8,0.0,<,5.7E-5,,64.1171,28.1264,164666022471759232,64.11714710754,28.12647713959,129.55896000,129.25915500,129.94723500,129.62702900,129.32159400,129.94735700,10033
0.462353,64.162917,28.980278,25,041639.1+285849,J04163911+2858491,,10.5,0.05,,10.14,0.05,,9.86,0.05,,9.41,0.05,,7.22,0.05,>,1.24,,,,,,yes,yes,yes,yes,,1,2MASS J04163911+2858491,yso,class II,II,M5.5,,2.3,-1.4,,0.082,,64.1629,28.9803,164783811951433856,64.16306204416,28.98029788517,202.26950100,188.34497100,222.64306600,200.58248900,187.26356500,216.60755900,10111
0.654972,64.390417,28.346111,26,041733.7+282046,CY Tau,,7.87,0.05,,7.53,0.05,,7.27,0.05,,6.72,0.05,,4.42,0.04,,1.87,0.22,>,-1.41,,yes,yes,yes,yes,yes,,1,CY Tau,yso,class II,II,M1,,1.7,-0.2,,0.076,,64.3904,28.3461,164698634160139264,64.39058028815,28.34622257359,126.09919000,125.76990500,126.40721100,126.17275200,125.81705500,126.49464400,10033
0.739416,64.412083,28.55,27,041738.9+283300,LkCa 5,,8.93,0.05,,,,,8.8,0.05,,,,,8.66,0.09,>,1.61,,,,,,no,,,,,1,LkCa 5,,,III,M2,,0.2,-0.5,<,5.7E-5,,64.4121,28.55,164705368668853120,64.41231080814,28.55004630030,131.75967400,131.24510200,132.39300500,131.95732100,131.46922300,132.51852400,10033
0.962591,64.45625,28.225278,28,041749.5+281331,KPNO-10,,10.82,0.05,,10.36,0.05,,9.81,0.05,,8.89,0.05,,5.96,0.04,,1.92,0.22,,,,yes,yes,yes,yes,yes,,1,[BLH2002] KPNO-Tau 10,yso,class II,II,M5,,1.1,-1.2,,0.12,,64.4562,28.2253,164506116546058112,64.45653063771,28.22537975369,134.88108800,133.56361400,135.99415600,134.75929300,133.75523400,136.03982500,10033
0.874176,64.456667,28.493333,29,041749.6+282936,V410 X-ray 1,,8.41,0.05,,7.85,0.05,,7.42,0.05,,6.47,0.05,,3.78,0.04,,2.95,0.22,,,,yes,yes,yes,yes,yes,,1,[SS94] V410 X-ray 1,yso,class II,II,M2,,5.5,-0.3,,0.12,,64.4567,28.4933,164702070133970944,64.45694247222,28.49331429176,129.84143100,129.30279500,130.38687100,129.83705100,129.31701700,130.46722400,10033
1.127190,64.532917,28.434167,30,041807.9+282603,V410 X-ray 3,,10.04,0.05,,9.94,0.05,,9.9,0.06,,9.8,0.05,,9.27,0.21,>,1.79,,,,,,yes,yes-faint,no,no,,1,[SS94] V410 X-ray 3,yso,star,III,M6,,0.8,-1.1,<,2.5E-4,,64.5329,28.4342,164513022853468160,64.53326213973,28.43424395742,123.78294400,122.16968500,125.07600400,123.27635200,121.90876000,124.75402800,10022
0.561507,64.57125,28.478056,31,041817.1+282841,V410 Anon 13,,10.23,0.05,,9.94,0.05,,9.49,0.05,,8.81,0.05,,6.04,0.04,,,,>,-0.57,,,yes,yes,yes,yes,,1,[SS94] V410 Anon 13,yso,class II,II,M5,,5.9,-1.1,,0.068,,64.5712,28.4781,164519276325850752,64.57131778826,28.47820014386,127.16287200,123.08688400,131.28762800,126.46763600,123.59169000,129.94902000,10022
0.285129,64.62625,27.722222,34,041830.3+274320,KPNO-11,,10.71,0.05,,10.59,0.05,,10.6,0.06,,10.5,0.06,>,10.01,,>,1.46,,,,,,,,no,no,,1,[BLH2002] KPNO-Tau 11,,star,III,M5.5,,0.0,-1.3,<,0.0018,,64.6262,27.7222,164409359522965120,64.62630277958,27.72228595443,126.82704200,126.25705000,127.49311800,126.67536200,126.01377900,127.31376600,10022
0.349561,64.629583,28.454444,35,041831.1+282716,V410 Tau ABC,,7.36,0.05,,7.34,0.05,,7.34,0.05,,7.25,0.05,,7.14,0.06,>,1.65,,,,,,no,no,no,no,,1,V* V410 Tau,yso,star,III,K3,,1.1,0.4,<,6.5E-5,,64.6296,28.4544,164518589131083136,64.62966192675,28.45437607931,128.70474200,128.33955400,129.11142000,128.66603100,128.36346400,128.96630900,10033
0.558690,64.629583,28.274722,36,041831.1+281629,DD Tau AB,<,6.62,,<,6.1,,,5.29,0.05,,4.48,0.05,,1.75,0.04,,-0.04,0.22,,,,yes,yes,yes,,,,1,DD Tau,,,II,M1,,4.3,0.1,,0.3,,64.6296,28.2747,164507353496637952,64.62974065976,28.27465267878,125.81253800,125.06047800,126.70134700,125.99974100,124.90206100,126.82447100,10033
0.310956,64.669167,28.320833,41,041840.6+281915,V892 Tau,<,6.62,,<,6.1,,,3.61,0.05,<,3.52,,<,0.45,,<,-2.3,,<,-4.9,,,,,,,"c,d",1,V892 Tau,,,flat,A6,-12.7,14.3,2.0,,0.089,,64.6692,28.3208,164513602672978304,64.66925009729,28.32087893316,133.06401100,131.32690400,134.69772300,133.49745200,132.10252400,134.86782800,10033
0.558417,64.677083,28.313611,43,041842.5+281849,V410 X-ray 7,,8.73,0.05,,8.61,0.05,,8.35,0.05,,8.09,0.07,,5.15,0.01,>,-0.3,,>,-2.88,,,yes,yes,yes,no,,1,[SS94] V410 X-ray 7,yso,class II,II,M1,,10.3,-0.1,,0.0092,,64.6771,28.3136,164513400810646912,64.67714149055,28.31375731939,133.51672400,130.33760100,136.26864600,135.22113000,131.49940500,138.75343300,10011
0.531604,64.695833,28.335278,45,041847.0+282007,Hubble 4,,7.09,0.05,,7.04,0.05,,6.95,0.05,,6.96,0.05,,6.78,0.01,>,0.18,,>,-4.19,,,no,no,no,no,,1,Hubble I 4,yso,star,III,K7,,2.5,0.4,<,6.0E-5,,64.6958,28.3353,164513538249595136,64.69599863317,28.33530148854,127.02161400,125.64897200,128.12110900,127.39881100,125.76864600,129.22114600,10033
0.832411,64.712917,28.2425,46,041851.1+281433,KPNO-2,,12.25,0.05,,12.11,0.06,,12.02,0.06,,11.84,0.07,>,9.59,,>,1.59,,,,,,,,no,no,,1,[BLH2002] KPNO-Tau 2,,star,III,M7.5,,0.3,-2.1,,0.0096,,64.7129,28.2425,164495323291866624,64.71317766039,28.24247288211,128.89872700,125.53968800,132.28523300,128.33265700,124.83200100,131.37236000,10022
1.152086,64.714167,28.340556,47,041851.4+282026,CoKu Tau/1,,10.22,0.05,,9.02,0.05,,7.72,0.05,,5.87,0.05,,1.07,0.04,,-0.98,0.22,<,-2.55,,yes,yes,yes,yes,yes,c,1,NAME CoKu Tau 1,yso,embedded,I,K7,,6.5,-0.9,,0.72,,64.7142,28.3406,164513572609331456,64.71452937359,28.34058231577,116.06848100,108.23326900,125.64690400,123.69026200,112.83917200,134.30778500,10033
0.635614,64.742083,28.206389,48,041858.1+281223,IRAS04158+2805,,9.23,0.05,,8.54,0.05,,7.85,0.06,,6.84,0.05,,2.73,0.04,,-0.07,0.22,,-2.51,0.22,yes,yes,yes,yes,yes,,1,IRAS04158+2805,yso,class II,flat,M6,,7.0,-1.3,,0.76,,64.7421,28.2064,164494296796124416,64.74228321500,28.20638249804,129.03552200,120.39337200,138.50782800,135.57598900,127.44604500,144.17408800,10033
0.374161,64.754583,28.328333,49,041901.1+281942,V410 X-ray 6,,8.76,0.05,,8.67,0.05,,8.54,0.05,,8.26,0.05,,3.82,0.04,,0.69,0.22,,,,yes,yes,yes,yes,no,,1,[SS94] V410 X-ray 6,yso,star,II,M4.5,,2.7,-0.5,,0.082,,64.7546,28.3283,164502062096975744,64.75464431078,28.32824417665,126.80317700,125.55185700,127.95162200,126.92800100,125.82859800,128.14492800,10022
1.175375,64.757917,28.375833,51,041901.9+282233,V410 Tau X-ray 5a,,9.64,0.05,,9.55,0.05,,9.43,0.05,,9.39,0.05,,8.88,0.12,>,1.59,,>,-1.28,,,yes,yes,no,no,,1,[SS94] V410 X-ray 5a,yso,star,III,M5,,5.1,-0.8,<,1.5E-4,,64.7579,28.3758,164514053645658752,64.75828535176,28.37579349284,130.94546500,127.89939900,134.32998700,131.84513900,129.42947400,134.43669100,10011
0.779884,64.815833,29.107222,53,041915.8+290626,BP Tau,,7.27,0.05,,6.9,0.05,,6.65,0.05,,5.71,0.05,,2.52,0.04,,0.71,0.22,,,,yes,yes,yes,yes,yes,,1,BP Tau,yso,class II,II,K7,,2.1,0.2,,0.094,,64.8158,29.1072,164832740220756608,64.81602014751,29.10736410572,127.09427600,126.54733300,127.66272700,126.94709800,126.39147200,127.49115000,10033
2.510169,64.815833,29.107222,53,041915.8+290626,BP Tau,,7.27,0.05,,6.9,0.05,,6.65,0.05,,5.71,0.05,,2.52,0.04,,0.71,0.22,,,,yes,yes,yes,yes,yes,,1,BP Tau,yso,class II,II,K7,,2.1,0.2,,0.094,,64.8158,29.1072,164832740220871552,64.81503984225,29.10729912763,771.96032700,650.52294900,933.03259300,1350.59558000,1205.09656000,1516.50623000,10033
1.028892,64.859167,28.437222,54,041926.2+282614,V819 Tau,,8.2,0.05,,8.29,0.05,,8.11,0.05,,8.06,0.05,,6.29,0.05,,,,,,,,yes,yes,no,no,,1,V819 Tau,yso,star,III,K7,,1.9,0.0,,0.0018,,64.8592,28.4372,164504467278644096,64.85948866244,28.43718102288,129.24353000,128.78607200,129.74002100,129.16717500,128.77304100,129.48808300,10033
1.037225,64.8975,28.455833,55,041935.4+282721,FR Tau,,9.42,0.05,,8.93,0.05,,8.25,0.05,,7.27,0.05,,4.84,0.04,,3.14,0.22,,,,yes,yes,yes,yes,yes,,1,FR Tau,yso,class II,II,M5e,-58.9,0.0,-0.9,,0.17,b,64.8975,28.4558,164598303725828608,64.89779170741,28.45596429330,125.56415600,124.15052000,127.53399700,125.35755900,123.81965600,127.05207100,10033
1.099256,64.921667,27.83,56,041941.2+274948,LkCa 7 AB,,8.11,0.05,,8.11,0.05,,8.04,0.05,,7.99,0.05,,7.75,0.06,>,1.94,,,,,,no,no,no,no,,1,LkCa 7,yso,star,III,K7,,1.0,0.0,<,6.1E-5,,64.9217,27.83,164422961683000320,64.92200336630,27.82993104458,124.55414600,123.71565200,125.12098700,124.76454900,124.16809800,125.26683800,10033
1.605717,64.921667,27.83,56,041941.2+274948,LkCa 7 AB,,8.11,0.05,,8.11,0.05,,8.04,0.05,,7.99,0.05,,7.75,0.06,>,1.94,,,,,,no,no,no,no,,1,LkCa 7,yso,star,III,K7,,1.0,0.0,<,6.1E-5,,64.9217,27.83,164422965979775616,64.92212959205,27.83017774394,126.36887400,124.66861700,127.99629200,,,,10099
0.978016,65.10625,27.009722,59,042025.5+270035,J04202555+2700355,,10.99,0.05,,10.77,0.05,,10.44,0.06,,9.74,0.05,,6.13,0.04,,2.49,0.22,,,,yes,yes,yes-faint,yes,yes,,1,2MASS J04202555+2700355,yso,class II,II,M5.25,,2.1,-1.5,,0.14,,65.1062,27.0097,152349022637314176,65.10654342179,27.00979593067,163.95082100,161.07707200,167.52256800,164.30377200,161.43341100,167.70065300,10022
