angDist,_RAJ2000,_DEJ2000,recno,Seq,Cloud,ID,Av,alpha,Tbol,Lbol,alpha0,Tbol0,Lbol0,AGB?,Core?,F1.25,e_F1.25,F1.65,e_F1.65,F2.17,e_F2.17,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,F24,e_F24,F70,e_F70,F0.36,e_F0.36,F0.44,e_F0.44,F0.55,e_F0.55,F0.64,e_F0.64,F0.665,e_F0.665,F0.79,e_F0.79,F0.914,e_F0.914,F0.96,e_F0.96,F3.4,e_F3.4,F5.0,e_F5.0,F6.7,e_F6.7,F12,e_F12,F14,e_F14,F22,e_F22,F160,e_F160,F350,e_F350,F450,e_F450,F850,e_F850,F1100,e_F1100,F1200,e_F1200,F1300,e_F1300,SED,SimbadName,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.447928,271.205,-4.611389,11,11,Aquila,J180449.2-043641,6.4,-0.77,1300.0,0.38,-1.35,1600.0,0.72,N,-,33.0,1.0,70.0,2.7,86.0,2.6,64.0,3.1,55.0,2.8,51.0,2.4,52.0,2.5,180.0,17.0,250,27.0,,,,,,,,,,,,,,,,,,,,,,,110.0,1.5,,,210.0,4.1,,,,,,,,,,,,,,,SED,SSTgbs J1804492-043641,271.205,-4.6114,271.20502001515,-4.61151181469,0.0053365,0.0037109,71.26,4174057197750361216,271.20502405768,0.2549,-4.61157074134,0.2120,3.3201,0.2809,11.8213,13.289,0.907,0.322,-13.258,0.239,175,16.5723,2219.59,1.775,7.478e+01,95,1.0551,0.0620,15,2.023,0,2.87426e+03,1.93762e+01,17.041052,8.60651e+01,1.17871e+01,20.501474,5.93698e+03,15.313981,2.096,5.187493,,,0,,,102462712050426579,,,427215122,0.007821,0.148724,0.011876,17.015461,0.007661,2.94281e+03,0.309,5.1922,3.9102,0.2204
0.808994,271.205417,-4.610833,12,12,Aquila,J180449.3-043639,12.4,-1.17,580.0,0.064,-1.4,620.0,0.11,N,-,,,,,,,48.0,2.5,43.0,2.1,34.0,1.7,38.0,1.9,56.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SED,SSTgbs J1804493-043639,271.2054,-4.6108,271.20548562864,-4.61104705574,0.0061771,0.0041382,78.27,4174057202047797888,271.20549044544,0.2849,-4.61109882530,0.2323,3.3126,0.2989,11.0824,11.698,1.080,0.383,-11.648,0.260,173,2.3801,253.42,0.929,2.217e+00,95,1.1822,0.0744,15,1.131,0,5.03841e+02,1.09263e+01,18.931633,1.76518e+01,5.26974e+00,22.221570,9.63749e+02,17.287985,1.948,4.933584,,,0,,,102462712055127146,,,,0.023706,0.324146,0.130902,18.906042,0.023161,5.15858e+02,0.197,6.1063,4.2420,0.1616
0.585159,271.214167,-4.601111,13,13,Aquila,J180451.4-043604,7.6,-0.67,1100.0,0.79,-0.86,1500.0,1.5,N,-,41.0,0.98,99.0,1.9,130.0,2.6,200.0,9.9,200.0,9.9,240.0,12.0,280.0,14.0,290.0,27.0,270,28.0,,,,,,,,,,,,,,,,,,,,,,,230.0,3.0,,,360.0,5.3,,,,,,,,,,,,,,,SED,SSTgbs J1804514-043604,271.2142,-4.6011,271.21427522453,-4.60123258716,0.0039700,0.0026462,58.59,4174151034195428224,271.21428550092,0.1811,-4.60127949088,0.1544,3.4161,0.2070,16.5011,10.802,2.305,0.227,-10.553,0.188,191,41.3402,3586.71,1.410,1.066e+02,95,1.2989,0.0480,15,3.792,0,5.47806e+03,2.39457e+01,16.340801,3.56485e+02,1.35245e+01,18.958440,1.04786e+04,14.697140,1.978,4.261301,,,0,,,102472712143318922,,,427215124,0.005488,0.041286,0.018552,16.315210,0.005392,5.60871e+03,0.321,3.6581,3.0629,0.3477
1.058135,271.3025,-4.873611,14,14,Aquila,J180512.6-045225,7.1,-2.06,1800.0,1.2,-2.44,2000.0,3.0,N,-,140.0,3.1,360.0,22.0,430.0,12.0,250.0,12.0,140.0,7.4,130.0,6.1,86.0,4.1,37.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,73.0,1.1,,,47.0,1.6,,,,,,,,,,,,,,,SED,SSTgbs J1805126-045225,271.3025,-4.8736,271.30269496891,-4.87383157700,0.0025703,0.0018981,71.41,4173849428716299904,271.30268084994,0.1188,-4.87385512195,0.1145,-0.3011,0.1513,-1.9900,6.171,-3.165,0.156,-5.298,0.120,216,11.5387,2413.39,0.976,8.733e+01,95,1.1655,0.0292,16,1.611,0,8.55104e+03,5.35176e+01,15.857319,6.12684e+01,7.40523e+00,20.870451,1.71697e+04,14.160987,2.015,6.709464,,,0,,,102152713026691816,,274077459,426214248,0.007333,0.131258,0.019450,15.841154,0.007240,8.67931e+03,0.015,2.5102,1.9769,0.1829
1.231374,271.3175,-4.805,15,15,Aquila,J180516.2-044818,8.2,-2.08,1500.0,1.6,-2.11,1900.0,4.2,Y,-,130.0,2.9,340.0,19.0,480.0,15.0,470.0,24.0,370.0,18.0,340.0,17.0,240.0,11.0,36.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,140.0,1.9,,,71.0,2.1,,,,,,,,,,,,,,,SED,SSTgbs J1805162-044818,271.3175,-4.805,271.31776663614,-4.80521540908,0.0028980,0.0022958,78.31,4174039025746190720,271.31774667903,0.1441,-4.80524354817,0.1338,-0.3800,0.1727,-2.2002,7.753,-4.475,0.180,-6.331,0.142,191,19.0341,2311.89,1.139,9.309e+01,95,1.1433,0.0347,17,2.136,0,5.69113e+03,2.88932e+02,16.299372,1.47220e+02,2.67966e+01,19.918629,1.21743e+04,14.534285,2.165,5.384344,,,0,,,102232713177514147,,274077512,426214267,0.055190,0.197643,0.144647,16.273781,0.053908,5.82686e+03,0.351,2.8758,2.3236,0.0929
0.239719,271.330833,-4.311111,16,16,Aquila,J180519.4-041840,8.8,-2.0,1500.0,0.75,-2.07,1900.0,2.0,N,-,56.0,1.4,160.0,3.4,220.0,4.9,210.0,10.0,180.0,8.7,150.0,7.1,100.0,4.8,23.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,73.0,1.0,,,37.0,1.4,,,,,,,,,,,,,,,SED,SSTgbs J1805194-041840,271.3308,-4.3111,271.33087192561,-4.31116510544,0.0025951,0.0022061,70.76,4174165641380766464,271.33085581264,0.1337,-4.31119799520,0.1272,0.1344,0.1676,0.8020,8.236,-3.615,0.159,-7.400,0.137,254,13.6572,1910.20,1.191,5.288e+01,95,1.0899,0.0368,17,1.671,0,3.66983e+03,1.10708e+02,16.775751,5.82581e+01,8.33528e+00,20.925152,7.41755e+03,15.072245,2.037,5.852907,,,0,,,102822713308476968,,,429216168,0.032869,0.155367,0.089872,16.750160,0.032109,3.75736e+03,0.157,2.5557,2.2516,0.1010
1.054897,271.41,-4.266944,18,18,Aquila,J180538.4-041601,7.7,-2.18,1700.0,1.0,-2.54,2000.0,2.6,N,-,110.0,2.6,280.0,15.0,350.0,7.1,210.0,10.0,130.0,6.5,110.0,5.3,73.0,3.5,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,47.0,0.73,,,25.0,1.3,,,,,,,,,,,,,,,SED,SSTgbs J1805384-041601,271.41,-4.2669,271.41025728832,-4.26708554138,0.0024580,0.0018612,59.30,4174166672172915328,271.41024428562,0.1193,-4.26711568743,0.1148,0.1735,0.1399,1.2396,7.384,-2.917,0.143,-6.783,0.124,278,6.6093,2977.33,1.121,8.832e+01,95,1.0397,0.0313,17,1.295,0,6.26663e+03,3.40778e+01,16.194782,5.73135e+01,1.03707e+01,20.942900,1.26148e+04,14.495698,2.022,6.447202,,,0,,,102872714102559885,,274105283,429216217,0.006515,0.196481,0.019707,16.169191,0.006391,6.41609e+03,0.059,2.3173,2.0337,0.2401
1.482043,271.498333,-3.991111,19,19,Aquila,J180559.6-035928,7.7,-1.75,1600.0,1.6,-1.98,1900.0,4.0,N,-,150.0,3.6,350.0,17.0,500.0,9.7,450.0,23.0,340.0,18.0,280.0,14.0,190.0,9.2,120.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.6,,,74.0,2.1,,,,,,,,,,,,,,,SED,SSTgbs J1805596-035928,271.4983,-3.9911,271.49868536193,-3.99132529369,0.0027002,0.0021633,69.11,4174242778993583232,271.49867117154,0.1408,-3.99134724587,0.1402,-0.0896,0.1707,-0.5251,5.877,-3.185,0.164,-4.939,0.136,258,9.3362,6065.45,1.255,1.784e+02,95,1.0610,0.0334,16,1.442,0,1.00441e+04,3.89908e+02,15.682589,7.40889e+01,2.61000e+01,20.664160,2.08206e+04,13.951664,2.080,6.712496,,,0,,,103212714986690810,,274113452,431214949,0.042238,0.382492,0.114571,15.666424,0.041616,1.01948e+04,0.079,2.6380,2.2387,0.1473
0.992620,271.510417,-4.393056,20,20,Aquila,J180602.5-042335,7.8,-2.26,1700.0,0.43,-2.52,2000.0,1.1,Y,-,43.0,1.1,120.0,2.6,140.0,3.3,93.0,4.5,60.0,2.9,49.0,2.3,32.0,1.5,7.3,0.69,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.36,,,8.8,1.1,,,,,,,,,,,,,,,SED,SSTgbs J1806025-042335,271.5104,-4.3931,271.51045155167,-4.39332956717,0.0029806,0.0017865,54.42,4174150037763490304,271.51043759033,0.1217,-4.39335708437,0.1184,0.2326,0.1402,1.6593,6.939,-3.132,0.163,-6.191,0.138,245,5.8482,1009.19,0.899,2.393e+01,95,1.0970,0.0287,17,1.278,0,2.92901e+03,1.56298e+01,17.020563,4.72042e+01,1.32153e+01,21.153590,5.74586e+03,15.349507,1.978,5.804082,,,0,,,102722715104278383,,274105163,429216303,0.006416,0.303975,0.016380,16.994972,0.006294,2.99887e+03,0.105,2.6376,2.2624,0.4514
0.317540,271.56,-4.398889,21,21,Aquila,J180614.4-042356,7.2,-2.1,1700.0,0.92,-2.37,2000.0,2.2,N,-,100.0,2.4,260.0,5.5,300.0,8.7,190.0,9.6,130.0,6.6,110.0,5.7,80.0,3.8,21.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,54.0,0.8,,,26.0,1.2,,,,,,,,,,,,,,,SED,SSTgbs J1806144-042356,271.56,-4.3989,271.56000077002,-4.39897720233,0.0025958,0.0016102,54.03,4174149904620573440,271.55998025359,0.1109,-4.39900228598,0.1096,0.1751,0.1273,1.3758,7.283,-4.603,0.142,-5.644,0.122,257,3.2523,2574.38,0.943,7.346e+01,95,1.0229,0.0261,17,1.147,0,7.10421e+03,9.89049e+01,16.058578,1.07164e+02,9.43100e+00,20.263420,1.36156e+04,14.412800,1.932,5.850620,,,0,,,102722715600021622,,274105178,429216381,0.015365,0.095591,0.041443,16.032987,0.015018,7.27364e+03,0.052,2.3039,2.0058,0.4265
