angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.474308,66.867083,26.389722,57,042728.1+262323,w,,,12.75,0.08,,12.58,0.06,,12.51,0.06,,11.83,0.2,,10.17,0.26,>,0.92,,>,-2.33,,,yes,no,no,yes,,1,,C+,not yso,star,III,K1 w/ Av,1.3,0.0,-1.6,,0.007,needs add'l followup,"b,n",66.8671,26.3897,04272812+2623232,66.867199,+26.389803,0.060,0.060,90,13.261,12.789,12.627,0.021,0.025,0.023,AAA,222,0,2450782.7342
1.106246,66.875833,24.689722,58,042730.2+244123,w,2MASX 04273023+2441232,,12.86,0.07,,12.87,0.07,,13.06,0.14,,14.34,2.95,,6.68,0.05,,0.41,0.22,>,-1.55,,yes,yes,yes-faint,no,no,,1,2MASX J04273023+2441232,B-,yso,star,I,,,,,,,pending followup,c,66.8758,24.6897,04273027+2441235,66.876130,+24.689869,0.090,0.090,107,16.180,14.415,13.449,0.136,0.132,0.088,BBA,222,1,2450782.7354
0.606986,67.239167,24.601944,60,042857.4+243607,w,,,10.4,0.05,,10.38,0.05,,10.25,0.06,,10.2,0.06,,8.88,0.14,>,1.1,,>,1.85,,,yes,no,no,no,,1,,A,yso,star,III,,,,,,,pending followup,c,67.2392,24.6019,04285743+2436074,67.239295,+24.602066,0.070,0.060,0,12.804,11.297,10.721,0.021,0.019,0.018,AAA,222,0,2450782.7466
1.167825,67.262083,24.527778,61,042902.9+243140,w,,,7.78,0.05,,7.68,0.05,,7.5,0.05,,7.46,0.05,,7.4,0.06,>,1.05,,>,-1.56,,,yes,no,no,no,,1,,C-,yso,star,III,,,,,,,pending followup,c,67.2621,24.5278,04290298+2431402,67.262433,+24.527840,0.070,0.060,0,11.372,9.325,8.573,0.020,0.019,0.021,AAA,222,0,2450782.7465
0.888472,67.271667,26.259722,62,042905.2+261535,w,2MASX 04290517+2615358,,13.3,0.06,,13.14,0.06,,13.15,0.08,,12.62,0.09,>,11.04,,>,1.15,,>,-1.27,,,,,no,yes,,1,2MASX J04290517+2615358,B-,,star,II,,,,,,,pending followup,,67.2717,26.2597,04290521+2615358,67.271721,+26.259964,0.070,0.070,82,15.814,14.433,13.736,0.079,0.065,0.060,AAA,222,0,2450782.7478
0.677182,67.3175,28.940833,63,042916.2+285627,w,HD 283629,,9.2,0.05,,9.19,0.05,,9.16,0.06,,9.11,0.05,,8.55,0.11,>,1.09,,,,,,no,yes,no,no,,1,HD 283629,B+,yso,star,III,G6,2.5,0.5,-0.1,,1.5E-4,needs add'l followup,b,67.3175,28.9408,04291624+2856272,67.317694,+28.940914,0.080,0.060,0,9.768,9.329,9.230,0.019,0.018,0.018,AAA,222,0,2450782.7498
0.664018,67.336667,27.701944,64,042920.8+274207,p,IRAS 04262+2735,,6.67,0.05,,6.59,0.05,,6.22,0.05,,5.04,0.05,,3.02,0.04,>,1.01,,>,-0.85,,,yes,yes,yes,no,g,1,IRAS 04262+2735,A,yso,class II,II,M6,0.0,4.0,0.4,,0.04,"possible,new member","b,c,d,e,k,o",67.3367,27.7019,04292083+2742074,67.336817,+27.702072,0.070,0.060,90,8.550,7.461,7.015,0.026,0.016,0.017,AAA,111,0,2450782.7526
1.505169,67.383333,24.516389,65,042932.0+243059,w,,,10.41,0.05,,9.27,0.05,,8.32,0.05,,7.32,0.05,,3.91,0.04,,1.19,0.22,>,-1.43,,yes,yes-faint,yes,yes,yes,,1,,A,yso,embedded,I,,,,,,,pending followup,"c,f",67.3833,24.5164,04293209+2430597,67.383731,+24.516598,0.110,0.110,135,17.622,15.647,13.717,,0.128,0.041,UBA,022,0,2450782.7549
1.116005,67.4,24.598611,66,042936.0+243555,M,J04293606+2435556,,8.04,0.05,,7.72,0.05,,7.47,0.05,,6.98,0.05,,4.19,0.04,,1.21,0.22,>,-1.75,,yes,yes,yes,yes,yes,i,1,2MASS J04293606+2435556,A+,yso,class II,II,M3,,6.6,-0.1,,0.048,new member,"f,g,h,l",67.4,24.5986,04293606+2435556,67.400276,+24.598793,0.060,0.060,90,10.780,9.392,8.659,0.019,0.020,0.020,AAA,222,0,2450782.7548
1.303374,67.457917,28.714722,67,042949.9+284253,w,,,13.25,0.06,,12.57,0.06,,11.82,0.06,,10.79,0.06,,7.46,0.06,>,1.12,,>,-0.7,,,no,no,no,yes,,1,,C-,not yso,class II,flat,,,,,,,pending followup,,67.4579,28.7147,04294999+2842533,67.458318,+28.714808,0.250,0.240,106,16.755,16.010,15.320,,0.210,0.156,UCC,022,0,2450782.7518
0.644175,67.519583,28.551667,68,043004.7+283306,w,,,9.47,0.05,,9.51,0.05,,9.48,0.05,,9.37,0.05,,8.63,0.12,>,0.95,,>,-2.55,,,no,yes,no,no,,1,,B+,yso,star,III,K2,1.6,1.3,-0.4,,3.6E-4,needs add'l followup,b,67.5196,28.5517,04300471+2833066,67.519643,+28.551838,0.060,0.060,0,10.422,9.781,9.571,0.021,0.022,0.018,AAA,222,0,2450782.7592
0.794639,67.600417,28.321111,69,043024.1+281916,w,,,6.92,0.05,,6.92,0.05,,6.75,0.05,,6.55,0.05,,5.84,0.04,>,1.06,,>,-0.49,,,yes,yes,no,no,h,1,,B,yso,star,III,M5,0.0,5.1,0.5,<,9.6E-5,needs add'l followup,"b,e,k",67.6004,28.3211,04302414+2819165,67.600602,+28.321260,0.060,0.060,0,8.778,7.575,7.137,0.037,0.021,0.017,AAA,111,0,2450782.7690
1.257842,67.6425,25.4075,70,043034.2+252427,w,,,13.64,0.06,,13.56,0.06,,13.42,0.09,,13.38,0.13,,9.46,0.27,>,0.75,,>,-0.93,,,yes-faint,no,no,no,,1,,B+,not yso,star,II,G5-G6 w/ Av,2.7,2.3,-1.9,,0.0085,needs add'l followup,"b,n",67.6425,25.4075,04303427+2524278,67.642795,+25.407726,0.070,0.060,0,14.638,14.007,13.743,0.031,0.034,0.042,AAA,222,0,2450782.7711
1.122267,67.678333,27.724722,71,043042.8+274329,w,,,7.07,0.05,,7.06,0.05,,6.79,0.05,,6.74,0.05,,6.17,0.05,>,0.95,,>,-1.02,,,yes,yes,no,no,i,1,,B+,yso,star,III,M6,0.0,3.6,0.1,<,3.2E-4,needs add'l followup,"b,e,k",67.6783,27.7247,04304284+2743299,67.678529,+27.724981,0.060,0.060,90,9.248,8.198,7.674,0.021,0.042,0.027,AAA,211,0,2450782.7694
0.775563,67.68625,26.552222,72,043044.7+263308,w,,,7.33,0.05,,7.35,0.05,,7.29,0.05,,7.21,0.05,,6.91,0.05,,2.29,0.22,>,-1.1,,yes,no,no,no,no,,1,,B+,yso,star,III,K3,1.1,2.2,0.5,,8.9E-4,needs add'l followup,"b,l",67.6862,26.5522,04304474+2633084,67.686434,+26.552361,0.070,0.060,0,8.431,7.651,7.392,0.023,0.023,0.023,AAA,111,0,2450782.7703
0.997090,67.880833,23.006944,73,043131.4+230025,w,,,10.31,0.05,,10.34,0.05,,10.31,0.06,,9.92,0.06,>,9.41,,>,0.99,,>,-0.57,,,,,yes,no,,1,,B-,,star,III,K2,1.5,1.7,-0.7,,0.0027,needs add'l followup,b,67.8808,23.0069,04313142+2300259,67.880924,+23.007208,0.070,0.060,0,11.376,10.694,10.466,0.024,0.032,0.018,AAA,222,0,2451493.7742
0.718002,67.887917,29.482222,74,043133.1+292856,w,,,9.56,0.05,,9.48,0.05,,9.49,0.05,,9.47,0.05,,8.82,0.14,>,0.99,,>,1.65,,,no,yes,no,no,,1,,B-,yso,star,III,B9 w/ Av,10.7,2.6,0.5,,3.3E-5,needs add'l followup,"b,n",67.8879,29.4822,04313313+2928565,67.888044,+29.482388,0.080,0.060,0,10.030,9.740,9.578,0.021,0.024,0.021,AAA,222,0,2450782.7778
0.824439,67.921667,29.656111,75,043141.2+293922,w,,,12.76,0.06,,12.31,0.06,,12.65,0.07,,11.7,0.06,>,10.63,,>,1.05,,>,0.57,,,,,no,yes,,1,,C-,,star,III,K2,1.2,1.4,-1.7,,0.011,needs add'l followup,"b,j,n",67.9217,29.6561,04314126+2939222,67.921919,+29.656178,0.070,0.060,0,13.681,13.034,12.810,0.028,0.027,0.026,AAA,222,0,2450782.7777
0.539220,67.9375,28.985556,76,043145.0+285908,w,,,10.96,0.05,,10.96,0.05,,10.93,0.06,,10.81,0.06,,8.76,0.12,>,1.14,,>,-0.7,,,yes,no,no,no,,1,,B,not yso,star,III,F0,1.1,1.3,-0.6,,0.001,needs add'l followup,"b,n",67.9375,28.9856,04314503+2859081,67.937661,+28.985607,0.070,0.060,0,11.465,11.158,10.989,0.021,0.020,0.021,AAA,222,0,2450782.7781
0.657416,68.056667,25.296111,77,043213.6+251746,w,GSC 01833-00754,,9.65,0.05,,9.63,0.05,,9.59,0.05,,9.57,0.05,,8.95,0.15,>,1.02,,>,-0.49,,,no,yes-faint,no,no,,1,GSC 01833-00754,C+,yso,star,III,A9,6.4,1.3,0.0,,8.2E-5,needs add'l followup,"b,n",68.0567,25.2961,04321364+2517460,68.056868,+25.296129,0.070,0.070,0,10.069,9.789,9.650,0.022,0.022,0.020,AAA,222,0,2450782.7833
0.228035,68.060833,22.628333,78,043214.6+223742,w,,,13.86,0.06,,12.7,0.06,,11.64,0.06,,10.52,0.06,,7.32,0.05,>,1.02,,>,0.24,,,,no,yes-faint,no,,1,,C,not yso,embedded,flat,,,,,,,pending followup,,68.0608,22.6283,04321460+2237422,68.060855,+22.628393,0.270,0.240,12,16.925,16.266,15.728,0.189,0.226,0.217,CDD,222,0,2451814.9578
0.858378,68.100417,22.852222,79,043224.1+225108,M,,,10.04,0.05,,9.69,0.05,,9.28,0.05,,8.49,0.05,,6.11,0.04,>,1.43,,>,0.63,,,yes,yes,yes,yes,,1,,A+,yso,class II,II,M5e,-14.4,1.5,-1.0,,0.064,new member,"b,c,f,k",68.1004,22.8522,04322415+2251083,68.100646,+22.852333,0.070,0.060,0,11.616,10.828,10.530,0.026,0.030,0.020,AAA,222,0,2451814.9576
0.590393,68.104583,26.792222,80,043225.1+264732,w,,,11.08,0.05,,11.06,0.05,,11.01,0.06,,10.48,0.06,,10.18,0.27,>,1.0,,>,-1.43,,,yes,no,yes-faint,no,,1,,B-,not yso,star,III,K1 w/ Av,1.3,3.1,-0.9,,0.0017,needs add'l followup,b,68.1046,26.7922,04322513+2647322,68.104744,+26.792301,0.090,0.060,0,12.280,11.442,11.191,0.022,0.022,0.018,AAA,222,0,2450782.7844
1.161468,68.117083,27.189444,81,043228.1+271122,w,,,6.81,0.05,,6.79,0.05,,6.57,0.05,,6.42,0.05,,5.91,0.04,>,0.72,,>,-0.59,,,yes,yes,no,no,h,1,,B,yso,star,III,M6,0.0,7.0,0.5,<,4.0E-5,needs add'l followup,"b,e,k",68.1171,27.1894,04322815+2711228,68.117315,+27.189692,0.110,0.080,90,9.196,7.757,7.158,0.023,0.026,0.016,AAA,111,0,2450782.7847
0.914220,68.184167,23.04,82,043244.2+230224,M,,,14.1,0.06,,13.25,0.06,,12.12,0.06,,10.52,0.06,,6.63,0.05,,2.51,0.22,>,-0.12,,yes,no,no,no,no,,1,,,not yso,embedded,I,,,,,,,Xgal,c,68.1842,23.04,04324422+2302248,68.184254,+23.040241,0.150,0.150,135,16.663,16.604,15.147,,,0.128,UUB,002,0,2451814.9852
1.128613,68.205417,22.885556,83,043249.3+225308,M,,,8.49,0.05,,8.18,0.05,,7.77,0.05,,7.05,0.06,,,,,,,>,-0.86,,,,,yes,yes,,1,,A+,,class II,II,early K,-25.9,7.1,0.0,,0.03,new member,"a,b,f,j,o",68.2054,22.8856,04324938+2253082,68.205751,+22.885616,0.060,0.060,90,11.103,9.808,9.198,0.032,0.040,0.025,AAA,222,0,2451814.9853
0.935071,68.235,22.395,84,043256.4+222342,w,HD 284481,,9.06,0.05,,9.05,0.05,,9.01,0.05,,9.03,0.05,,8.45,0.11,>,1.03,,>,-1.74,,,no,yes,no,no,,1,HD 284481,B-,yso,star,III,A8,6.5,1.0,0.3,,6.4E-5,needs add'l followup,"b,n",68.235,22.395,04325645+2223424,68.235238,+22.395138,0.060,0.060,90,9.414,9.181,9.103,0.026,0.030,0.020,AAA,222,0,2451814.9856
0.987442,68.2675,29.363611,85,043304.2+292149,w,HD 282276,,7.99,0.05,,7.92,0.05,,7.83,0.06,,7.17,0.06,,3.02,0.04,>,-0.35,,,-4.73,0.34,,yes,yes,yes,no,,1,HD 282276,A,yso,star,II,B8V,5.7,,,,,needs add'l followup,"c,m",68.2675,29.3636,04330422+2921499,68.267613,+29.363867,0.060,0.060,0,8.391,8.174,8.075,0.019,0.018,0.018,AAA,112,0,2450782.7959
0.940141,68.3025,29.213889,86,043312.6+291250,w,HD 282277,,8.73,0.05,,8.68,0.05,,8.7,0.05,,8.64,0.05,,7.98,0.08,>,0.95,,>,0.29,,,no,yes,no,no,,1,HD 282277,B,yso,star,III,A7V,6.9,,,,,needs add'l followup,,68.3025,29.2139,04331265+2912506,68.302720,+29.214066,0.060,0.060,90,9.145,8.909,8.749,0.034,0.022,0.017,AAA,122,0,2450782.7958
0.274803,68.319167,26.456667,87,043316.6+262724,w,,,13.16,0.06,,12.41,0.06,,11.72,0.06,,10.79,0.06,,7.02,0.03,>,1.16,,>,-4.62,,,no,no,no,yes,,1,,B+,yso,class II,flat,,,,,,,pending followup,,68.3192,26.4567,04331662+2627240,68.319252,+26.456673,0.150,0.130,99,17.246,15.653,14.979,0.237,,0.115,DUB,202,0,2450782.7938
0.386102,68.359167,22.758056,88,043326.2+224529,P,2MASS J04332621+2245293,,9.56,0.05,,9.46,0.05,,9.38,0.05,,9.33,0.05,,8.46,0.08,,1.94,0.22,>,-1.45,,yes-faint,yes,yes,no,no,,1,2MASS J04332621+2245293,A,yso,star,II,M4,-6.8,5.9,-0.6,,0.015,"probable,new member","b,c,f,g,k",68.3592,22.7581,04332621+2245293,68.359223,+22.758150,0.080,0.060,0,11.801,10.500,9.924,0.021,0.024,0.021,AAA,222,0,2451135.9319
1.096115,68.4125,22.455556,89,043339.0+222720,M,,,9.97,0.05,,9.75,0.05,,9.55,0.05,,9.19,0.05,,4.85,0.04,,1.11,0.22,>,-0.43,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,II,M1e,-23.7,7.9,-0.9,,0.12,new member,"b,c,f,k",68.4125,22.4556,04333905+2227207,68.412730,+22.455774,0.070,0.060,0,13.126,11.564,10.709,0.025,0.023,0.020,AAA,222,0,2451135.9343
0.620622,68.424167,22.643333,90,043341.8+223836,w,,,11.1,0.05,,11.01,0.05,,11.01,0.06,,10.51,0.06,>,9.86,,>,1.08,,>,-0.71,,,,,yes-faint,no,,1,,B-,,star,III,K2 w/ Av,0.7,4.9,-0.9,<,0.0021,needs add'l followup,b,68.4242,22.6433,04334182+2238365,68.424276,+22.643473,0.080,0.070,0,12.616,11.571,11.266,0.022,0.021,0.020,AAA,222,0,2451135.9342
0.880613,68.435833,26.25,91,043344.6+261500,M,,,8.79,0.05,,8.24,0.05,,7.8,0.05,,7.15,0.05,,4.56,0.04,,1.85,0.22,>,-1.48,,yes,yes,yes,yes,yes,h,1,,A+,yso,class II,II,M6e,-82.2,5.4,-0.6,,0.13,new member,"b,c,e,f,k,l",68.4358,26.25,04334465+2615005,68.436051,+26.250147,0.060,0.060,90,11.639,10.385,9.744,0.021,0.022,0.018,AAA,222,0,2450782.7995
0.493210,68.45625,29.257778,92,043349.5+291528,M,IRAS 04306+2909,,12.66,0.06,,11.45,0.05,,10.12,0.06,,8.62,0.05,,4.12,0.04,,0.6,0.22,>,-0.7,,yes,yes-faint,yes,yes-faint,yes,g,1,IRAS 04306+2909,,yso,embedded,I,Xgal,-1.9,9.5,0.2,,0.021,Xgal,b d,68.4562,29.2578,04334950+2915284,68.456251,+29.257915,0.070,0.060,4,15.485,14.497,13.866,0.081,0.081,0.066,AAA,222,0,2450782.7973
1.154900,68.468333,26.215,93,043352.4+261254,M,J04335245+2612548,,13.24,0.06,,12.7,0.06,,12.24,0.06,,11.46,0.06,,8.44,0.11,>,1.07,,>,-0.75,,,yes-faint,no,no,yes,i,1,2MASS J04335245+2612548,A+,yso,class II,II,M8.5,,4.9,-2.4,,0.13,new member,f,68.4683,26.215,04335245+2612548,68.468574,+26.215237,0.060,0.060,90,15.806,14.593,13.990,0.073,0.061,0.050,AAA,222,0,2450782.7995
1.607761,68.496667,29.61,94,043359.2+293636,w,,,7.16,0.05,,7.24,0.05,,7.05,0.05,,6.94,0.05,,6.38,0.05,>,0.84,,>,-1.17,,,yes,yes,no,no,,1,,B+,yso,star,III,M3 w/Av,0.0,5.5,0.4,<,8.0E-5,needs add'l followup,"b,k",68.4967,29.61,04335929+2936369,68.497083,+29.610262,0.070,0.060,90,9.213,7.946,7.434,0.020,0.023,0.016,AAA,211,0,2450782.7970
1.182412,68.58125,26.869444,95,043419.5+265210,w,,,11.84,0.05,,11.76,0.05,,11.68,0.06,,11.46,0.06,,8.88,0.14,>,0.95,,>,-0.6,,,yes,no,no,no,,1,,A,not yso,star,III,,,,,,,pending followup,c,68.5812,26.8694,04341958+2652101,68.581613,+26.869499,0.060,0.060,90,13.330,12.472,12.051,0.023,0.020,0.021,AAA,222,0,2450782.8038
1.277366,68.5825,23.446944,96,043419.8+232649,w,HD 284530,,8.22,0.05,,8.22,0.05,,8.18,0.05,,8.18,0.05,,7.46,0.06,>,0.67,,>,-0.97,,,no,yes,no,no,,1,HD 284530,B-,yso,star,III,B8,7.7,1.9,1.2,,3.8E-5,needs add'l followup,"b,m,n",68.5825,23.4469,04341987+2326497,68.582806,+23.447161,0.100,0.060,0,8.580,8.390,8.240,0.021,0.016,0.021,AAA,111,0,2451135.9421
1.262509,68.6475,26.735,97,043435.4+264406,w,,<,6.62,,,6.64,0.05,,6.45,0.05,,6.22,0.05,,4.84,0.04,>,1.07,,>,-0.91,,,yes,yes,yes,,h,1,,B-,,,III,M3,1.4,5.8,0.6,,0.001,needs add'l followup,"b,e,k",68.6475,26.735,04343549+2644062,68.647885,+26.735069,0.060,0.060,90,8.713,7.412,6.892,0.021,0.042,0.027,AAA,111,0,2450782.8037
0.862955,68.71875,24.045556,98,043452.5+240244,w,,,11.49,0.05,,11.46,0.05,,11.4,0.06,,11.05,0.06,,8.81,0.18,>,1.42,,>,-1.43,,,yes,no,yes-faint,no,,1,,B+,not yso,star,III,K2 w/ Av,1.6,4.4,-1.1,,0.0038,needs add'l followup,b,68.7187,24.0456,04345251+2402448,68.718796,+24.045792,0.080,0.070,0,13.091,12.095,11.703,0.025,0.024,0.019,AAA,222,0,2450782.8179
0.966598,68.737083,22.976389,99,043456.9+225835,M,2MASS J04345693+2258358,,9.05,0.05,,9.06,0.05,,8.95,0.05,,8.93,0.05,,8.31,0.08,>,1.26,,>,-0.89,,,no,yes,no,no,,1,2MASS J04345693+2258358,A+,yso,star,III,M0,-4.5,1.8,-0.5,,2.3E-4,new member,"b,f,g,i",68.7371,22.9764,04345693+2258358,68.737218,+22.976627,0.070,0.060,0,10.465,9.594,9.267,0.023,0.023,0.018,AAA,222,0,2451089.9015
0.619021,68.83875,25.919444,100,043521.3+255510,M,,,13.24,0.06,,12.48,0.06,,11.71,0.06,,10.69,0.06,,7.27,0.06,>,1.08,,>,-1.87,,,no,no,no,yes,,1,,,yso,embedded,flat,,,,,,,Xgal,c,68.8387,25.9194,04352132+2555105,68.838861,+25.919584,0.170,0.140,93,18.685,15.862,15.003,,,0.120,UUB,002,0,2450782.8198
0.849528,68.925,22.872778,101,043542.0+225222,M,2MASS J04354203+2252226,,9.69,0.05,,9.56,0.05,,9.5,0.05,,9.5,0.05,,8.98,0.12,>,1.07,,>,-0.55,,,yes,yes-faint,no,no,,1,2MASS J04354203+2252226,A+,yso,star,III,M5e,-18.6,2.1,-0.8,<,1.4E-4,new member,"b,f,g,i,k",68.925,22.8728,04354203+2252226,68.925159,+22.872963,0.060,0.060,0,11.252,10.393,9.995,0.023,0.021,0.023,AAA,222,0,2451089.9112
0.503170,68.99,22.899167,102,043557.6+225357,M,J04355760+2253574,,13.06,0.05,,12.87,0.06,,12.43,0.06,,12.35,0.08,,7.13,0.05,>,0.88,,>,-2.35,,,yes-faint,yes-faint,no,no,,1,2MASS J04355760+2253574,A+,yso,star,II,M5:e,-30.4,3.4,-2.3,,0.15,new member,"b,c,k",68.99,22.8992,04355760+2253574,68.990035,+22.899303,0.060,0.060,0,15.209,14.201,13.640,0.032,0.030,0.033,AAA,222,0,2451089.9112
1.380131,68.9975,22.641389,103,043559.4+223829,M,,,12.41,0.06,,11.72,0.06,,10.87,0.06,,9.57,0.06,,5.22,0.04,,2.22,0.22,>,2.35,,yes,yes,yes-faint,yes-faint,yes,,1,,A+,yso,class II,flat,K7-M0,-1.7,2.0,-2.0,,0.53,new member,b,68.9975,22.6414,04355949+2238291,68.997913,+22.641430,0.060,0.060,90,14.514,13.621,13.147,0.038,0.047,0.028,AAA,222,0,2451089.9114
1.194567,69.089167,27.32,104,043621.4+271912,p,,,12.62,0.05,,12.62,0.06,,12.56,0.06,,12.38,0.07,,8.11,0.08,>,0.79,,>,-0.87,,,yes,no,no,no,,1,,A-,yso,star,II,K2e,0.8,2.6,-1.5,,0.012,"possible,new member","b,n o",69.0892,27.32,04362146+2719127,69.089458,+27.320208,0.060,0.060,0,13.663,12.879,12.716,0.027,0.035,0.024,AAA,222,0,2451812.9127
0.639556,69.089583,23.854444,105,043621.5+235116,M,J04362151+2351165,,11.78,0.05,,11.53,0.05,,11.12,0.06,,10.55,0.06,,7.74,0.07,>,1.06,,>,-1.09,,,yes,no,yes-faint,yes,i,1,2MASS J04362151+2351165,A+,yso,class II,II,M5.25,,0.1,-1.8,,0.065,new member,"c,f",69.0896,23.8544,04362151+2351165,69.089655,+23.854609,0.090,0.070,2,13.164,12.537,12.245,0.025,0.022,0.021,AAA,222,0,2451089.9196
0.992240,69.150417,26.986111,106,043636.1+265910,w,,,11.59,0.05,,11.64,0.05,,11.61,0.06,,10.87,0.06,>,10.6,,>,1.05,,>,-1.2,,,,,yes-faint,no,,1,,B,,star,III,K2,1.0,1.1,-1.4,,0.0078,needs add'l followup,b,69.1504,26.9861,04363614+2659107,69.150616,+26.986322,0.060,0.060,90,12.786,11.997,11.739,0.026,0.030,0.024,AAA,222,0,2451812.9124
0.507307,69.336667,25.005278,108,043720.8+250019,w,,,9.73,0.05,,9.72,0.06,,9.66,0.05,,9.63,0.05,,8.84,0.15,>,1.01,,>,-0.23,,,no,yes-faint,no,no,,1,,B+,yso,star,III,G0,3.5,0.8,-0.3,,3.5E-4,needs add'l followup,b,69.3367,25.0053,04372082+2500194,69.336752,+25.005396,0.080,0.070,90,10.367,9.960,9.798,0.017,0.017,0.019,AAA,222,0,2451138.7480
0.985825,69.353333,27.155278,109,043724.8+270919,M,SV* SVS 1085,,9.45,0.05,,9.3,0.05,,9.07,0.05,,8.73,0.05,,7.32,0.05,>,1.01,,>,-1.38,,,yes,yes,yes,no,,1,SV* SVS 1085,B,yso,class II,III,B8e,-20.4,2.3,0.7,,5.6E-4,background Be,"b,c",69.3533,27.1553,04372486+2709195,69.353589,+27.155430,0.100,0.060,0,9.787,9.548,9.301,0.021,0.023,0.017,AAA,222,0,2451138.7465
0.926840,69.48625,25.772778,110,043756.7+254622,M,ITG 1,,12.03,0.05,,11.42,0.05,,10.73,0.06,,9.83,0.05,,7.16,0.05,>,0.67,,>,-1.17,,,yes,yes-faint,yes-faint,yes,"g,i",1,ITG 1,A+,yso,class II,II,,,,,,,new member,"c,d,f",69.4862,25.7728,04375670+2546229,69.486267,+25.773035,0.360,0.130,90,14.129,13.256,12.695,0.034,0.033,0.032,AAA,222,0,2451138.7506
0.634314,69.507917,25.323889,111,043801.9+251926,M,,,11.87,0.05,,11.76,0.05,,11.58,0.06,,10.98,0.06,,8.82,0.12,>,0.88,,>,-2.12,,,yes,no,yes-faint,no,,1,,A+,not yso,star,II,K8,-1.9,3.3,-1.6,,0.015,new member,"b,c",69.5079,25.3239,04380191+2519266,69.507964,+25.324060,0.170,0.070,90,13.651,12.609,12.210,0.023,0.023,0.022,AAA,222,0,2451138.7503
0.860727,69.515,22.206389,112,043803.6+221223,w,,,11.46,0.05,,11.47,0.05,,11.46,0.06,,10.81,0.06,,10.85,0.33,>,1.09,,>,0.43,,,no,no,yes-faint,no,,1,,C-,not yso,star,III,G0,3.2,0.3,-1.0,,0.002,needs add'l followup,"b,n",69.515,22.2064,04380365+2212234,69.515227,+22.206503,0.070,0.060,0,11.926,11.570,11.476,0.023,0.027,0.025,AAA,222,0,2451089.9310
1.292811,69.56875,26.247222,113,043816.5+261450,w,,,9.45,0.05,,9.36,0.05,,9.17,0.05,,9.14,0.05,,9.0,0.14,>,0.67,,>,-0.3,,,yes,no,no,no,,1,,C-,yso,star,III,,,,,,,pending followup,c,69.5687,26.2472,04381659+2614500,69.569150,+26.247238,0.450,0.100,90,12.968,10.972,10.016,0.022,0.017,0.016,AAA,222,0,2451138.7510
1.189336,69.61125,26.916944,114,043826.7+265501,w,,,9.8,0.05,,9.81,0.05,,9.77,0.05,,9.78,0.05,,9.05,0.15,>,1.01,,>,1.08,,,no,yes-faint,no,no,,1,,B+,yso,star,III,G6-K2,1.8,1.0,-0.4,,1.9E-4,needs add'l followup,b,69.6112,26.9169,04382677+2655015,69.611576,+26.917101,0.100,0.070,0,10.514,10.004,9.877,0.023,0.022,0.020,AAA,222,0,2451100.8472
0.697130,69.771667,23.629167,115,043905.2+233745,M,J04390525+2337450,,10.6,0.06,,10.19,0.05,,9.75,0.05,,9.02,0.05,,3.51,0.04,>,0.25,,>,-1.03,,,yes,yes,yes,yes,i,1,2MASS J04390525+2337450,A+,yso,class II,flat,K5e,-28.2,4.1,-1.3,,0.39,new member,"b,c,f",69.7717,23.6292,04390525+2337450,69.771877,+23.629189,0.090,0.060,0,13.378,12.301,11.550,0.025,0.021,0.019,AAA,222,0,2451089.9457
0.656789,69.89,23.989167,116,043933.6+235921,M,J04393364+2359212,,9.63,0.05,,9.22,0.05,,8.85,0.05,,7.88,0.05,,5.22,0.04,>,0.92,,>,-1.92,,,yes,yes,yes,yes,i,1,2MASS J04393364+2359212,A+,yso,class II,II,M5,,1.3,-1.0,,0.15,new member,f,69.89,23.9892,04393364+2359212,69.890187,+23.989231,0.080,0.060,0,11.568,10.804,10.277,0.022,0.021,0.018,AAA,222,0,2451100.8590
0.804776,69.91625,25.342778,117,043939.9+252034,w,JH 225,,8.6,0.05,,8.6,0.05,,8.5,0.05,,8.53,0.05,,7.66,0.06,>,0.74,,>,-1.5,,,yes,yes,no,no,h,1,JH 225,B-,yso,star,III,B9 w/ Av,10.5,4.1,0.9,,5.0E-5,needs add'l followup,"b,e,n",69.9162,25.3428,04393995+2520342,69.916487,+25.342842,0.100,0.060,90,9.478,9.013,8.732,0.023,0.027,0.018,AAA,212,0,2451100.8580
