angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
1.341191,64.51375,24.669167,14,041803.3+244009,w,,,10.08,0.05,,10.07,0.05,,10.03,0.06,,9.83,0.05,,7.21,0.05,>,1.1,,>,-0.39,,,yes,yes-faint,no,no,,1,,B,yso,star,III,A9,7.9,0.3,-0.3,,0.0022,needs add'l followup,"b,e,n",64.5137,24.6692,04180338+2440096,64.514100,+24.669361,0.070,0.060,90,10.414,10.249,10.083,0.021,0.022,0.019,AAA,222,0,2450781.7243
1.297951,64.54375,28.746389,15,041810.5+284447,w,,,12.42,0.05,,11.73,0.05,,10.94,0.06,,10.06,0.06,,6.42,0.05,,1.84,0.22,>,2.04,,yes,no,no,yes-faint,yes,,1,,C,yso,class II,I,,,,,,,pending followup,,64.5437,28.7464,04181059+2844473,64.544147,+28.746483,0.110,0.110,135,16.594,15.560,14.393,0.119,0.125,0.070,BBA,222,0,2450781.7295
1.294712,64.544583,25.3325,16,041810.7+251957,M,[GBM90] L1506 1,,8.1,0.05,,7.76,0.05,,7.27,0.05,,6.33,0.05,,4.42,0.04,,1.72,0.22,>,-1.45,,yes,yes,yes,yes,yes,h,1,[GBM90] L1506 1,A+,yso,class II,II,K8-M0,-4.3,4.3,-0.3,,0.11,new member,"a,b,e,f,o",64.5446,25.3325,04181078+2519574,64.544954,+25.332630,0.060,0.060,0,10.744,9.589,9.032,0.024,0.022,0.019,AAA,222,0,2450781.7320
0.203664,64.596667,25.324444,17,041823.2+251928,w,2MASX 04182321+2519281,,11.79,0.05,,11.09,0.05,,10.44,0.06,,9.57,0.05,,6.18,0.05,>,1.18,,>,-1.08,,,yes-faint,yes-faint,yes-faint,yes,,1,2MASX J04182321+2519281,B+,yso,class II,flat,G,1.9,7.7,-1.8,,0.34,needs add'l followup,"b,e,l,n",64.5967,25.3244,04182321+2519280,64.596722,+25.324471,0.060,0.060,0,15.944,14.703,13.620,0.077,0.066,0.048,AAA,222,0,2450781.7320
1.086703,64.741667,23.841944,19,041858.0+235031,w,,,12.68,0.06,,11.85,0.05,,11.07,0.06,,10.22,0.06,,7.27,0.05,>,1.2,,>,0.33,,,no,no,yes-faint,yes,,1,,B,yso,embedded,flat,,,,,,,pending followup,c,64.7417,23.8419,04185807+2350311,64.741993,+23.841991,0.150,0.140,85,16.651,15.941,14.764,0.140,0.168,0.109,BCB,222,0,2450752.8253
0.217207,64.745833,25.961111,20,041859.0+255740,w,,,13.08,0.06,,12.06,0.06,,11.1,0.06,,9.9,0.06,,5.96,0.04,>,1.25,,>,1.82,,,no,yes-faint,yes-faint,yes,,1,,B-,yso,embedded,I,,,,,,,pending followup,,64.7458,25.9611,04185901+2557400,64.745898,+25.961126,0.130,0.110,89,16.766,15.918,14.761,0.151,0.158,0.085,BCA,222,0,2450781.7349
0.236778,64.900833,26.882222,21,041936.2+265256,w,,,12.26,0.05,,12.22,0.06,,12.17,0.06,,12.09,0.06,,9.27,0.15,>,1.55,,>,-0.29,,,yes,no,no,no,,1,,B,not yso,star,III,G3,2.7,0.8,-1.3,,0.0032,needs add'l followup,"b,n",64.9008,26.8822,04193620+2652562,64.900850,+26.882286,0.070,0.060,0,12.871,12.445,12.298,0.021,0.027,0.021,AAA,222,0,2450781.7405
1.492777,64.918333,27.016667,22,041940.4+270100,w,,,12.81,0.06,,11.95,0.05,,11.15,0.06,,10.25,0.06,,6.69,0.05,>,1.63,,>,0.34,,,no,no,yes-faint,yes,,1,,B-,yso,embedded,I,,,,,,,pending followup,"g,l",64.9183,27.0167,04194049+2701007,64.918731,+27.016882,0.120,0.110,8,16.819,15.697,14.663,0.122,0.118,0.069,BBA,222,0,2450781.7404
1.081725,64.9225,27.268611,23,041941.4+271607,P,HH390 star,,11.25,0.05,,10.42,0.05,,9.87,0.05,,9.32,0.05,,3.23,0.04,,-0.79,0.22,,-3.01,0.22,yes,yes,yes,yes,yes,,1,2MASS J04194148+2716070,A,yso,class II,I,<M0,,5.5,-1.7,,0.87,"probable,new member","c,l",64.9225,27.2686,04194148+2716070,64.922838,+27.268616,0.080,0.070,0,14.712,13.410,12.616,0.037,0.036,0.026,AAA,222,0,2450781.7402
1.017312,64.94375,27.215278,24,041946.5+271255,w,,,10.17,0.05,,9.47,0.05,,8.75,0.05,,8.14,0.05,,4.05,0.04,>,1.16,,>,-1.12,,,yes,yes,yes,yes,,1,,B,yso,embedded,I,,,,,,,pending followup,"c,f",64.9437,27.2153,04194657+2712552,64.944061,+27.215336,0.080,0.080,90,17.719,14.031,11.889,,0.037,0.021,UAA,022,0,2450781.7455
0.566272,65.067083,28.358889,25,042016.1+282132,M,,,11.86,0.05,,11.48,0.05,,11.13,0.06,,10.57,0.06,,8.23,0.08,>,1.07,,>,-0.28,,,yes,no,yes-faint,yes,,1,,A+,yso,class II,II,M6e,-133.1,0.2,-2.1,,0.13,new member,"b,c,f,k",65.0671,28.3589,04201611+2821325,65.067129,+28.359041,0.060,0.060,90,13.779,13.122,12.552,0.028,0.033,0.025,AAA,222,0,2450781.7464
0.590431,65.089167,28.230278,26,042021.4+281349,M,,,12.82,0.06,,12.42,0.06,,12.13,0.06,,11.64,0.06,,8.86,0.12,,2.54,0.22,>,-0.75,,yes-faint,no,no,no,yes,,1,,A+,yso,class II,flat,M0e,-489.1,3.5,-2.4,,0.44,new member,"a,b,c,f,l",65.0892,28.2303,04202144+2813491,65.089345,+28.230326,0.070,0.060,86,15.827,14.755,14.053,0.068,0.063,0.055,AAA,222,0,2450781.7564
0.876703,65.1075,28.323056,27,042025.8+281923,M,,,9.19,0.05,,8.52,0.05,,7.92,0.05,,7.12,0.05,,3.78,0.04,,1.92,0.22,>,-1.07,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,flat,M4e,-102.2,11.2,-1.5,,0.71,new member,"b,c,f,k,l",65.1075,28.3231,04202583+2819237,65.107642,+28.323265,0.070,0.060,90,15.327,13.422,11.718,0.039,0.026,0.021,AAA,222,0,2450781.7563
1.321950,65.1075,28.278056,28,042025.8+281641,w,,,9.45,0.05,,9.39,0.05,,9.31,0.05,,9.31,0.05,,8.81,0.09,>,1.13,,>,-0.54,,,no,yes,no,no,,1,,B,yso,star,III,G2:,3.1,1.0,-0.2,,1.6E-4,needs add'l followup,b,65.1075,28.2781,04202588+2816416,65.107869,+28.278227,0.070,0.060,90,10.146,9.707,9.473,0.022,0.022,0.019,AAA,222,0,2450781.7563
1.293029,65.108333,28.068889,29,042026.0+280408,M,,,9.4,0.05,,9.03,0.05,,8.61,0.05,,7.02,0.05,,3.26,0.04,,0.85,0.22,>,0.42,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,II,M2,-5.3,0.0,-0.7,,0.26,new member,"b,c,f,k,l",65.1083,28.0689,04202606+2804089,65.108609,+28.069153,0.070,0.060,90,10.612,9.949,9.697,0.021,0.022,0.018,AAA,222,0,2450781.7565
1.018795,65.28875,27.843333,30,042109.3+275036,M,,,9.96,0.05,,9.78,0.05,,9.6,0.05,,9.22,0.05,,7.17,0.05,>,1.53,,>,-1.65,,,yes,yes,yes,yes,,1,,A+,yso,class II,III,M3-4e,-17.6,0.0,-1.0,,0.02,new member,"b,c,f,k,l",65.2887,27.8433,04210934+2750368,65.288930,+27.843567,0.060,0.060,90,11.229,10.657,10.358,0.020,0.028,0.022,AAA,222,0,2450781.7628
1.471518,65.295417,25.883056,31,042110.9+255259,w,V412 Tau,<,6.62,,<,6.1,,,5.37,0.05,,5.17,0.05,,4.33,0.04,>,1.21,,>,0.02,,,yes,yes,,,,1,V412 Tau,B,,,III,A1,9.2,8.3,2.1,,7.1E-5,needs add'l followup,"b,l",65.2954,25.8831,04211098+2552598,65.295779,+25.883303,0.070,0.060,90,7.175,6.192,5.760,0.020,0.018,0.020,AAA,111,0,2450781.7614
0.667795,65.398333,25.643056,32,042135.6+253835,p,,,12.22,0.05,,12.18,0.06,,12.15,0.06,,11.5,0.06,,9.44,0.25,>,1.01,,>,-0.28,,,yes,no,no,no,,1,,B,not yso,star,III,F6-G0,3.1,1.2,-1.2,,0.0043,"possible,new member","b,n",65.3983,25.6431,04213561+2538356,65.398398,+25.643232,0.060,0.060,0,12.820,12.375,12.274,0.026,0.030,0.021,AAA,222,0,2450781.7679
0.218473,65.442917,24.418056,33,042146.3+242505,w,,,7.73,0.05,,7.8,0.05,,7.57,0.05,,7.43,0.05,,6.71,0.05,>,1.19,,>,1.12,,,yes,yes,no,no,,1,,B+,yso,star,III,M3,0.0,2.9,0.1,<,2.3E-4,needs add'l followup,"b,k",65.4429,24.4181,04214630+2425052,65.442927,+24.418116,0.070,0.060,0,9.258,8.283,7.890,0.020,0.023,0.017,AAA,111,0,2450781.7688
0.424777,65.46375,26.955556,34,042151.3+265720,w,,,12.8,0.06,,12.63,0.06,,12.5,0.07,,11.79,0.21,>,11.0,,>,1.49,,>,-0.85,,,,,no,yes,,1,,B,,star,II,,,,,,,pending followup,c,65.4637,26.9556,04215132+2657202,65.463854,+26.955629,0.130,0.060,0,15.808,14.157,13.372,0.059,0.042,0.032,AAA,222,0,2450781.7670
0.652443,65.50375,23.908333,35,042200.9+235430,w,,,7.74,0.05,,7.85,0.05,,7.66,0.05,,7.53,0.05,,7.01,0.05,>,1.24,,>,0.68,,,no,yes,no,no,,1,,B+,yso,star,III,M3,0.0,3.7,0.2,<,4.6E-5,needs add'l followup,"b,k,l",65.5037,23.9083,04220094+2354300,65.503948,+23.908342,0.060,0.060,90,9.176,8.116,7.853,0.022,0.023,0.018,AAA,211,0,2450752.8542
1.134391,65.55375,25.783056,36,042212.9+254659,w,,,12.58,0.05,,11.84,0.05,,11.2,0.06,,10.36,0.06,,7.24,0.05,>,1.21,,>,-0.14,,,no,no,yes-faint,yes,,1,,B-,yso,class II,flat,,,,,,,pending followup,"e,l",65.5537,25.7831,04221295+2546598,65.553995,+25.783281,0.090,0.080,0,16.667,15.418,14.592,0.116,0.092,0.067,BAA,222,0,2450781.7710
1.098578,65.565,26.951667,37,042215.6+265706,M,2MASS J04221568+2657060,,11.12,0.05,,10.55,0.05,,10.2,0.06,,9.75,0.05,,3.81,0.04,,-0.51,0.22,>,-1.95,,yes,yes,yes-faint,yes,yes,,1,2MASS J04221568+2657060,A+,yso,class II,I,K8-M0,-7.8,4.5,-1.5,,0.65,new member,"b,c,f,g,h,i,l",65.565,26.9517,04221568+2657060,65.565341,+26.951694,0.220,0.060,0,13.806,12.621,12.029,0.024,0.022,0.021,AAA,222,0,2450781.7719
0.477840,65.587083,26.713333,38,042220.9+264248,w,,,13.63,0.06,,12.59,0.06,,11.64,0.06,,10.56,0.06,,6.95,0.05,>,1.51,,>,-3.74,,,no,no,yes-faint,no,,1,,A,yso,embedded,I,,,,,,,pending followup,,65.5871,26.7133,04222090+2642484,65.587113,+26.713463,0.400,0.290,3,17.569,16.419,15.580,0.234,0.202,0.162,DCC,222,0,2450781.7717
0.927092,65.699167,26.764722,39,042247.8+264553,M,IRAS04196+2638,,8.07,0.05,,7.55,0.05,,7.14,0.05,,6.28,0.05,,3.23,0.04,,0.96,0.22,>,-0.49,,yes,yes,yes,yes,yes,"g,i",1,IRAS F04196+2638,A+,yso,class II,II,M1,,6.9,-0.4,,0.24,new member,"d,f,l",65.6992,26.7647,04224786+2645530,65.699455,+26.764736,0.060,0.060,90,11.589,10.147,9.287,0.022,0.025,0.019,AAA,222,0,2450781.7768
0.316344,65.7275,28.398333,40,042254.6+282354,P,NSV 1577,,7.39,0.05,,7.38,0.05,,7.32,0.05,,7.23,0.05,,4.81,0.04,,0.96,0.22,>,-1.02,,yes,yes,yes,no,no,,1,NSV 1577,A,yso,star,II,A0,10.0,1.5,1.4,,6.0E-4,"probable,new member","b,m",65.7275,28.3983,04225462+2823540,65.727597,+28.398354,0.110,0.110,0,7.874,7.634,7.253,,,0.024,UUA,661,0,2450781.7756
1.081881,65.775,28.021944,41,042306.0+280119,M,J04230607+2801194,,10.62,0.05,,10.31,0.05,,9.94,0.06,,9.34,0.05,,6.43,0.05,>,0.64,,>,0.31,,,yes,yes,yes,yes,i,1,2MASS J04230607+2801194,A+,yso,class II,II,M6,,0.0,-1.5,,0.1,new member,"f,l",65.775,28.0219,04230607+2801194,65.775303,+28.022081,0.060,0.060,90,12.242,11.611,11.202,0.021,0.022,0.017,AAA,222,0,2450781.7823
0.736536,65.825833,26.6875,42,042318.2+264115,M,J04231822+2641156,,9.47,0.05,,9.15,0.05,,8.81,0.05,,8.1,0.05,,4.56,0.04,,1.82,0.22,>,-1.38,,yes,yes,yes,yes,yes,i,1,2MASS J04231822+2641156,A+,yso,class II,II,M3.5,,8.7,-0.6,,0.081,new member,f,65.8258,26.6875,04231822+2641156,65.825957,+26.687672,0.060,0.060,0,12.657,11.019,10.183,0.021,0.024,0.017,AAA,222,0,2450781.7813
1.106617,65.857917,25.065,43,042325.9+250354,w,,,10.01,0.05,,9.91,0.05,,9.64,0.05,,9.61,0.05,,9.42,0.2,>,1.19,,>,-1.06,,,yes,no,no,no,,1,,C-,yso,star,II,,,,,,,pending followup,c,65.8579,25.065,04232597+2503544,65.858228,+25.065123,0.060,0.060,90,14.946,12.069,10.755,0.034,0.024,0.019,AAA,222,0,2450781.7801
1.461456,65.897083,25.050556,44,042335.3+250302,M,FU Tau,,8.4,0.05,,7.92,0.05,,7.36,0.05,,6.71,0.05,,4.6,0.04,,2.39,0.22,>,-1.56,,yes,yes,yes,yes,yes,i,1,FU Tau,A+,yso,class II,II,M5e,-88.4,1.9,-0.7,,0.18,new member,"b,f,k,l",65.8971,25.0506,04233539+2503026,65.897483,+25.050739,0.060,0.060,0,10.781,9.945,9.324,0.026,0.027,0.024,AAA,222,0,2450781.7877
0.912995,65.95875,26.668333,46,042350.1+264006,w,FS 116,,10.69,0.05,,10.58,0.05,,10.47,0.06,,10.16,0.06,>,9.96,,>,1.14,,>,-1.04,,,,,yes,no,,1,FS 116,C,,star,III,G6-K2 w/Av,1.6,8.2,-0.6,<,0.0011,needs add'l followup,"b,o",65.9587,26.6683,04235011+2640068,65.958819,+26.668579,0.060,0.060,0,12.869,11.530,10.971,0.021,0.022,0.020,AAA,222,0,2450781.7865
1.062768,65.983333,24.451389,47,042356.0+242705,w,HD 283663,,9.42,0.05,,9.39,0.05,,9.34,0.05,,9.32,0.05,,8.3,0.09,>,1.09,,>,-0.71,,,yes,yes,no,no,,1,HD 283663,B,yso,star,III,A1,6.0,1.6,0.3,,1.2E-4,needs add'l followup,"b,n",65.9833,24.4514,04235607+2427051,65.983654,+24.451431,0.060,0.060,0,9.710,9.496,9.408,0.021,0.022,0.017,AAA,222,0,2450781.7882
0.292906,65.994167,24.795,48,042358.6+244742,w,,,10.91,0.05,,10.88,0.05,,10.86,0.06,,10.24,0.06,>,9.92,,>,1.28,,>,0.82,,,,,yes,no,,1,,B-,,star,III,K2,2.5,0.0,-1.0,,0.0052,needs add'l followup,b,65.9942,24.795,04235860+2447422,65.994199,+24.795076,0.060,0.060,90,11.578,11.106,10.942,0.021,0.028,0.021,AAA,222,0,2450781.7879
0.156002,66.087083,26.514167,49,042420.9+263051,M,J04242090+2630511,,11.83,0.05,,11.45,0.05,,11.0,0.06,,10.4,0.06,,7.46,0.06,>,1.13,,>,-3.45,,,yes,no,yes-faint,yes,i,1,2MASS J04242090+2630511,A+,yso,class II,II,M6.5,,0.3,-1.9,,0.12,new member,"f,l",66.0871,26.5142,04242090+2630511,66.087089,+26.514210,0.070,0.060,0,13.485,12.808,12.433,0.024,0.022,0.018,AAA,222,0,2450781.7909
0.515117,66.096667,26.835556,50,042423.2+265008,p,,,9.46,0.05,,9.4,0.05,,9.32,0.05,,9.21,0.05,,7.87,0.07,>,0.82,,>,-0.57,,,yes,yes,no,no,,1,,A,yso,star,III,M3,-4.7,1.3,-0.7,,0.0019,"possible,new member","b,k,l",66.0967,26.8356,04242321+2650084,66.096734,+26.835686,0.080,0.060,0,10.809,10.023,9.681,0.020,0.027,0.020,AAA,222,0,2450781.7911
0.539402,66.314583,28.490833,51,042515.5+282927,M,,,9.89,0.05,,9.79,0.05,,9.71,0.05,,9.71,0.05,,9.31,0.2,>,0.81,,>,-0.24,,,yes,no,no,no,,1,,A+,yso,star,III,M6e,-23.5,0.0,-1.1,<,1.9E-4,new member,"b,k,l",66.3146,28.4908,04251550+2829275,66.314616,+28.490980,0.060,0.060,90,11.258,10.706,10.328,0.021,0.022,0.017,AAA,222,0,2450781.8091
1.286821,66.3275,25.926389,52,042518.6+255535,w,,<,6.62,,,6.61,0.05,,6.39,0.05,,6.24,0.05,,5.62,0.04,>,1.05,,>,0.28,,,yes,yes,no,,h,1,,B,,,III,M5,0.0,3.7,0.5,<,1.3E-4,needs add'l followup,"b,e,k",66.3275,25.9264,04251866+2555359,66.327763,+25.926657,0.060,0.060,90,8.294,7.257,6.821,0.024,0.036,0.017,AAA,111,0,2450781.8072
1.217565,66.329583,23.787778,53,042519.1+234716,w,HD 27923,,7.64,0.05,,7.63,0.05,,7.64,0.05,,7.65,0.05,,7.01,0.05,>,1.03,,>,-1.61,,,no,yes,no,no,,1,HD 27923,B-,yso,star,III,B9,8.6,0.1,1.2,,4.0E-5,needs add'l followup,"b,m,n",66.3296,23.7878,04251916+2347168,66.329856,+23.788006,0.060,0.060,90,7.634,7.625,7.582,0.019,0.029,0.018,AAA,111,0,2450752.8900
0.870293,66.495,27.616944,54,042558.8+273701,w,HD 283637,,9.13,0.05,,9.11,0.05,,9.04,0.05,,9.06,0.05,,8.43,0.1,>,1.01,,>,-2.68,,,no,yes,no,no,,1,HD 283637,B-,yso,star,III,B9,7.0,2.1,0.6,,3.5E-5,needs add'l followup,"b,n",66.495,27.6169,04255886+2737012,66.495259,+27.617020,0.070,0.060,0,9.545,9.309,9.189,0.022,0.022,0.020,AAA,222,0,2450781.8123
0.216104,66.8375,24.141389,56,042721.0+240829,w,,,13.3,0.14,,13.08,0.06,,13.11,0.08,,12.64,0.09,>,9.71,,>,1.0,,>,0.59,,,,,no,yes,,1,,C-,,star,III,G6,2.8,0.2,-1.8,,0.0042,needs add'l followup,"b,j,n",66.8375,24.1414,04272100+2408291,66.837538,+24.141438,0.080,0.060,0,13.866,13.463,13.298,0.030,0.032,0.038,AAA,222,0,2450782.7358
