angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.708748,63.573333,28.1025,12,041417.6+280609,CIDA-1,,8.67,0.05,,8.13,0.05,,7.59,0.05,,6.71,0.05,,3.53,0.04,,1.28,0.22,,,,yes,yes,yes,yes,yes,,1,[BCG93] 1,yso,class II,II,M5.5,,4.6,-0.7,,0.32,,63.5733,28.1025,04141760+2806096,63.573371,+28.102694,0.070,0.060,0,11.726,10.584,9.877,0.021,0.022,0.021,AAA,222,0,2450780.7876
0.936424,63.609167,28.100833,13,041426.2+280603,IRAS04113+2758 A,<,6.62,,<,6.1,,,4.63,0.05,,3.79,0.05,<,0.45,,,-2.54,0.22,,-4.35,0.34,,,,,,f,1,[CG2010] IRAS 04113+2758(N),,,I,M2.5,,17.1,0.3,,0.5,,63.6092,28.1008,04142626+2806032,63.609451,+28.100903,0.070,0.060,0,12.475,9.878,7.777,0.029,0.033,0.031,AAA,221,0,2450780.7876
0.951800,63.627083,28.087222,14,041430.5+280514,MHO-3,,7.22,0.05,,6.49,0.05,,5.75,0.05,,4.53,0.05,<,0.45,,,-1.06,0.22,,-4.15,0.34,,,,yes,yes,,1,[BHS98] MHO 3,,embedded,flat,K7,,11.3,0.3,,0.17,,63.6271,28.0872,04143054+2805147,63.627275,+28.087425,0.060,0.060,90,11.178,9.249,8.243,0.021,0.022,0.023,AAA,221,0,2450780.7907
0.450705,63.697083,26.773889,15,041447.3+264626,FP Tau,,8.11,0.05,,7.86,0.05,,7.6,0.05,,7.27,0.05,,4.25,0.04,,1.22,0.22,,,,yes,yes,yes,yes,yes,,1,FP Tau,yso,class II,II,M4,,0.8,-0.4,,0.083,,63.6971,26.7739,04144730+2646264,63.697119,+26.774010,0.070,0.060,0,9.897,9.175,8.873,0.021,0.022,0.019,AAA,222,0,2450780.7917
0.867637,63.699167,26.803056,16,041447.8+264811,CX Tau,,8.48,0.05,,8.13,0.05,,7.68,0.05,,6.63,0.05,,3.35,0.04,,1.23,0.22,,,,yes,yes,yes,yes,yes,,1,CX Tau,yso,class II,II,M2.5,,1.4,-0.3,,0.11,,63.6992,26.8031,04144786+2648110,63.699437,+26.803059,0.070,0.060,0,9.867,9.054,8.807,0.022,0.024,0.019,AAA,222,0,2450780.7917
1.165768,63.699583,27.876111,17,041447.9+275234,LkCa 3 AB,,7.28,0.05,,7.33,0.05,,7.27,0.05,,7.23,0.05,,7.07,0.05,>,1.17,,,,,,no,no,no,no,,1,EM* LkCa 3,yso,star,III,M1,,0.7,0.3,<,4.3E-5,,63.6996,27.8761,04144797+2752346,63.699886,+27.876293,0.060,0.060,90,8.363,7.625,7.423,0.032,0.023,0.021,AAA,111,0,2450780.7909
1.309470,63.705,28.208333,18,041449.2+281230,FO Tau AB,,7.53,0.05,,7.17,0.05,,6.72,0.05,,5.92,0.05,,2.83,0.04,,0.79,0.22,,,,yes,yes,yes,yes,yes,,1,FO Tau,yso,class II,II,M2,,3.7,0.0,,0.094,,63.705,28.2083,04144928+2812305,63.705369,+28.208496,0.060,0.060,90,9.650,8.568,8.121,0.021,0.021,0.031,AAA,211,0,2450780.7907
0.787827,63.77125,28.146111,19,041505.1+280846,CIDA-2,,8.9,0.05,,8.79,0.05,,8.71,0.05,,8.68,0.05,,8.45,0.11,>,1.31,,,,,,no,no,no,no,,1,[BCG93] 2,yso,star,III,M4.5,,0.6,-0.5,<,8.2E-5,,63.7712,28.1461,04150515+2808462,63.771489,+28.146170,0.060,0.060,90,10.110,9.420,9.094,0.022,0.022,0.021,AAA,222,0,2450780.7973
0.639164,63.81125,28.0025,20,041514.7+280009,KPNO-1,,13.23,0.13,,12.72,0.22,,12.94,0.09,,12.81,0.1,>,10.61,,>,0.9,,,,,,,,no,no,,1,[BLH2002] KPNO-Tau 1,,star,III,M8.5,,1.7,-2.4,,0.013,,63.8112,28.0025,04151471+2800096,63.811308,+28.002670,0.060,0.060,90,15.101,14.247,13.772,0.040,0.038,0.035,AAA,222,0,2450780.7972
1.385831,63.85,29.178611,21,041524.0+291043,J04152409+2910434,,11.86,0.05,,11.79,0.05,,11.66,0.06,,11.48,0.06,>,10.06,,>,1.14,,,,,,,,no,no,,1,2MASS J04152409+2910434,,star,III,M7,,1.3,-1.9,<,0.0046,,63.85,29.1786,04152409+2910434,63.850415,+29.178741,0.070,0.060,90,13.683,12.882,12.357,0.024,0.027,0.027,AAA,222,0,2450780.7981
0.581560,64.050417,27.943889,22,041612.1+275638,J04161210+2756385,,9.38,0.05,,9.04,0.05,,8.71,0.05,,8.3,0.05,,5.37,0.04,,1.55,0.22,,,,yes,yes,yes,yes,yes,,1,2MASS J04161210+2756385,yso,class II,II,M4.75,,4.6,-0.9,,0.15,,64.0504,27.9439,04161210+2756385,64.050432,+27.944050,0.060,0.060,90,12.268,11.112,10.335,0.021,0.027,0.018,AAA,222,0,2450781.7107
0.920842,64.078333,27.870833,23,041618.8+275215,J04161885+2752155,,10.88,0.05,,10.78,0.05,,10.67,0.06,,10.68,0.06,>,9.95,,>,1.26,,,,,,,,no,no,,1,2MASS J04161885+2752155,,star,III,M6.25,,1.1,-1.5,<,0.002,,64.0783,27.8708,04161885+2752155,64.078569,+27.870981,0.060,0.060,90,12.546,11.780,11.353,0.020,0.025,0.020,AAA,222,0,2450781.7108
0.818935,64.117083,28.126389,24,041628.1+280735,LkCa 4,,8.18,0.05,,8.17,0.05,,8.04,0.05,,8.05,0.05,,7.94,0.07,>,1.2,,,,,,no,no,no,no,,1,LkCa 4,yso,star,III,K7,,0.8,0.0,<,5.7E-5,,64.1171,28.1264,04162810+2807358,64.117121,+28.126614,0.060,0.060,90,9.246,8.521,8.318,0.021,0.021,0.021,AAA,112,0,2450781.7106
0.254113,64.162917,28.980278,25,041639.1+285849,J04163911+2858491,,10.5,0.05,,10.14,0.05,,9.86,0.05,,9.41,0.05,,7.22,0.05,>,1.24,,,,,,yes,yes,yes,yes,,1,2MASS J04163911+2858491,yso,class II,II,M5.5,,2.3,-1.4,,0.082,,64.1629,28.9803,04163911+2858491,64.162985,+28.980316,0.060,0.060,0,12.717,11.836,11.279,0.021,0.022,0.018,AAA,222,0,2450781.7178
0.921637,64.390417,28.346111,26,041733.7+282046,CY Tau,,7.87,0.05,,7.53,0.05,,7.27,0.05,,6.72,0.05,,4.42,0.04,,1.87,0.22,>,-1.41,,yes,yes,yes,yes,yes,,1,CY Tau,yso,class II,II,M1,,1.7,-0.2,,0.076,,64.3904,28.3461,04173372+2820468,64.390527,+28.346348,0.060,0.060,90,9.828,8.970,8.597,0.020,0.024,0.021,AAA,212,0,2450781.7201
