angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.233891,85.719125,-10.0417778,13,05 42 52.59,-10 02 30.4,14.7,0.03,13.6,0.04,13.0,0.03,12.46,0.01,12.28,0.01,12.1,0.02,12.03,0.02,8.57,0.09,0.3,-2.33,D,2M,Simbad,85.71918744981,-10.04175683224,0.0066333,0.0057590,102.74,3011893129679899776,85.71919139717,0.3135,-10.04176131647,0.3012,2.9600,0.4222,7.0107,1.335,0.875,0.407,-1.009,0.352,366,1.4750,481.35,1.582,3.311e+00,95,1.0373,0.0823,21,1.055,0,2.46897e+02,8.82764e-01,19.706080,2.87174e+01,7.33416e+00,21.693180,4.58386e+02,18.094818,1.973,3.598362,,,0,,,95950857191940316,,,,0.004760,0.277301,0.019667,19.680489,0.004687,2.52785e+02,0.406,6.5934,5.8046,-0.0609
0.364885,85.5517083,-10.0364167,15,05 42 12.41,-10 02 11.1,13.31,0.02,12.27,0.03,11.78,0.02,11.27,0.01,10.99,0.01,10.54,0.01,9.63,0.01,6.82,0.01,0.3,-0.94,D,2M,Simbad,85.55167790655,-10.03651353765,0.0017566,0.0016495,118.91,3011882237642977536,85.55168013106,0.0832,-10.03652194895,0.0850,2.1315,0.1285,16.5821,1.956,0.493,0.107,-1.893,0.102,390,1.1431,576.50,0.546,4.994e+00,31,,,21,1.041,0,1.56865e+03,3.24971e+00,17.698555,8.47939e+01,5.89135e+00,20.517632,2.58069e+03,16.218554,1.699,4.299078,,,0,,,95950855516876579,,,,0.003557,0.075487,0.007311,17.698555,0.003557,1.56865e+03,0.037,1.7322,1.6751,-0.0532
0.321633,85.643375,-10.0310833,16,05 42 34.41,-10 01 51.9,,,,,10.15,0.03,9.65,0.01,9.45,0.01,8.26,0.01,6.54,0.02,3.93,0.01,,0.89,D,2M,Simbad,85.64341050755,-10.03116551633,0.0011448,0.0009989,107.96,3011893786811104256,85.64341819382,0.0547,-10.03116355550,0.0508,2.2481,0.0725,31.0065,1.759,1.703,0.070,0.441,0.062,395,-0.4521,528.41,0.259,2.643e+00,31,,,22,0.983,0,3.09300e+03,2.97143e+00,16.961416,2.58154e+02,8.81395e+00,19.308846,4.87915e+03,15.527034,1.661,3.781812,,,0,,,95960856434253016,,,,0.002946,0.037174,0.004980,16.961416,0.002946,3.09300e+03,0.069,1.1318,1.0136,-0.0800
0.229669,85.615625,-10.0308611,17,05 42 27.75,-10 01 51.1,10.24,0.02,9.34,0.03,8.47,0.03,7.14,0.01,6.78,0.01,6.3,0.01,5.3,0.01,1.94,0.01,0.0,-0.72,D,2M,Simbad,85.61566398751,-10.03091205225,0.0002989,0.0002665,97.08,3011905434762412416,85.61566770221,0.0137,-10.03091971676,0.0129,2.2836,0.0192,118.8767,1.911,0.823,0.018,-1.725,0.016,374,11.2964,1008.88,0.128,2.166e+01,31,,,20,1.442,0,1.70459e+05,1.08530e+03,12.608319,6.37832e+04,1.42215e+03,13.326776,1.57753e+05,11.752953,1.300,1.573823,,,0,,,95960856156773314,,,400011101,0.007442,0.024369,0.018254,12.608319,0.007442,1.70459e+05,0.021,0.2985,0.2670,-0.0282
1.855730,85.615625,-10.0308611,17,05 42 27.75,-10 01 51.1,10.24,0.02,9.34,0.03,8.47,0.03,7.14,0.01,6.78,0.01,6.3,0.01,5.3,0.01,1.94,0.01,0.0,-0.72,D,2M,Simbad,85.61589821301,-10.03042139634,0.0008353,0.0004895,70.99,3011905434761438720,85.61589821301,0.8057,-10.03042139634,0.5369,,,,,,,,,60,-0.0735,53.57,0.000,0.000e+00,3,,,5,,0,3.31685e+02,3.36388e+00,19.385553,,,,,,,,,,0,,,,,,,0.011351,,,19.385553,0.011351,3.31685e+02,,0.8057,0.5369,0.3261
0.337191,85.6075417,-10.0299722,18,05 42 25.81,-10 01 47.9,13.29,0.03,12.49,0.03,12.1,0.02,11.8,0.01,11.7,0.01,11.58,0.01,11.38,0.02,7.17,0.03,0.06,-2.35,D,2M,Simbad,85.60751552971,-10.03006224932,0.0033206,0.0031730,62.01,3011905430466376832,85.60751995075,0.1575,-10.03006778633,0.1554,1.6410,0.2390,6.8651,1.585,0.980,0.203,-1.246,0.196,386,36.9602,3357.09,1.804,8.919e+01,31,,,22,2.603,0,2.45267e+03,8.24633e+00,17.213270,2.09946e+02,8.06996e+00,19.533274,4.08762e+03,15.719220,1.752,3.814054,,,0,,,95960856075394335,,,,0.004574,0.041827,0.006035,17.213270,0.004574,2.45267e+03,0.156,3.2887,3.2061,0.0377
0.211002,85.6453333,-10.0295278,20,05 42 34.88,-10 01 46.3,10.18,0.03,9.18,0.03,8.59,0.02,7.42,0.01,6.86,0.01,6.28,0.01,5.67,0.01,2.89,0.01,0.18,-0.81,D,2M,Simbad,85.64536560097,-10.02957703038,0.0007009,0.0005950,114.07,3011893786811104000,85.64536818414,0.0331,-10.02958253702,0.0306,2.1457,0.0446,48.0637,1.365,0.572,0.042,-1.239,0.037,402,43.5295,3238.66,0.370,9.184e+01,31,,,22,2.891,0,6.15676e+04,1.65651e+02,13.713986,1.08102e+04,1.05161e+02,15.253957,8.17426e+04,12.466774,1.503,2.787183,,,0,,,,,,400011103,0.004016,0.010924,0.009792,13.713986,0.004016,6.15676e+04,0.054,0.6844,0.6139,-0.1216
0.313439,85.6380833,-10.0220833,23,05 42 33.14,-10 01 19.5,15.49,0.06,12.61,0.03,10.49,0.02,7.93,0.01,7.07,0.01,6.25,0.01,5.26,0.01,1.87,0.02,1.45,0.22,P,2M,Simbad,85.63806637551,-10.02216875641,0.0025607,0.0023544,167.96,3011893782515470976,85.63806637551,2.3637,-10.02216875641,2.5521,,,,,,,,,88,2.1926,113.75,2.670,1.069e+00,3,,,8,,0,1.04914e+02,7.75565e+00,20.635288,3.67505e+01,6.65047e+00,21.425383,1.94435e+02,19.025957,2.204,2.399426,,,0,,,95970856381033845,,,,0.080309,0.196497,0.182174,20.635288,0.080309,1.04914e+02,0.812,2.3637,2.5521,-0.0343
0.194485,85.5003333,-10.0197778,25,05 42 00.08,-10 01 11.2,12.07,0.02,10.74,0.02,9.83,0.02,9.35,0.01,8.93,0.01,8.48,0.01,7.7,0.01,3.77,0.01,0.37,-0.93,D,2M,Simbad,85.50037720169,-10.01981019656,0.0009417,0.0008895,126.89,3011883130996177280,85.50038083775,0.0448,-10.01981909696,0.0454,2.2454,0.0701,32.0313,2.159,0.806,0.057,-2.003,0.056,351,1.2528,453.75,0.216,2.330e+00,31,,,19,1.047,0,4.53168e+03,2.02886e+01,16.546719,4.92444e+02,2.10356e+01,18.607650,7.02725e+03,15.130933,1.659,3.476718,,,0,,,95970855003916618,,26367680,400011095,0.005587,0.046463,0.014495,16.546719,0.005587,4.53168e+03,0.109,0.9232,0.9086,-0.0546
0.170413,85.659,-10.0186944,26,05 42 38.16,-10 01 07.3,13.72,0.03,11.31,0.03,10.02,0.03,9.28,0.01,9.0,0.01,8.69,0.01,8.46,0.01,5.34,0.01,1.45,-1.87,D,2M,Simbad,85.65903291901,-10.01872889528,0.0164727,0.0151001,105.74,3011894199126968576,85.65903642847,0.7732,-10.01874055917,0.7872,2.5587,1.0199,2.5088,2.737,0.778,0.999,-2.624,0.916,272,2.1331,385.35,3.255,3.455e+00,95,1.1204,0.2126,18,1.093,0,1.03113e+02,7.50747e-01,20.654087,4.47878e+01,7.36871e+00,21.210644,1.95333e+02,19.020958,2.329,2.189686,,,0,,,95970856590457923,,26370349,,0.008371,0.178652,0.032173,20.641941,0.008289,1.04273e+02,0.967,16.3756,15.2053,-0.0454
