angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.205189,84.6691667,-7.0399722,671,05 38 40.60,-07 02 23.9,14.12,0.03,13.09,0.03,12.57,0.03,11.85,0.01,11.37,0.01,10.95,0.01,10.08,0.01,7.22,0.03,0.26,-0.82,D,2M,Simbad,84.66911891194,-7.03994058903,0.0027645,0.0024122,82.85,3016106355158428928,84.66912030773,0.1327,-7.03994456699,0.1269,2.5203,0.1858,13.5672,0.948,0.312,0.171,-0.895,0.147,389,1.7229,554.66,0.838,5.139e+00,95,1.1517,0.0369,22,1.062,0,7.83707e+02,2.56976e+00,18.451982,5.47150e+01,5.18914e+00,20.993275,1.33481e+03,16.934350,1.773,4.058926,,,0,,,99550846691262452,1237671559159218373,27374524,,0.004502,0.103008,0.013017,18.426391,0.004437,8.02398e+02,0.145,2.7594,2.4180,0.0337
0.408072,84.5200417,-7.0393611,673,05 38 04.81,-07 02 21.7,14.07,0.03,12.96,0.03,12.33,0.03,11.41,0.01,10.96,0.01,10.54,0.01,9.88,0.01,7.68,0.06,0.29,-1.09,D,2M,Simbad,84.52014843836,-7.03932076406,0.0032838,0.0027275,83.86,3016851686603247232,84.52014764235,0.1529,-7.03932519679,0.1349,2.9513,0.1922,15.3575,1.013,-0.178,0.201,-0.997,0.166,449,-0.3906,681.71,0.870,4.645e+00,95,1.0164,0.0385,22,0.986,0,6.65007e+02,2.18521e+00,18.630300,4.79315e+01,7.37862e+00,21.136990,1.16735e+03,17.079895,1.827,4.057095,,,0,,,99550845201563207,1237667727514665200,27361710,,0.004508,0.167162,0.013981,18.604709,0.004442,6.80868e+02,0.200,3.2780,2.7345,0.0397
0.366684,84.7354167,-7.0320556,677,05 38 56.50,-07 01 55.4,14.73,0.04,13.03,0.03,12.19,0.03,11.28,0.01,10.79,0.01,10.31,0.01,9.28,0.01,6.44,0.02,0.89,-0.55,D,2M,Simbad,84.73551024863,-7.03209748787,0.0092283,0.0078984,81.97,3016104774610574720,84.73550834315,0.4133,-7.03210478609,0.3949,3.4496,0.5858,5.8890,1.696,-0.426,0.573,-1.642,0.486,365,3.4272,485.69,1.968,2.426e+00,95,1.3370,0.1259,21,1.130,0,1.59008e+02,7.49373e-01,20.183819,2.88166e+01,5.66948e+00,21.689436,2.86999e+02,18.603195,1.986,3.086241,,,0,,,99560847355081836,1237671559159218527,27374539,,0.005812,0.213630,0.030172,20.158228,0.005707,1.62800e+02,0.492,9.2042,7.9265,0.0432
0.204895,84.67275,-7.03125,680,05 38 41.46,-07 01 52.5,13.52,0.03,12.24,0.03,11.73,0.03,11.0,0.01,10.68,0.01,10.29,0.01,9.53,0.01,6.31,0.02,0.59,-1.14,D,2M,Simbad,84.67280733682,-7.03124894834,0.0026210,0.0021059,72.21,3016106389518168576,84.67280632673,0.1198,-7.03125339342,0.1130,2.5188,0.1667,15.1098,1.025,-0.226,0.159,-1.000,0.131,408,2.0333,650.56,0.849,7.217e+00,95,1.1319,0.0325,22,1.072,0,9.99720e+02,2.32658e+00,18.187672,7.06455e+01,1.29917e+01,20.715830,1.85547e+03,16.576761,1.927,4.139069,,,0,,,99560846728192872,1237671559159218368,27374535,,0.003738,0.199686,0.007980,18.162081,0.003699,1.02356e+03,0.287,2.5772,2.1591,0.1273
0.397032,83.738125,-7.0297222,683,05 34 57.15,-07 01 47.0,12.99,0.03,12.31,0.04,12.0,0.03,11.74,0.01,11.63,0.01,11.49,0.01,11.05,0.01,8.25,0.07,0.0,-2.06,D,2M,Simbad,83.73817133392,-7.02982244213,0.0006056,0.0005232,106.96,3016535680090105344,83.73817633355,0.0284,-7.02982135574,0.0263,2.6226,0.0431,60.8523,1.143,1.116,0.037,0.244,0.032,393,2.0024,463.16,0.075,6.637e-01,31,,,22,1.072,0,8.08715e+03,8.71428e+00,15.917878,1.71918e+03,1.62055e+01,17.250237,1.09001e+04,14.654316,1.560,2.595921,,,0,,,99560837381394661,1237667726440923395,27356482,415013573,0.002993,0.010608,0.012266,15.917878,0.002993,8.08715e+03,0.140,0.5991,0.5308,-0.0816
1.136571,83.738125,-7.0297222,683,05 34 57.15,-07 01 47.0,12.99,0.03,12.31,0.04,12.0,0.03,11.74,0.01,11.63,0.01,11.49,0.01,11.05,0.01,8.25,0.07,0.0,-2.06,D,2M,Simbad,83.73801331852,-7.02942658286,0.0021767,0.0016214,80.13,3016535684386060544,83.73801865792,0.0954,-7.02942506250,0.0853,2.5744,0.1341,19.1991,1.240,1.192,0.135,0.342,0.100,324,0.0452,421.58,0.426,2.770e+00,95,1.1983,0.0267,20,1.001,0,1.47845e+03,2.97701e+00,17.762848,,,,,,,,,,0,,,,,,,0.003517,,,17.762848,0.003517,1.47845e+03,,2.1624,1.6404,0.1004
0.144516,84.5884167,-7.0223611,686,05 38 21.22,-07 01 20.5,13.88,0.03,12.92,0.03,12.41,0.03,11.62,0.01,11.22,0.01,10.88,0.01,9.99,0.01,6.96,0.04,0.18,-0.99,D,2M,Simbad,84.58843645154,-7.02232606861,0.0023465,0.0020468,76.95,3016107042352977664,84.58843756145,0.1097,-7.02232927909,0.1077,2.4967,0.1498,16.6686,0.764,0.248,0.143,-0.722,0.125,438,1.4505,658.84,0.756,6.280e+00,95,1.1407,0.0291,23,1.049,0,1.02946e+03,3.51956e+00,18.155838,7.34472e+01,5.15882e+00,20.673605,1.67272e+03,16.689339,1.696,3.984266,,,0,,,99570845884553599,1237667727514665121,27361747,,0.004623,0.076311,0.012197,18.130247,0.004554,1.05402e+03,0.078,2.3322,2.0631,0.0602
0.457508,84.755,-7.0193056,689,05 39 01.20,-07 01 09.5,13.37,0.03,12.06,0.03,11.37,0.02,10.68,0.01,10.37,0.01,10.16,0.01,9.9,0.01,6.46,0.02,0.51,-1.95,D,2M,Simbad,84.75512753560,-7.01929427398,0.0016178,0.0013908,95.72,3016104813266333952,84.75512719393,0.0751,-7.01929776480,0.0710,2.3645,0.0996,23.7377,0.789,-0.076,0.101,-0.785,0.085,430,0.8467,555.78,0.316,1.707e+00,31,,,21,1.028,0,1.51879e+03,2.18599e+01,17.733624,1.49656e+02,1.06906e+01,19.900806,2.47427e+03,16.264278,1.728,3.636528,,,0,,,99570847551227221,1237671559159218310,27374556,415013696,0.015868,0.077609,0.040284,17.733624,0.015868,1.51879e+03,0.155,1.6157,1.3932,-0.0301
0.241885,84.620875,-7.0163056,693,05 38 29.01,-07 00 58.7,14.99,0.05,14.25,0.04,13.88,0.06,13.33,0.01,13.06,0.01,12.83,0.03,12.2,0.04,,,0.01,-1.55,D,2M,Simbad,84.62085016757,-7.01624309342,0.0043118,0.0037007,67.01,3016106870554572288,84.62085060503,0.1986,-7.01624793761,0.1981,2.6115,0.2764,9.4491,1.094,0.098,0.260,-1.090,0.230,413,2.0257,534.38,0.846,2.030e+00,95,1.1940,0.0547,22,1.071,0,3.74509e+02,9.61043e-01,19.253712,3.27659e+01,3.03546e+00,21.549986,6.29648e+02,17.750150,1.769,3.799835,,,0,,,99580846208640899,1237667727514665194,27361752,,0.003918,0.100622,0.012974,19.228121,0.003873,3.83441e+02,0.175,4.2243,3.8002,0.1096
0.397530,84.9017083,-7.0162778,694,05 39 36.41,-07 00 58.6,13.14,0.02,12.48,0.03,12.18,0.03,11.8,0.01,11.65,0.01,11.07,0.01,,,6.6,0.02,0.0,,D,2M,Simbad,84.90180995660,-7.01623292446,0.0007043,0.0006275,75.71,3016127525053473152,84.90180643671,0.0334,-7.01623489483,0.0325,2.4326,0.0498,48.8148,0.902,-0.786,0.043,-0.443,0.038,443,-0.6997,446.14,0.000,0.000e+00,31,,,23,0.976,0,5.70831e+03,5.57559e+00,16.296097,8.56536e+02,1.09227e+01,18.006678,7.66148e+03,15.037114,1.492,2.969564,,,0,,,99580849017910908,1237667728051535986,27374675,415013703,0.002952,0.014124,0.004732,16.296097,0.002952,5.70831e+03,0.016,0.6998,0.6324,0.0553
0.293763,84.7034583,-7.0120556,698,05 38 48.83,-07 00 43.4,14.2,0.03,12.4,0.03,11.56,0.03,10.67,0.01,10.23,0.01,9.79,0.01,9.13,0.01,6.23,0.03,1.0,-1.07,D,2M,Simbad,84.70352697865,-7.01201074227,0.0140991,0.0121060,101.02,3016106531253253120,84.70351930586,0.6551,-7.01201923740,0.6164,3.1112,0.9314,3.3402,2.567,-1.713,0.871,-1.911,0.749,368,18.0102,1293.35,6.496,2.805e+01,95,0.9185,0.1775,23,1.738,0,1.91254e+02,1.20100e+00,19.983340,3.47535e+01,5.81556e+00,21.486048,4.23491e+02,18.180784,2.396,3.305264,,,0,,,99580847035545936,1237671559159218378,27374541,,0.007354,0.181706,0.022435,19.957749,0.007207,1.95816e+02,0.870,14.0312,12.1847,-0.0573
0.227439,84.6665833,-7.0117222,699,05 38 39.98,-07 00 42.2,15.47,0.07,14.33,0.05,13.58,0.05,12.68,0.01,12.22,0.01,11.78,0.01,11.01,0.01,7.82,0.05,0.23,-0.93,D,2M,Simbad,84.66664595378,-7.01173335409,0.0230697,0.0176031,121.05,3016106561317847168,84.66664622922,0.8294,-7.01173412911,0.7356,1.1772,1.0549,1.1160,0.185,0.062,1.385,-0.174,1.214,222,1.3228,276.41,2.896,2.092e+00,95,1.1080,0.2034,14,1.063,0,1.18585e+02,1.31073e+00,20.502290,5.77729e+01,1.41773e+01,20.934230,2.14196e+02,18.920866,2.293,2.013365,,,0,,,99580846666486312,1237671559159218605,,,0.012313,0.266451,0.062644,20.493246,0.012216,1.19577e+02,0.957,21.7502,19.2096,-0.2351
0.314033,84.72025,-7.0067222,702,05 38 52.86,-07 00 24.2,13.6,0.03,12.06,0.02,11.34,0.02,10.59,0.01,10.28,0.01,9.86,0.01,9.37,0.01,6.89,0.03,0.78,-1.41,D,2M,Simbad,84.72032804184,-7.00668208256,0.0031978,0.0026453,104.38,3016107798267446528,84.72032804527,0.1403,-7.00668823607,0.1279,2.6452,0.1931,13.6986,1.385,0.001,0.198,-1.385,0.165,416,-0.4272,476.62,0.514,1.270e+00,31,,,22,0.984,0,5.98286e+02,8.30469e+00,18.745096,5.25977e+01,5.77388e+00,21.036125,1.01595e+03,17.230715,1.786,3.805410,,,0,,,99590847203402345,1237671559159218363,27374543,,0.015321,0.119219,0.051972,18.745096,0.015321,5.98286e+02,0.191,3.1665,2.6826,-0.0914
0.195519,84.1475833,-6.9880278,711,05 36 35.42,-06 59 16.9,15.09,0.04,14.47,0.05,14.1,0.05,13.57,0.01,13.24,0.01,12.89,0.03,12.34,0.03,,,0.0,-1.42,D,2M,Simbad,84.14756791956,-6.98807992097,0.0038375,0.0034448,78.83,3016492180661377024,84.14757538724,0.1843,-6.98807988357,0.1709,2.4861,0.2649,9.3866,1.668,1.668,0.236,0.008,0.211,395,3.4043,632.57,1.296,7.871e+00,95,1.1217,0.0474,22,1.124,0,5.47928e+02,1.63333e+00,18.840557,6.63249e+01,7.83335e+00,20.784350,9.05960e+02,17.355124,1.774,3.429226,,,0,,,99610841475494694,1237667726977794175,,,0.004250,0.128262,0.011725,18.814966,0.004193,5.60996e+02,0.231,3.8235,3.4604,0.0411
0.297448,84.6670417,-6.9873889,712,05 38 40.09,-06 59 14.6,12.84,0.02,11.55,0.02,10.65,0.02,9.39,0.01,8.73,0.01,8.41,0.01,7.63,0.01,4.83,0.02,0.31,-0.88,D,2M,Simbad,84.66710961963,-6.98743667006,0.0066579,0.0053771,92.67,3016107355887309952,84.66710716702,0.3074,-6.98743646637,0.2850,-0.0433,0.4498,-0.0963,0.550,-0.548,0.412,0.046,0.329,412,78.3958,20860.21,3.811,5.506e+02,95,1.1064,0.0805,22,4.770,0,2.93127e+03,3.11587e+01,17.019730,5.75791e+02,2.91367e+01,18.437880,5.09230e+03,15.480610,1.934,2.957270,,,0,,,99610846671425431,1237671559159218268,27374538,416013522,0.011865,0.055012,0.027691,16.994732,0.011610,2.99954e+03,0.459,6.6554,5.3802,-0.0200
0.190459,84.314625,-6.9843611,714,05 37 15.51,-06 59 03.7,12.5,0.04,11.2,0.03,10.39,0.03,9.32,0.01,8.93,0.01,8.56,0.01,8.03,0.01,6.11,0.02,0.4,-1.36,D,2M,Simbad,84.31459506064,-6.98431732957,0.0004051,0.0003385,106.85,3016855092513584256,84.31459764257,0.0191,-6.98431618481,0.0199,2.5205,0.0309,81.5858,0.632,0.577,0.025,0.258,0.021,416,1.7231,477.48,0.038,3.433e-01,31,,,22,1.060,0,1.18228e+04,4.03462e+02,15.505565,2.87408e+03,3.10542e+02,16.692293,1.38297e+04,14.395867,1.413,2.296426,,,0,,,99610843145709164,1237671558622347280,27361631,416013477,0.037154,0.117346,0.102771,15.505565,0.037154,1.18228e+04,0.036,0.4000,0.3446,-0.0998
0.251575,84.4799583,-6.9786667,715,05 37 55.19,-06 58 43.2,12.73,0.03,11.94,0.02,11.52,0.03,10.81,0.01,10.49,0.01,10.11,0.01,9.57,0.01,7.47,0.04,0.02,-1.41,D,2M,Simbad,84.48001320977,-6.97871043696,0.0010390,0.0008574,97.32,3016852893490323072,84.48001425893,0.0525,-6.97871423456,0.0452,2.3126,0.0664,34.8302,0.886,0.234,0.064,-0.854,0.052,419,14.9491,1205.80,0.470,1.899e+01,31,,,22,1.561,0,6.60833e+03,2.85634e+01,16.137136,7.91909e+02,2.60296e+01,18.091854,9.28321e+03,14.828650,1.525,3.263205,,,0,,,99620844800075925,1237667727514664991,27361775,416013496,0.005442,0.035796,0.020984,16.137136,0.005442,6.60833e+03,0.005,1.0363,0.8606,-0.0488
0.112925,84.4822083,-6.9771944,717,05 37 55.73,-06 58 37.9,13.08,0.03,12.08,0.02,11.69,0.03,11.3,0.01,10.94,0.01,10.68,0.01,9.55,0.01,6.49,0.01,0.31,-0.87,D,2M,Simbad,84.48223958291,-6.97718995309,0.0011713,0.0009044,116.84,3016852889193690496,84.48224289976,0.0576,-6.97719293841,0.0519,2.7128,0.0680,39.9041,1.000,0.741,0.068,-0.672,0.058,411,0.1553,471.04,0.163,1.036e+00,31,,,22,1.005,0,2.70998e+03,4.96242e+01,17.104952,3.21813e+02,1.98069e+01,19.069532,4.06634e+03,15.724887,1.619,3.344646,,,0,,,99620844822367753,1237667727514664992,27361776,416013499,0.020072,0.066883,0.060303,17.104952,0.020072,2.70998e+03,0.088,1.1221,0.9648,-0.2062
0.221564,84.3519167,-6.9757778,718,05 37 24.46,-06 58 32.8,13.09,0.03,11.05,0.02,9.85,0.02,8.2,0.01,7.36,0.01,6.65,0.01,5.53,0.01,2.16,0.01,1.07,0.19,P,2M,Simbad,84.35197736649,-6.97576508363,0.0247659,0.0201080,116.98,3016855779708350592,84.35198688972,1.1676,-6.97580707109,1.0959,-7.8690,1.6272,-4.8359,9.684,2.127,1.479,-9.447,1.294,382,44.3611,3591.13,13.236,1.043e+02,95,1.3596,0.3253,21,2.995,0,1.61050e+02,3.78849e+00,20.169964,3.34852e+01,5.36799e+00,21.526410,4.28962e+02,18.166850,2.871,3.359560,,,0,,,99620843519979372,1237671558622347375,27361670,,0.025689,0.174076,0.054455,20.144373,0.025097,1.64891e+02,1.338,23.8814,21.1510,-0.1673
0.339295,84.682625,-6.9728611,720,05 38 43.83,-06 58 22.3,13.53,0.03,12.02,0.03,11.1,0.03,9.96,0.01,9.21,0.01,8.84,0.01,7.85,0.01,4.53,0.01,0.58,-0.49,D,2M,Simbad,84.68271990692,-6.97286396777,0.0077091,0.0063835,85.88,3016108936434938496,84.68270396656,0.3515,-6.97284352655,0.3338,3.3672,0.5042,6.6782,5.816,-3.560,0.475,4.599,0.390,421,31.0725,3031.05,4.068,9.076e+01,95,1.0839,0.0922,22,2.253,0,6.35214e+02,4.02785e+00,18.680067,6.09977e+01,5.94556e+00,20.875260,1.65306e+03,16.702173,2.698,4.173086,,,0,,,99630846827062946,1237671559159218340,27374576,,0.007415,0.105866,0.017731,18.654476,0.007267,6.50364e+02,1.054,7.7029,6.3910,0.0272
0.399149,84.6686667,-6.9726944,721,05 38 40.48,-06 58 21.7,12.87,0.05,10.58,0.04,8.79,0.03,6.6,0.01,5.76,0.01,5.09,0.01,4.23,0.01,0.61,0.01,0.93,-0.14,P,2M,Simbad,84.66874920763,-6.97276913963,0.0375868,0.0246765,74.38,3016108902075536384,84.66873620083,1.4073,-6.97277339653,1.1971,2.5263,2.3866,1.0585,3.059,-2.905,2.314,-0.958,1.596,274,12.5565,739.93,10.340,1.944e+01,95,0.6221,0.3414,16,1.587,0,9.17005e+01,1.40645e+00,20.781437,3.24104e+01,1.23545e+01,21.561830,2.69223e+02,18.672615,3.289,2.889216,,,0,,,99630846687543078,1237671559159218350,,,0.016879,0.413879,0.192833,20.757424,0.016520,9.37512e+01,1.825,36.8034,25.8303,0.2193
0.085258,84.472875,-6.9710278,723,05 37 53.49,-06 58 15.7,12.05,0.02,11.13,0.02,10.81,0.03,10.38,0.01,10.02,0.01,9.54,0.01,8.78,0.01,6.89,0.02,0.26,-0.98,D,2M,Simbad,84.47285578789,-6.97101375687,0.0004150,0.0003469,101.41,3016853099648753152,84.47285769393,0.0202,-6.97101584069,0.0181,2.5822,0.0264,97.6801,0.633,0.426,0.025,-0.469,0.021,422,1.5813,465.94,0.034,3.054e-01,31,,,22,1.054,0,1.79727e+04,3.60395e+01,15.050835,3.34628e+03,2.67414e+01,16.527136,2.25340e+04,13.865800,1.440,2.661336,,,0,,,99630844728465156,1237667727514664988,27361767,416013491,0.003512,0.009114,0.007663,15.050835,0.003512,1.79727e+04,0.009,0.4126,0.3498,-0.0697
0.420642,84.6497083,-6.971,724,05 38 35.93,-06 58 15.6,15.16,0.04,13.62,0.03,12.77,0.03,11.85,0.01,11.42,0.01,11.02,0.01,10.35,0.01,,,0.67,-1.12,D,2M,Simbad,84.64982410810,-6.97102094723,0.0024100,0.0016307,173.15,3016107626469741440,84.64982410810,1.6444,-6.97102094723,2.4007,,,,,,,,,97,3.0757,139.46,5.670,3.260e+00,3,,,10,,0,7.64682e+01,1.18910e+00,20.978664,2.91054e+01,7.62179e+00,21.678608,1.38693e+02,19.392763,2.194,2.285845,,,0,,,99630846498285155,1237667727514665309,27374570,,0.017107,0.284334,0.092741,20.978664,0.017107,7.64682e+01,0.819,1.6444,2.4007,-0.0944
0.280137,84.6872083,-6.9707222,725,05 38 44.93,-06 58 14.6,13.32,0.02,11.61,0.03,10.65,0.02,9.56,0.01,9.1,0.01,8.6,0.01,7.98,0.01,5.28,0.01,0.81,-1.01,D,2M,Simbad,84.68728582389,-6.97073377015,0.0024551,0.0020223,87.40,3016108867715461632,84.68728663426,0.1089,-6.97073851500,0.1025,2.4556,0.1591,15.4306,1.083,0.181,0.152,-1.068,0.124,419,1.8250,578.46,0.580,3.237e+00,31,,,22,1.063,0,9.77366e+02,9.03138e+00,18.212223,9.00285e+01,9.99996e+00,20.452590,1.59088e+03,16.743803,1.720,3.708788,,,0,,,99630846873065486,1237671559159218346,,,0.010404,0.120631,0.031406,18.212223,0.010404,9.77366e+02,0.138,2.4543,2.0232,0.0177
0.245389,84.6800417,-6.9691389,726,05 38 43.21,-06 58 08.9,12.05,0.03,9.98,0.03,8.62,0.03,7.33,0.01,6.64,0.01,6.41,0.01,5.73,0.01,2.78,0.01,0.97,-1.09,D,2M,Simbad,84.68008657652,-6.96919049472,0.0067463,0.0040316,121.74,3016108936433574656,84.68008531187,0.2543,-6.96919705051,0.2296,2.3015,0.2516,9.1481,1.502,-0.282,0.372,-1.475,0.298,292,1.6875,480.36,1.214,7.249e+00,95,1.0336,0.0517,17,1.070,0,6.66325e+02,1.55966e+01,18.628153,8.32914e+01,1.10136e+01,20.537043,2.18951e+03,16.397030,3.411,4.140013,,,0,,,99630846801097420,1237671559159218339,27374577,,0.025563,0.143594,0.036603,18.602562,0.024974,6.82217e+02,1.772,6.1169,4.9345,-0.4336
0.376277,84.6800417,-6.9691389,726,05 38 43.21,-06 58 08.9,12.05,0.03,9.98,0.03,8.62,0.03,7.33,0.01,6.64,0.01,6.41,0.01,5.73,0.01,2.78,0.01,0.97,-1.09,D,2M,Simbad,84.68007921513,-6.96904123718,0.0100312,0.0061937,78.82,3016108932138818304,84.68008859666,0.5560,-6.96904462810,0.3788,4.6088,0.6477,7.1159,2.230,2.095,0.622,-0.763,0.385,178,1.7761,246.17,1.625,3.470e+00,95,1.1388,0.1028,11,1.095,0,3.91690e+02,3.26025e+00,19.205010,6.60450e+01,1.38442e+01,20.788942,1.27268e+03,16.986094,3.418,3.802849,,,0,,,99630846801097420,1237671559159218339,27374577,,0.009448,0.227606,0.032761,19.179419,0.009247,4.01032e+02,1.823,9.9138,6.3799,0.1873
0.225437,84.4193333,-6.964,727,05 37 40.64,-06 57 50.4,14.79,0.04,14.17,0.04,13.72,0.05,13.22,0.01,12.86,0.01,12.58,0.02,11.94,0.03,9.13,0.15,0.0,-1.39,D,2M,Simbad,84.41938260996,-6.96403906054,0.0023948,0.0018472,79.27,3016856050289620864,84.41938681523,0.1116,-6.96403737144,0.0949,2.7218,0.1362,19.9898,1.013,0.939,0.146,0.380,0.114,464,-1.8829,464.76,0.000,0.000e+00,31,,,22,0.938,0,8.71162e+02,1.54411e+00,18.337120,9.57278e+01,8.66034e+00,20.385946,1.30954e+03,16.955095,1.613,3.430851,,,0,,,99640844193873521,1237671558622347373,27361678,,0.003361,0.098264,0.009813,18.337120,0.003361,8.71162e+02,0.069,2.3779,1.8689,0.0956
0.383117,84.6440833,-6.9632222,728,05 38 34.58,-06 57 47.6,14.9,0.05,13.59,0.04,12.88,0.03,12.1,0.01,11.72,0.01,11.32,0.01,10.68,0.01,7.9,0.07,0.49,-1.2,D,2M,Simbad,84.64418833082,-6.96320084163,0.0155118,0.0112200,82.07,3016107695188338560,84.64418412382,0.6055,-6.96320649494,0.5888,2.0210,0.9342,2.1635,1.581,-0.940,0.956,-1.272,0.688,331,3.9841,496.22,3.434,4.697e+00,95,1.0759,0.1696,18,1.159,0,1.29469e+02,7.87819e-01,20.406950,3.86018e+01,6.04688e+00,21.372025,2.57517e+02,18.720879,2.287,2.651146,,,0,,,99640846441914527,1237667727514665308,27374572,,0.007158,0.170101,0.038264,20.386709,0.007046,1.31906e+02,0.858,15.4412,11.3170,0.0897
0.324092,84.4769167,-6.9586389,729,05 37 54.46,-06 57 31.1,11.37,0.02,10.51,0.02,9.99,0.02,9.15,0.01,8.75,0.01,8.35,0.01,7.42,0.01,4.71,0.01,0.05,-0.86,D,2M,Simbad,84.47700356753,-6.95861302711,0.0003216,0.0002836,97.37,3016859043883489792,84.47700067251,0.0161,-6.95861986150,0.0148,2.5558,0.0213,119.9683,1.668,-0.647,0.020,-1.538,0.017,439,20.0367,1256.39,0.155,1.873e+01,31,,,23,1.751,0,6.63135e+04,5.95879e+02,13.633363,2.12837e+04,7.32329e+02,14.518426,6.56165e+04,12.705362,1.310,1.813064,,,0,,,99650844769810025,1237667727514664967,27361768,416013492,0.010138,0.037462,0.026283,13.633363,0.010138,6.63135e+04,0.001,0.3210,0.2843,-0.0321
0.066900,83.6359167,-6.9530278,730,05 34 32.62,-06 57 10.9,,,,,,,14.63,0.02,13.63,0.02,12.68,0.05,11.11,0.02,6.49,0.02,,1.18,P,2M,Simbad,83.63590407315,-6.95301408015,0.0079390,0.0051528,84.85,3016540043776951296,83.63590407315,7.9205,-6.95301408015,5.1812,,,,,,,,,128,18.9912,723.83,33.561,3.070e+01,3,,,9,,0,4.55575e+01,1.44233e+00,21.540968,8.09193e+01,1.71077e+01,20.568413,1.64261e+02,19.209059,5.382,1.359354,,,0,,,99650836359126806,1237667726440858267,27356571,,0.034484,0.229560,0.127354,21.540968,0.034484,4.55575e+01,4.128,7.9205,5.1812,0.0795
0.324780,84.464125,-6.9526667,731,05 37 51.39,-06 57 09.6,13.46,0.02,12.75,0.03,12.35,0.03,11.75,0.01,11.14,0.01,10.81,0.01,10.04,0.01,7.13,0.03,0.0,-0.93,D,2M,Simbad,84.46421519567,-6.95267778948,0.0010113,0.0009127,92.78,3016861998820990208,84.46421686140,0.0519,-6.95268176174,0.0481,2.5441,0.0692,36.7641,0.968,0.372,0.062,-0.894,0.056,432,-0.4264,471.53,0.000,0.000e+00,31,,,23,0.985,0,2.64538e+03,6.94088e+00,17.131147,3.23535e+02,1.43279e+01,19.063740,3.86391e+03,15.780329,1.583,3.283411,,,0,,,99650844642217158,1237667727514599487,27361771,416013489,0.003963,0.048163,0.006347,17.131147,0.003963,2.64538e+03,0.060,1.0111,0.9129,-0.0100
0.404001,84.5436667,-6.9518889,732,05 38 10.48,-06 57 06.8,13.17,0.03,12.15,0.02,11.8,0.03,11.52,0.01,11.31,0.01,11.1,0.01,10.3,0.01,7.17,0.03,0.38,-1.46,D,2M,Simbad,84.54372870669,-6.95198273705,0.0009234,0.0007993,110.46,3016858872084795136,84.54372762221,0.0467,-6.95198692995,0.0437,2.4853,0.0672,37.0089,0.974,-0.242,0.056,-0.943,0.050,399,-1.1523,408.19,0.000,0.000e+00,31,,,22,0.958,0,3.33166e+03,7.52735e+00,16.880716,4.18016e+02,1.14566e+01,18.785560,4.65769e+03,15.577468,1.523,3.208093,,,0,,,99650845437418010,1237667727514599566,27361806,416013508,0.003689,0.029887,0.007981,16.880716,0.003689,3.33166e+03,0.012,0.9092,0.8155,-0.0945
0.187676,84.4654583,-6.9477222,734,05 37 51.71,-06 56 51.8,11.46,0.02,10.5,0.02,10.05,0.02,9.16,0.01,8.73,0.01,8.34,0.01,7.64,0.01,5.02,0.01,0.22,-1.1,D,2M,Simbad,84.46551058073,-6.94772714796,0.0022503,0.0020745,81.52,3016861998821016192,84.46551694862,0.1140,-6.94773209305,0.1036,3.1991,0.1546,20.6901,1.806,1.422,0.138,-1.113,0.127,429,153.0592,39137.48,1.385,5.976e+02,31,,,22,9.557,0,2.10858e+04,1.54595e+02,14.877393,3.49806e+03,6.36375e+01,16.478975,2.84729e+04,13.611815,1.516,2.867160,,,0,,,99660844655293052,1237667727514599486,27361772,416013490,0.008424,0.019948,0.018157,14.877393,0.008424,2.10858e+04,0.055,2.2466,2.0785,0.0237
